event_times,event_types
"[0.02049972,0.68108565,1.33542396,1.68141839,4.73221052,7.95613328,11.63645577,11.74143795,11.76981862,12.42037123,12.66455293,12.93936523,15.27391265,29.90016706,33.52397632,35.3101401,36.9374634,37.71736307,38.45556096,47.87092953,49.59877956,50.92224731,51.13236425,52.40299152,55.26524358,55.78543656,57.98790661,64.02711017,64.74028101,66.48142175,70.88429108,73.18268605,80.28735161,82.87608697,83.19512026,88.81717423,91.97476034,96.03052253,100.06659539,104.18183471,106.34691202,107.02978269,108.0655047,108.1478953,108.65021513,108.90952753,109.75799678,113.51071697,113.58175328,114.73832896,114.89044553]","[2,3,6,0,1,7,2,3,5,2,7,2,6,6,4,4,5,0,5,0,3,2,2,4,2,3,3,2,7,7,5,4,1,0,3,6,5,7,7,7,2,0,3,1,2,4,0,2,3,2,3]"
"[0.2910367,0.69055236,2.65657172,5.96799164,7.23594379,7.4516913,7.65961059,7.71697535,7.95403389,8.99728196,9.32438728,10.10835462,12.45749189,12.97025213,13.23740316,15.14775137,16.41590819,16.63870986,17.30433423,19.38300289,21.52462821,23.03984386,26.28172362,26.28685166,27.52985358,28.33190912,28.75733407,29.29719135,30.53144213,33.01773545,33.36722818,34.0789858,35.56317104,38.09264582,42.16781481,44.3561773,45.94774536,46.3616778,46.64068628,47.27131601,49.00783815,50.0724598,50.83060792,51.89208261,52.29218494,53.04889416,53.28178698,53.29611094,53.3174683,53.31825988,53.43206939,54.33931803,56.71683018,60.82493046,62.54503046,63.04253024,63.04895622,63.12997344,63.41346982,63.49530186,63.67957188,63.87862268,63.98194396,64.88926116,64.94252001,65.55390403,65.68617432,65.85189326]","[7,7,2,0,4,1,0,1,1,0,1,0,1,0,0,1,2,3,0,2,0,0,1,1,0,0,1,0,1,1,1,0,7,0,1,1,0,0,1,1,1,0,2,1,7,7,0,1,0,0,1,1,2,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0]"
"[2.40259186,2.40842063,3.87041752,5.92877428,13.69814694,13.71919519,20.21646494,22.49557849,22.97693574,32.32926581,32.58883342,33.00140947,33.42416574,33.42935623,37.53980983,37.61248554,37.86195615,38.50988612,40.58849582,40.60067884,42.43989249,43.25502749,43.29319526,43.71582029,45.2811716,45.9316029,47.08964522,47.12437866,47.77942451,48.07514125,48.91230611,49.33436126,51.34918288,52.88367122,53.90262688,58.78765117,59.86910901,60.57822699,61.11111429,61.79270138,63.03150352,63.34987971,64.07497754,65.03466577,67.74368693,67.85915484,68.96326283,69.49933867,69.79075465,69.86773093,70.70287146,71.4579074,71.62813293,74.03181389,74.99007662,75.4587954,75.55095171,75.93573908,76.76196747,76.80815646,77.88152593,78.49428526,80.15067264,81.06708728,81.2111145,81.35620314]","[1,0,1,7,7,0,5,2,3,5,3,2,3,3,2,3,3,3,3,3,0,6,3,1,0,1,2,1,3,3,0,5,2,7,5,7,3,2,2,3,4,2,3,4,1,7,0,2,0,0,1,0,6,7,6,4,1,0,1,7,0,1,2,3,1,4]"
"[0.36047837,5.75675666,7.45033518,9.90766916,10.1193988,10.55713892,14.89357036,15.22137822,18.55093663,18.69001637,20.53297008,21.02012581,21.48962442,23.78102759,24.12156579,24.26755145,26.83299598,26.9672225,27.04957776,27.95476211,31.39736291,35.79361444,36.71012744,38.7244613,38.9241319,42.03553168,42.39292511,42.95466588,43.26403351,43.43023853,43.45029327,44.54957167,44.6662654,44.71462294,44.79472573,46.18506906,47.06267736,47.28834091,50.82882979,51.0062866,52.02534035,54.55589747,54.86504381,57.32343803,57.58107363,57.67984811,59.69740461,60.7625931,61.46198499,62.27405721,64.16109068,67.87279866,72.08797659,72.20585024,72.52204861,72.68944523,72.91772924,74.78139428,74.7848358,74.93829471,75.50645446,78.82826524,78.84240672,80.89897803,81.1764491,82.92363786,87.42242841,92.06078241,93.00538045,93.4685079,93.8671615,94.19711015]","[5,1,2,4,3,7,0,2,7,0,1,1,0,7,3,0,3,1,0,1,6,0,1,0,1,0,1,0,1,2,0,2,3,1,1,1,2,3,3,3,7,0,0,0,1,5,0,0,5,4,6,4,0,6,0,1,0,1,0,1,1,0,6,0,1,0,4,5,0,1,7,0]"
"[3.6969774,7.94152721,8.38689533,9.66293681,9.99363275,11.11109475,18.52281396,20.29526462,22.87214956,23.62540619,28.2331533,32.24926356,32.83751435,33.14314647,33.52087103,34.14163289,34.27343162,34.50731954,34.85704973,36.75590927,37.8351265,38.9265712,39.87614706,39.97557081,40.0932631,40.13860134,44.16448975,44.17353473,44.24504567,45.76102054,46.05986869,46.06489349,47.36589333,47.67040638,48.27960243,48.78761745,48.94694597,49.27226431,50.89173832,51.35537159,52.67860657,54.51198179,57.67430342,58.79316894,64.7746191,64.91391127,69.13025141,70.23200012,70.66539863,72.19118892,84.4370942,85.12917574]","[5,2,1,2,3,0,6,1,0,7,5,3,1,1,0,0,0,1,6,5,0,1,1,0,2,1,2,0,1,1,1,7,6,0,0,2,0,0,1,6,2,7,2,5,2,6,0,1,2,7,2,5]"
"[1.6663148,4.29784413,9.46557638,13.77893644,17.78780206,22.69150446,23.11289623,24.44132782,25.81058682,26.79551995,26.98690533,29.65552325,40.06730588,41.93721385,42.29260355,42.6456197,43.03848075,43.51314328,48.78245164,51.35703338,55.0609922,55.8168924,58.55829705,59.78529708,60.32176497,65.19911964,67.0394219,72.75770264,76.23630453,76.54577858,77.05022538,81.2341106,81.65360235,82.05290752,83.67966402,85.12048568,85.16139278,85.17056386,85.61169183,86.04207258,87.04136377,87.07455509,87.32689326,87.34467529,87.65915692,88.36693668,88.91824081,88.96847905,89.1897874,89.93100374,89.99596322,92.67570814,92.6924822,92.81707822,94.73082634,95.20055132,95.3766682,96.55747733,96.86756882,101.21224691,101.24565019,101.44118473,102.6230745,102.75804273,102.92492092,103.07586435]","[6,5,5,1,6,3,2,3,1,4,3,4,7,2,4,3,3,5,5,7,7,1,2,3,2,2,7,7,1,4,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,7,1,0,0,1,1,2,0]"
"[6.18021071,8.92081369,11.05055937,12.66255214,13.07690218,13.28792413,15.27981465,16.12946096,16.34387253,16.68641154,18.25048082,20.37031083,20.85257096,25.60353202,26.34267364,26.76264876,26.89254225,27.40426679,29.12002963,29.41610381,31.2147874,31.26334937,31.68586774,31.82516824,31.96656645,33.99136228,34.18256292,38.03319593,39.01666283,48.83493108,51.53676199,53.29357377,55.51124912,55.88704379,56.51354617,57.67925193,59.0594696,62.56163055,63.32854702,67.96756367,71.97637836,72.65723678,73.08360378,73.19392833,74.09753783,74.97297772,76.64069176,76.86729564,77.10125787,77.76790985,80.80522805,85.31194884,96.22441492,96.65772192,98.51738166,98.76462051,99.49308328,101.52221842,103.5614899,103.76589751,104.20027761,110.13981449,110.18917558,113.25698245,117.43821505,119.10111683,120.00230017,122.21062889]","[0,2,1,1,0,1,1,2,3,2,3,3,2,1,0,2,3,1,0,1,3,0,1,1,1,6,3,6,6,5,2,3,2,3,2,7,0,5,2,3,2,2,3,4,3,4,0,1,6,7,6,1,1,0,1,0,1,1,1,2,0,0,1,6,6,0,1,0]"
"[5.1088549,8.63324415,11.76693314,14.19441244,14.90430426,15.33901257,20.47977364,20.95577829,22.08033622,22.0954151,23.21643352,24.68542516,27.39418461,27.82067884,28.58198606,30.26682451,34.44237565,36.32888219,38.36677225,38.42306768,42.29169839,43.88576439,44.09295428,45.5163176,45.66321231,47.35631217,49.11927672,49.26927543,50.96549681,51.5055753,51.73110408,52.47393811,52.78151598,54.9285284,55.5110063,56.15468927,57.27926237,58.84703391,59.67511476,60.13557043,60.81150943,60.85263048,61.63144107,61.76441213,61.78271857,61.90434493,62.05110568,63.45413136,64.49446871,64.66422868,65.91790866,66.36308949,72.49111745,72.97722839,74.3796884,74.65286583,75.7005905,78.06153493]","[7,3,2,5,5,3,1,7,2,4,1,0,1,0,0,2,6,6,3,3,2,2,7,3,3,2,2,3,4,6,7,2,2,7,3,2,2,0,1,2,7,4,0,7,1,3,7,1,0,3,0,5,1,0,0,1,1,0]"
"[1.45954916,6.17132153,7.50856673,11.89962059,12.20643306,16.11344489,16.79154143,19.64607729,20.02061504,20.198604,20.25509484,20.40719538,20.52529554,21.66343997,22.68890035,28.43373237,29.93115034,33.15430317,35.29283936,36.55725135,37.06504005,37.89066095,38.2515789,39.90138672,40.12103365,41.95924271,43.90680115,44.12666776,44.78733441,44.86539247,45.17575082,45.22046911,45.90722541,46.6877587,47.18705669,48.96748442,55.03310433,55.11394555,55.23214493,56.20993265,56.24990886,56.50535101,60.07739588,60.22001578,61.22658928,63.76341512,67.71542148,71.99097054,74.65923189,76.19103437,76.23485114,76.9649654,76.98156334,78.95508216,81.9447092,82.64138944,84.75504515,85.19091822,89.91286738,99.21499673,101.26253013,101.43488373,104.45145307,104.53832719,105.34375371,107.89224575,108.94322644,110.30749073,110.47629457,116.45458013,118.81119958]","[0,2,3,2,6,5,5,3,3,1,7,2,6,0,6,7,1,4,1,0,2,1,3,3,3,5,2,3,3,3,4,2,5,3,1,3,0,1,1,0,0,1,2,3,7,5,2,7,0,2,2,3,3,3,2,3,3,5,3,5,3,2,1,0,4,2,7,2,4,4,3]"
"[2.24986424,3.49086874,5.92328663,14.67189828,15.44495351,17.17988573,18.20878458,18.40550111,21.51194032,22.94115219,24.10799397,26.17306492,28.25093559,32.44242134,32.74136015,32.82295327,34.28782071,34.52374887,36.39321266,36.67353062,37.24473861,37.52255411,41.72017245,42.75768954,44.72552292,45.85312844,46.33472022,47.70347678,47.85907058,48.04077094,48.11533567,48.57762786,48.72793318,49.18318145,49.87185549,50.48848757,52.1336472,54.79974801,54.94098307,55.03198582,55.32003473,55.85028255,56.02309153,56.20286999,56.26152939,56.28591298,56.50496541,56.51175598,56.78624666,57.15803529,57.54062711,57.89102796,58.16604842,60.790449,60.88739418,61.11748528,61.34255705,62.07430557,62.66712505,63.76369609,64.18902303,64.69248559,64.76430547,65.36172853,65.73668744,65.92665916,65.9516007]","[5,3,7,3,2,3,7,1,2,2,7,2,3,2,5,3,5,3,2,6,5,6,0,4,1,1,0,0,0,0,1,1,5,7,0,0,4,1,0,1,0,0,1,0,0,0,1,1,4,1,1,0,7,1,0,0,0,0,0,1,0,1,0,1,1,1,0]"
