event_times,event_types
"[1.35025159,6.37499933,6.87386443,7.56071163,7.71064765,9.4226165,10.18196385,11.09962704,11.226671,11.50114188,11.60908696,12.39953291,12.72038392,12.91618511,13.24315571,13.70263298,14.06208534,14.6961504,14.8705973,14.93662877,15.17535797,16.15993334,16.97423033,18.74192094,20.03329961,20.6440428,21.96724027,22.32651054,31.14075216,31.39412389,33.57220856,33.8834001,34.34031496,35.66753418,37.12697922,38.19538996,40.0024142,40.56604355,40.74979103,41.02121941,41.83305898,41.90101017,42.69229742,43.18614043,43.5826721,43.8959442,44.38257914,44.40679429,44.60897789,44.65707631,45.03760368,45.261027,45.36281733,45.60904038,45.74674889,45.9035724,46.28552013,47.4509822,47.83278019,48.51166416,52.02717902,52.76360521,52.8965563,53.1616467,57.53656811,58.0089994,62.34442037,69.35416648,69.9923945]","[3,5,7,4,5,5,6,6,4,0,5,6,6,7,4,5,4,5,0,5,5,4,3,7,1,4,5,1,5,6,4,4,5,6,3,5,5,4,5,5,5,6,6,4,5,5,4,5,6,4,7,6,6,5,6,6,6,4,2,5,2,6,7,2,7,2,7,4,5]"
"[0.83164743,1.37460063,5.95762705,6.07781993,7.01875604,9.15206768,9.31184556,9.60891678,9.83216917,10.86597261,16.23709,17.13765106,17.85130715,23.32556087,23.72298214,24.74038349,26.95797363,32.81704988,34.06977634,34.72481969,35.44172166,36.27268217,36.42774789,36.57748515,37.12326686,37.14532468,38.58466849,42.02229658,43.80953442,44.75340368,45.15692268,45.32852438,45.64308594,45.95333898,45.98350179,46.53329524,46.75471896,47.68312808,48.11199871,48.31867305,48.73626181,49.25328106,49.42526967,49.48884972,49.91192605,51.44162175,52.49991378,55.12810172,56.45227599,56.64645811,57.26090711,57.89640355,58.00587847,58.54863725,58.89618329,59.39954949,59.60213464,60.01395268,60.12438213,60.6326471,60.63418949,60.76828051,60.78087619,61.37181708,61.39359806,61.61596874,62.13104734,62.70555133,66.44575902,67.89728672,67.92478998,68.79249186,69.14231579,69.23738714,69.53385171,69.94585849,70.15355757,70.29128315,71.06480878,71.08750034]","[0,1,4,5,0,5,7,2,6,0,2,0,7,6,7,7,2,4,7,5,4,6,7,3,5,6,2,5,4,5,6,7,5,4,5,4,5,4,0,6,6,6,5,4,4,7,4,4,6,5,5,6,4,6,5,5,4,6,6,5,4,2,5,5,6,6,5,6,7,5,6,3,4,5,1,4,2,6,4,5]"
"[2.46487553,2.53410276,4.01254904,4.03253273,4.20893996,4.42119357,4.84170054,4.9342756,5.44135692,5.94288102,6.72504774,6.82676669,7.25747833,7.28228742,7.97571042,8.99023702,11.8685306,12.34106801,12.89369644,13.20017967,13.5938059,13.94931838,14.02439483,14.19151435,14.6625151,14.96697214,15.15491842,15.30835621,15.31670541,15.33182133,15.60163597,15.60381645,15.80613233,15.91244073,16.03010732,16.1302862,16.72374422,16.75126405,16.77232165,17.04466393,17.18807882,17.76058792,17.79589088,18.03175918,18.08570642,18.12686772,18.21343173,18.3967075,18.41337632,18.58572024,18.80599542,19.18312126,19.28943245,19.38886387,19.61189935,19.69804968,19.70706888,19.90800215,19.93827641,20.00948615,20.11115072,20.20324231,20.21124335,20.27373055,20.5359205,20.60253268,20.6083067,20.62023644,20.62700337,20.94982423,20.95915483,20.99186633,21.55655463,21.73671159,21.90717365]","[4,5,5,5,6,4,6,5,6,4,6,7,2,0,6,5,4,5,5,4,4,5,6,0,4,5,4,4,5,4,4,4,5,6,5,4,5,6,5,4,5,6,6,5,7,5,4,5,4,5,5,1,6,5,5,4,6,4,6,6,4,7,6,7,5,5,7,4,4,6,7,4,7,6,6]"
"[0.66190967,6.14016952,9.1960239,12.50048455,18.3080311,18.91870458,21.60895022,23.51223096,26.54236852,26.90954001,28.34852401,31.3157514,32.37529953,32.72000669,37.96127879,39.408273,39.96142582,44.60508274,45.21813766,50.49613504,55.11642797,59.88539764,61.34217273,63.17351001,64.45725591,75.2407478,77.94693852,80.16229147,81.24710461,81.58470424,83.31547184,83.43886985,84.62243955,84.9508183,85.29290623,85.45059936,86.35526287,87.96266616,91.73124754,93.22266445,93.39690022,94.20818286,97.30530265,97.55905873,98.10856228,99.54061247,99.75192217,99.97449492,100.17449983,100.41679937,100.80719799,101.49748184,101.50417643,101.64297821,102.21946623,102.39826005,102.42912622,104.09547705,105.08492634,105.33030451,105.34329219,105.42277072,105.5183471,105.7291226,105.75743497,105.77764776,105.88405161,105.98875784,106.54761471,106.72881546,106.79822829,108.5877001,108.66270014,108.85604107,108.88711855,109.0612591,109.10411707]","[5,6,6,0,2,0,2,0,7,3,3,1,1,2,5,2,4,1,6,2,7,2,2,3,3,1,5,4,4,7,5,5,6,6,1,1,7,6,4,5,6,5,4,3,5,7,4,5,4,5,4,4,4,6,5,5,0,5,0,4,4,4,5,5,5,4,4,6,4,6,4,4,5,5,4,6,4]"
"[1.00524296,3.69831152,5.69419462,7.06733968,9.73870676,10.03416449,10.47763296,13.72851361,14.65286062,14.66136379,17.33621725,18.82472828,23.39898981,23.94255513,26.12947743,26.28622089,27.33399948,27.88519124,31.19191983,31.50471479,33.04639142,41.42869348,43.16535951,45.00980299,45.46710152,47.27315927,48.07532514,48.24794671,52.16733142,59.20115984,62.68799063,62.89752458,63.0014975,63.48626359,63.59127645,63.76467794,64.17446557,64.80553991,66.49626114,66.936288,67.38506485,67.56122004,67.64494392,67.94292392,68.98796148,69.20443882,72.53451635,73.46628034,73.96400589,74.55514248,74.57246859,74.8333008,74.85057508]","[1,4,5,6,1,6,2,1,5,6,3,6,7,0,0,3,7,7,7,2,6,1,2,5,5,3,5,4,1,0,5,4,5,5,6,6,4,6,5,4,5,7,4,6,7,6,6,4,4,5,4,4,5]"
"[0.50092376,0.90871777,10.82117339,14.46989168,15.05232247,19.62360392,19.8774043,23.23871588,24.94097078,28.71812607,29.4752365,30.26068929,31.08319992,31.14303127,31.28233214,33.44745311,37.09838064,37.44222603,38.02847687,39.43214236,41.83978765,43.02684431,43.51573357,45.73812607,46.56269947,46.59564299,47.76436614,48.08612796,48.23162709,48.71337829,49.21274093,49.84221746,50.29071299,51.05750402,51.07404307,53.68777248,54.321249,54.39807665,54.4621464,54.83063836,56.78060599,61.64634871,64.06901068,65.15941265,65.49906712,66.08880364,67.62990992,68.64464981,68.82059528,68.9392609,70.12939512,72.49134859,75.4402491,77.42332726,84.48007228,84.99327654,86.07429213,89.31710268,91.57124871]","[5,6,0,2,2,3,6,4,3,7,3,5,6,6,6,6,2,1,4,5,3,7,4,4,1,5,5,4,2,4,4,5,5,6,4,4,5,6,5,4,6,4,5,4,7,2,2,5,7,6,6,6,1,2,5,4,5,4,5]"
"[4.24245759,9.21416226,9.56770913,9.68051555,15.61336079,17.44445704,18.52871608,18.53982727,20.1941929,20.4540515,21.91111132,22.93532853,26.06493249,29.49563493,30.26092417,35.91477558,36.44814648,38.19352484,39.62337478,40.07059262,42.90670782,48.62396983,50.42467543,50.93517435,55.9785379,56.10825764,56.22814906,56.38953924,56.5039142,57.21208817,58.344699,58.87634486,59.20515353,59.31574109,59.87357468,60.04355103,61.06557594,62.17460615,62.26882785,63.33440201,63.53613531,65.81660539,65.99559579,66.21048754,66.40161046,66.69115156,66.70131975,66.97935139,67.81153642,68.04654448,68.12687338,68.7039858,69.18795043,70.11314073,71.59609033,72.11024845]","[7,5,1,2,0,6,4,3,5,6,6,1,6,1,2,0,0,1,6,0,1,2,4,6,4,5,4,5,5,4,4,4,6,5,5,4,7,2,4,5,4,4,5,5,6,0,4,5,6,5,5,6,6,6,6,7]"
"[0.83400373,6.47689407,7.15724123,10.2299876,10.69185778,19.15175176,25.13007028,25.30253851,26.20722459,26.31225382,26.73667992,29.33849266,29.44322328,32.161148,38.09163725,38.2597916,38.30726594,39.33434869,43.39061577,44.57259398,44.80877073,49.3991828,50.18070338,50.32967805,51.15827024,53.94474216,58.24288043,59.0650763,61.20306348,63.29085129,65.2784797,69.69081744,72.20151559,72.85236426,75.5767749,76.96486819,78.08805751,80.55856441,81.40696255,81.50249888,81.97837615,83.26455353,86.15499394,89.82738742,95.31276974,95.47923459,98.29816104,98.43005305]","[0,7,2,0,2,0,5,6,6,4,4,5,6,2,4,0,5,2,0,0,0,5,4,5,6,4,7,0,5,6,0,0,1,5,6,6,7,3,4,5,6,3,6,2,5,4,3,1]"
"[4.48706236,11.29303652,13.68018273,14.27068854,16.59003783,17.25643544,18.12217015,21.87283166,22.48386804,23.81902314,25.68033447,26.7016119,29.69054565,30.45598877,31.71694025,35.75020617,37.36676713,42.70010049,47.14299562,53.66409309,58.63696293,63.72330946,66.3145328,67.44466608,77.20472706,78.6578937,79.63478046,81.33082549,82.68099384,82.80781624,82.90346195,83.10155331,83.17013845,85.40193601,86.16481979,86.93951847,87.50691024,92.25941794,92.70444246,97.316798,97.47895265,97.68659123,99.44403423,100.45617573,105.20799033,106.9511535,109.02934511,116.35190532,117.53670811,117.78938616,118.45402353,120.34509795,120.97866936,121.59260724]","[0,2,7,2,5,1,1,6,7,4,2,1,5,6,7,7,4,2,5,0,1,0,3,3,4,5,3,0,5,5,4,5,3,0,7,0,4,2,4,5,6,6,6,0,0,1,0,5,4,5,5,1,4,5]"
"[1.15490628,1.16477232,1.28715347,3.12439402,3.9362614,4.84398782,7.98771894,8.15920532,8.65249776,9.95376049,10.50673977,13.51030565,13.54019473,13.89803657,14.38217315,15.43523051,15.918926,17.3267923,20.77659678,23.99261317,24.1354077,24.17719982,24.74703301,31.73348093,39.06894035,40.48182637,40.53880306,40.82739651,43.30733577,43.57496797,47.06531408,51.00419843,51.53948342,52.11834147,53.24494145,54.53983598,57.3651176,59.71837599,64.96698921,66.82228196,69.27658862,69.57988067,69.58984736,70.13644384,74.87172495,76.01919273,76.286785,80.75868615,81.57802045,83.35382597,84.30623675,91.81431199,92.38970481,93.14733171,93.58872353,94.28938564,94.92984321,97.40970375,98.36251081,99.11948978,100.44682658,100.55735176,102.25398251,104.51808475]","[7,4,5,1,4,0,5,5,6,6,6,5,7,4,4,5,6,5,7,4,0,0,5,2,7,0,6,1,6,1,7,0,5,6,7,7,2,2,6,2,1,5,1,0,0,1,4,0,7,2,2,5,6,5,6,2,7,1,0,3,6,7,4,5]"
