event_times,event_types
"[2.68562857,5.52862705,5.68976936,6.2973196,12.16137866,12.25684652,15.20336454,16.15151375,19.96001233,20.4004316,21.78704458,30.35038188,32.28256182,32.87149459,37.39077931,41.40321915,46.63660891,49.48182929,56.8258841,59.37315331,59.52578146,59.88481318,60.12489165,60.27433045,60.65464908,61.83226822,61.99553666,62.29523759,62.33854675,62.59814938,63.73065111,64.54709891,66.55515023,68.57530968,69.64904296,69.79230002,70.57437539,70.87820664,71.26813682,71.3750186,71.66767743,71.70140819,71.81959498,71.85767341,71.94761333,72.04128432,72.42519696,72.78843355,72.86952295,73.05694221,73.28153196,73.35142544,73.60079974,73.77864244,74.23335326,74.34461025,74.67971907,75.3048063,75.40264654,75.47089837,75.57729456,77.245782,77.27883285,77.74102088,78.09802607,78.28688427,78.88020278,78.93939059,79.11481862,79.20539439,79.4035005,79.50425361,80.16711566,81.25555027,81.75300271]","[6,1,7,2,7,6,1,2,7,1,5,4,0,4,5,5,6,1,1,4,1,5,5,0,4,5,1,0,5,4,1,4,1,5,1,0,4,1,0,3,4,5,5,4,3,4,0,0,3,4,1,0,4,5,6,0,1,0,6,1,5,1,0,1,0,4,2,0,5,4,4,4,4,4,0]"
"[2.30817635,4.52872407,7.12661552,13.90707141,17.41688303,20.02645361,24.71116817,25.33680718,27.65073005,27.96022277,28.02615246,29.85809633,31.55673868,32.68025599,33.7628287,34.19532672,34.61684691,35.9004944,36.27489988,36.54082124,36.57389246,38.31321002,39.2470467,39.25006739,39.86312986,40.71418426,41.17084992,41.44466965,43.28217167,44.51221486,45.21490458,45.89485302,46.26166102,46.51605189,46.69096817,49.10972536,54.5080467,56.68448908,59.3310565,59.51600633,61.32338995,68.40402443,69.26557472,71.99635975,76.49237367,79.06922713,79.23822707,81.21555096,81.80978071,82.27342667,82.39827101,82.58574918,83.30477175,83.52612604,84.34569714,84.42281053,84.44584518,84.46965553,84.68792048,85.81733035,86.01854049,88.66336077,89.34062109,89.97898515,90.44399895,90.63098181,90.74912353,90.93255595,91.42156591]","[0,5,4,6,3,5,1,5,1,1,5,6,5,1,0,4,5,0,0,5,4,7,1,5,2,7,1,4,5,1,5,1,5,7,7,1,4,7,6,6,7,0,4,3,0,1,5,5,5,1,4,5,1,5,5,1,5,1,1,5,1,5,5,1,5,1,1,5,5]"
"[1.98370879,2.74590372,3.56224608,6.54082094,11.92590498,16.27514736,16.36071275,17.42684914,17.62047528,20.18861315,24.29435695,31.0237194,31.07584712,31.17496077,31.54893114,31.72666145,32.33607526,35.61771403,37.07518247,39.60862389,39.83033761,40.05555067,40.14975651,42.56622907,44.61660504,45.01347026,45.12330008,45.27454055,46.1968721,46.9795618,47.22623792,47.64712281,48.97057379,49.17268349,49.35987524,49.92047352,50.12199489,50.35061141,51.9870251,52.09719321,53.17029485,56.57751017,61.92415445,62.40529762,62.4590475,62.46565964,65.0177482,66.19035482,66.60635297,67.49780619,67.92467938,69.01492031,70.94243952,71.52264122,71.78973729,71.91238891,73.08758679,73.79434963,90.35067419,92.10664079]","[6,0,6,6,2,0,4,2,5,2,0,5,1,1,1,5,5,2,5,0,4,4,0,0,4,0,0,4,0,0,4,5,4,6,7,1,5,6,0,1,0,2,5,1,1,5,6,1,5,1,1,1,6,5,1,6,5,1,5,7]"
"[0.25700715,4.68917469,6.43111387,6.47345114,7.27375365,8.10424486,8.67162099,12.39848693,12.98430296,13.38298772,13.584739,13.60713368,13.71008667,14.18252189,14.21517352,14.49975402,14.88691665,15.04187779,15.18507571,15.2971794,15.34718924,15.65870271,15.80259909,15.89845231,16.24307617,16.32978799,16.35503036,16.36172744,16.65607091,16.66820304,17.73461931,18.22613636,18.87252464,19.82291603,21.13433594,23.12785495,26.60578607,26.69832004,27.65538154,27.68941642,28.15723341,28.54724768,31.43234713,34.32431737,35.42259731,37.19822758,40.25292032,42.32329252,46.70640172,47.40194867,50.14677215]","[0,4,0,4,5,1,5,4,0,4,0,4,0,0,0,4,0,0,4,4,4,4,0,3,0,0,4,0,4,5,5,5,1,5,0,5,1,4,0,4,0,2,5,0,4,4,0,4,2,7,7]"
"[3.70025423,3.99960326,5.15951191,5.58421857,5.97622093,6.16546014,6.75762363,6.8670027,7.02865355,7.27453563,7.52809424,7.86036028,8.09025022,8.64488428,8.91201411,9.91703931,10.218982,11.4421874,11.66639081,11.96219601,13.11646645,13.12134621,13.57512795,13.80456378,13.83279268,14.41392612,14.42945042,14.47047743,15.03774622,15.19027141,15.45819459,16.33889758,17.26360586,17.48980714,17.86980146,18.27946194,18.4623806,18.71709616,19.10127821,19.30872359,19.36447206,19.95926774,20.18420608,20.26725583,20.34283362,20.36705106,20.37623279,21.52083133,22.59094012]","[1,5,1,5,5,1,5,1,5,5,5,1,5,0,1,5,4,1,5,1,1,1,5,1,4,5,5,1,0,5,1,5,0,0,5,5,1,1,5,1,5,5,1,5,5,1,1,1,5]"
"[7.82834712,8.31982372,10.47087626,10.48946215,11.99399758,12.0104515,12.91605935,14.12889878,16.04075348,19.27162961,20.06142078,20.25668539,21.14443522,29.27191667,29.73962591,34.60503623,35.35317359,35.98213857,38.72590423,42.38652086,44.82080291,44.88265366,45.19429648,46.66980008,48.83133514,49.44898463,51.40443575,57.74777117,64.67183006,65.2511291,65.34949692,66.57021195,66.88973617,67.03031447,67.36902073,67.54070713,67.83422536,67.90821083,67.99048253,68.07333649,68.15979524,68.48347071,68.91974666,69.47632006,69.91181612,70.13759229,70.39302572,71.32108044,71.75650024,72.89589178,73.23601106,73.53984548,73.60475345,74.78354151,74.97640897,75.13014584,75.16387647,75.27468338,75.34980366,75.40905524,75.88537813,75.94420697,76.35278739]","[4,1,5,1,5,1,2,5,7,5,1,0,5,0,5,5,4,2,2,3,3,4,0,4,5,1,2,1,0,5,0,0,4,1,3,0,5,6,4,1,6,4,6,2,0,5,0,4,4,0,4,0,4,0,4,0,1,0,4,5,1,4,5]"
"[2.86465438,4.11400544,4.16732354,4.46627481,6.08574537,6.18890116,6.67797947,6.75120705,6.77522366,7.15246086,7.27094946,7.38949534,7.47914979,8.29757648,8.75268466,8.75656871,8.96407409,8.98009353,9.4280761,9.52602098,9.71752436,9.73742151,10.03690427,10.1210238,10.22702111,10.34878951,10.46280648,11.49858073,11.67072265,11.72273779,12.20770418,12.56646956,12.69506376,12.73178821,13.09739079,13.69497406,15.31331889,15.56496715,15.6850084,17.19982313,19.05166879,19.43484462,20.95506503,21.51290059,23.40642423,23.82089941,23.97857308,24.373856,25.10552409,25.18358393,25.21537563]","[2,0,2,4,4,4,0,0,4,0,0,4,4,0,2,0,5,4,4,0,0,0,4,4,1,4,0,4,5,4,0,0,0,4,0,4,0,0,4,4,0,4,0,4,5,4,1,5,0,1,1]"
"[4.37466671,5.61685797,6.56412227,6.579604,7.26138189,12.8257846,14.17251079,17.83915724,19.26232166,22.54241856,24.01395884,24.89368543,25.09407753,25.89710544,25.93391288,26.83793218,28.94763182,30.09335971,30.57753074,31.40440102,31.42791373,31.89817568,32.01263593,32.14110541,32.26421139,32.90443638,33.51908296,33.80188007,34.25692317,34.82189068,35.41240706,37.3251391,37.54957361,37.58788256,42.91647775,44.34189869,53.84138726,57.38361823,62.06590342,64.91617868,65.91746609,69.28402401,69.95938227,71.87725261,72.6951771,72.95125976,73.40856846,74.4656939,75.42613601,75.69052116,76.44753589,76.68393777]","[7,1,5,1,0,2,2,4,4,1,5,0,4,5,7,1,1,5,1,1,5,5,5,5,1,5,1,7,1,4,0,5,0,5,2,0,4,4,7,3,4,1,5,5,1,5,1,1,5,5,7,5]"
"[3.4891304,5.1733674,8.91544457,17.82491275,22.17910493,22.56061928,22.71019775,25.66867518,31.26347205,32.75691695,34.66587416,35.06912598,35.09491586,35.78664865,35.80456572,36.5581343,37.02288927,37.38298346,37.43593149,38.05348027,39.67222232,40.83509442,41.21900617,41.39628228,41.52476058,41.57727048,41.72589597,43.06621812,43.4745835,43.76458394,43.94149775,43.97615104,44.05218861,45.12009662,46.4134355,46.49432829,49.04627945,49.21296159,52.37180894,54.7642265,56.15277947,57.40074148,59.58194686,60.461551,60.73905634,61.22145519,62.45979907,62.9383452,65.52138606,65.88950292,66.28752564,67.72878164,67.94608539,68.71014027,69.41377536,72.00679068,75.07575831,75.1541147,76.10227027,76.8263359,80.781345,90.47703041,91.40755806]","[7,5,5,7,1,5,7,1,2,6,0,4,4,0,4,4,0,4,4,0,0,4,4,0,0,1,5,0,4,0,3,0,4,4,5,4,4,0,7,7,1,5,5,1,6,2,5,1,2,5,5,1,5,1,5,5,0,5,4,0,7,0,0]"
"[1.51487272,8.76774618,12.27733619,14.16980397,14.29478883,14.45074566,14.62858391,14.74057012,15.08480767,15.57083422,15.73811648,16.84352255,17.1848637,17.60513506,17.98785553,18.27622801,18.70197429,19.05049877,19.08562589,19.1212818,19.27204171,19.84770885,21.67216794,22.48800562,22.89618545,23.05665652,23.16797449,23.64326745,23.96789427,24.26843499,24.72297271,27.00653515,27.7672106,28.37777792,28.84225783,28.85386437,28.98398068,29.02880876,29.74938897,30.17559779,31.75384037,32.45786981,33.62038716,33.85997606,35.93529024,36.2266821,36.35951048,36.41503006,36.70304942,37.47746086,37.50653357,37.71640197,38.26208013,40.38405233,44.33321083,44.39709747,47.26699345,54.60663939,55.88389209,64.54489089,66.21541952,67.55407136,69.04253475,69.35319191,69.48424519,71.43398076,75.32189696,83.93072458,84.26457559,86.82773996,87.27016779,89.1495593,92.04059902,92.92597176,93.48212212]","[4,6,1,2,4,5,1,5,1,5,5,1,3,5,5,1,1,5,1,5,5,1,5,6,5,3,3,1,4,5,1,0,4,4,0,0,4,4,0,4,1,0,0,4,0,0,4,4,4,0,4,4,0,4,5,3,1,7,5,0,7,1,5,2,6,2,1,1,1,1,5,7,3,5,0]"
"[2.11271593,8.96724789,10.37988675,10.88291857,10.88733945,11.60574666,12.31087104,12.75816183,12.8412593,12.8912474,13.00367564,13.03034873,13.22510687,14.8364492,15.56336226,15.96108003,17.11167587,18.00978918,18.96183107,21.81769163,21.97407759,23.2237738,23.51344992,24.37614952,24.40772001,25.75608689,26.78818471,28.55319952,31.21553277,33.10071775,33.21777278,34.26641801,37.57728598,37.8283339,38.0538222,40.69414943,43.94527633,44.75361412,44.91875926,45.05761838,45.15757356,47.74574522,47.91306809,48.33694441,48.41292738,48.47244008,48.67610904,48.71452669,48.71497429,48.72077198,50.87715771,50.94164184,51.08615031]","[7,5,1,5,1,5,5,1,1,7,1,5,1,5,6,1,5,5,5,0,4,6,6,5,4,1,6,2,2,1,4,5,2,5,1,5,2,2,5,3,1,2,5,1,3,1,5,5,1,1,5,1,1]"
