event_times,event_types
"[4.64187297,7.35791082,11.55328262,14.81652849,22.06327232,22.54617785,22.58244013,23.61045778,24.15746368,26.37964286,26.55115144,27.83535461,28.38387319,28.85388376,29.36285845,29.89863897,30.60878911,31.73581632,31.98436137,32.58202112,32.96531887,34.7587151,34.86249516,35.25681778,35.40542627,35.80987031,36.24808028,36.40074451,40.47368215,40.62593381,41.28594322,41.35384017,46.06050199,50.78779183,51.62975968,51.9408786,52.48316028,52.5699662,53.41200941,55.48798125,55.9215831,58.16502862,62.93061372,64.11367104,69.68313499,71.28431684,76.62017809,81.72182882,81.96836991,82.29952239,90.39472714,94.88370658,95.0336109,96.95744329,97.34214739,97.61714142,98.51705825,98.72214718,98.94798238,99.18254242,99.55296017,99.56107619,99.59817837,99.70470693,99.74799271,99.88802773,99.90473877]","[0,4,1,7,7,0,1,7,1,6,0,1,6,5,7,5,2,7,6,6,1,0,5,1,1,6,6,0,6,1,1,6,1,2,2,5,5,0,5,6,5,0,3,5,4,5,5,0,7,5,3,6,5,0,7,7,0,0,0,1,6,0,3,7,5,7,0]"
"[2.68029048,3.68954795,12.2527402,12.2995723,15.38194846,17.75810791,19.33063774,19.39278796,19.74730222,21.64831438,22.59004456,25.87909273,27.31089756,27.36356393,27.50297735,28.25235994,28.60578655,28.66155354,28.69954938,29.89286214,30.69349174,31.80137284,32.34611256,32.58142206,32.77193405,32.97416006,33.54082946,36.30152059,37.16801711,37.63126134,37.99562902,38.50734774,42.27651465,44.21734028,48.48068794,50.88441321,51.29804052,52.57770331,54.64652225,55.59166548,56.43305792,56.48299815,56.88616546,57.28422141,57.72083928,58.93185808,59.44459534,60.29420443]","[2,5,4,3,1,7,5,2,5,5,2,2,7,0,0,5,5,0,3,5,7,0,0,0,7,0,7,0,7,7,5,7,0,0,0,7,0,6,6,1,1,1,6,6,1,0,6,1]"
"[1.5646421,3.50626573,5.91879294,6.71571962,14.83159866,19.14635902,19.22630897,20.47231589,20.94226142,23.66153179,25.61728887,25.81449973,26.66864686,27.37985768,28.25474053,28.92502401,28.9371547,29.61888398,30.62087936,31.16176331,31.9619943,32.47559321,32.66911771,32.78013161,35.44396946,35.45135204,36.11509354,36.19282025,36.60104185,37.12882048,37.84216085,40.38651721,47.22857301,52.15139811,52.68283722,54.95075717,55.18932974,55.71365161,57.65008679,57.77536217,58.60513268,59.2787858,59.36802153,59.96145233,60.67262952,61.51957088,63.05788692,63.33735631,63.7642177,63.78609556,64.04855843]","[1,6,3,3,4,2,5,0,1,4,6,1,1,6,1,5,1,0,7,7,4,6,1,6,1,6,1,1,6,6,6,3,4,6,0,7,7,7,3,0,7,0,7,7,2,0,7,0,0,2,7]"
"[2.38163247,5.0904929,5.41775612,6.47096312,7.33456529,7.38262002,7.96409762,7.99111503,8.05149468,9.68939654,10.97459916,11.75368531,12.38264131,12.90230871,17.25769193,17.4021809,18.21686735,20.3789161,21.885612,25.14894407,28.96385162,29.16387609,31.38431554,33.83801975,33.92679968,34.44547425,34.76297514,39.09257886,39.33907501,39.5052176,40.16668342,40.38817013,43.57968681,45.15131538,47.31943883,51.04451093,53.05318234,58.73972972,61.7803812,65.70219246,67.85262767,69.11958211,72.82023352,73.47521091,80.84720101,81.90291689,84.22568495,84.67741783,88.47723262,91.19197893,93.38004338,96.64243671,97.19958687,98.2382807,99.2123241,100.912468,100.98860004,102.90903524,104.64169871,104.93640992,105.05907254,105.26437726,105.36647582,105.51928046,105.62497721,107.34849882,107.61167479,108.1216503,116.19732782,120.60751698]","[5,3,2,5,7,0,0,7,7,2,0,3,3,3,0,2,5,2,5,0,7,0,0,3,0,6,1,6,6,1,5,6,5,1,3,6,1,0,1,4,2,6,2,5,7,1,2,5,4,3,5,1,0,4,6,4,1,0,5,2,7,7,0,0,5,7,5,7,1,2]"
"[0.07405107,2.79426826,8.99763838,11.21979142,12.30365818,15.19159703,18.08857828,21.34217426,23.54388715,24.09646638,24.33444521,24.5749381,25.09107937,25.42968269,28.00912046,33.60745101,33.91777144,34.89994122,34.90116955,34.98391283,34.98474987,35.33513894,35.94447372,36.22026891,36.90561439,36.90906787,37.73495992,40.09834983,40.59302244,40.98630489,41.52711568,41.56508665,41.58818707,41.74813525,44.80999695,45.87712383,47.35680394,47.46349288,52.31634772,52.44085375,53.84422597,57.97688585,58.30340055,59.7719543,60.32220235,63.62047181,64.41757901,64.62513376,67.2594928,67.60191949,69.72564505,70.40934877,70.53691091,71.02905018,71.06812197,71.49612197,72.23240062,74.0575152,74.46399449,74.96726511,76.52871582,76.68182346,76.77089926,79.3102365,79.43868868,79.45330969,82.2019339,82.91052999,83.27361425,83.98820061,84.32216823,84.36172382,86.47047198]","[1,3,4,6,1,7,0,1,7,0,7,5,0,7,7,0,7,7,7,7,0,1,0,0,7,7,0,6,1,6,4,1,1,0,5,6,7,1,1,2,3,2,5,0,1,5,0,3,7,2,0,7,3,4,7,2,0,5,7,1,6,1,0,6,6,1,0,5,7,3,0,7,7]"
"[1.22051356,6.38768139,7.21412279,7.28719758,10.80759991,11.02587968,11.22822354,11.71677031,12.08389741,12.855071,14.28286839,14.34880819,15.75168564,16.44450811,18.00733036,20.21214068,21.82266194,21.94973041,22.0033799,22.33844716,22.35021249,22.70687322,23.6653956,23.93754039,24.4452585,24.91582198,25.32431135,26.07937584,27.74854669,28.28082857,28.43981882,33.17118728,34.17970901,35.57075352,35.84732605,41.25301656,42.40332693,55.10380836,55.57189056,59.09700747,60.13222353,62.56261412,62.93212516,63.26497945,63.65930419,65.11872067,65.4833504,65.94128235,66.33257913,66.48606522,66.68677273,67.01199033,67.2637766,68.29707763,69.63510268]","[1,7,0,0,6,1,6,6,0,7,1,1,5,6,0,7,0,7,3,0,0,7,0,7,2,5,4,7,0,7,0,1,1,6,7,5,5,2,4,5,5,7,1,0,3,7,0,5,2,7,2,5,1,7,0]"
"[5.89046864,6.40434912,7.79166371,8.91453769,10.48825177,11.44282731,12.44889206,13.28961837,14.14037578,15.35654072,16.87158505,22.79502132,22.85831064,23.87090996,25.49781266,25.88698951,26.05146673,27.10735311,28.46668973,29.98741202,32.90856832,33.767109,34.47743905,36.33507025,37.90964661,44.88440074,51.12113682,53.37527006,54.81015851,62.21616369,63.00759977,63.46603345,63.567263,64.28280527,65.01587853,68.09961882,68.65853368,68.72667369,69.88632144,70.91387712,73.27632972,73.29656778,74.43643534,81.94889504,82.3850225,82.91846751,82.95957607,83.15434706,84.1796746,84.8224121,85.9649772,86.84441867,90.50373016,90.96094318,93.16511886,93.64064243,95.21877832,98.14788339,98.42843986,101.28763462,106.44302379]","[5,2,5,5,2,5,3,3,2,5,5,2,3,5,5,2,2,5,6,5,4,2,3,3,4,5,0,0,5,1,1,6,1,1,5,6,1,6,5,2,1,7,0,2,6,4,1,5,6,1,4,6,7,4,0,2,6,3,6,1,0]"
"[3.25454238,5.20909296,6.24110031,7.14693837,8.59645417,9.49704282,10.32683607,10.33046614,11.00980183,13.33208032,13.37351738,14.68599278,17.124666,17.41666102,19.74939866,19.79730177,20.73642685,23.1926093,39.50313866,39.82185151,40.34800911,50.64188554,52.68883309,57.20926378,62.80665925,62.87134139,65.09478933,66.22954617,66.27382929,66.38304471,67.94933008,68.40303669,68.91145382,71.96730134,72.11266057,73.43238268,73.62383329,73.84508698,74.86876712,74.97653738,77.33344807,78.32035047,85.83929219,85.87653276,85.87977934,86.48186896,87.78687752,88.06177351,88.33393452,89.76200801,89.89880395,90.91267588,91.32361888,91.67714577,92.35794035,92.56557907,99.56796025,111.19071063]","[1,5,0,2,4,3,7,0,2,0,0,7,7,0,2,0,5,4,2,2,5,1,6,5,4,3,3,6,1,7,2,4,3,5,0,7,7,0,7,7,0,4,7,0,0,7,4,6,1,1,3,0,6,1,5,2,3,7]"
"[0.90319369,9.26259856,10.57285874,14.25073435,15.61251934,18.8404692,20.79046109,22.67501829,25.97748366,28.42217534,30.11146925,31.0605027,31.19006442,31.36434839,31.77551223,31.9155495,32.21565289,32.42168085,32.48247772,32.75902557,32.83772666,32.85384919,32.94077339,33.17110819,33.49647444,33.57452398,33.72012919,34.20602351,34.46792114,34.87974383,35.39496297,35.47808962,35.9665807,36.0060979,36.05195059,36.2065172,36.55393517,37.49675177,37.64657019,38.4775737,38.77427687,39.16060341,39.37168331,40.96559696,41.57208318,41.73240134,42.03374084,42.25653064,42.31980216,42.37040148,42.69093286,42.72264344,42.95059915,44.05042454,44.15185239,44.84178262,48.26704308,49.52649514,49.75672641,51.43397864,51.87133226,52.40673287,52.43801362,53.38970556]","[7,7,5,5,3,4,5,4,4,1,6,1,1,6,6,7,1,0,6,7,0,1,7,7,6,1,1,6,6,1,6,7,1,1,6,4,2,6,1,6,0,0,7,7,7,7,0,5,0,7,7,2,7,7,0,0,0,2,5,7,1,0,7,0]"
"[0.4913281,1.9454672,3.35824541,6.9168038,7.96645387,8.64421119,9.09261023,9.80985907,10.72139413,11.06974026,11.08109123,13.35002644,18.68064271,19.23115426,21.18564192,21.2922756,25.93641825,32.093105,33.62972501,35.0722607,37.93754163,38.52071432,40.50298095,42.66669396,43.41304445,50.76162161,53.68754087,54.70358809,56.73631104,59.4286393,62.74658322,68.09348106,69.68824036,70.44527932,70.58519572,71.88995252,73.35827868,73.81671408,74.03500877,74.20892792,74.55246342,76.73459699,76.85194786,78.01226447,79.92128083,80.15420134,80.60800856,82.3239938,84.13508416,86.07918254,86.14682079,86.23286699,86.32253232,86.48891174,86.92693631,87.10801013,87.20034949,87.40262063,87.59156837,87.67443761,87.70009637,87.75836959,87.86490328]","[2,2,0,0,2,1,4,6,5,1,7,6,7,7,6,0,4,3,7,0,7,6,0,2,1,1,0,7,5,1,4,5,5,2,5,0,7,0,7,5,0,5,0,7,5,0,0,7,0,7,7,0,7,0,7,0,7,7,7,0,0,7,0]"
