event_times,event_types
"[1.48703668,1.89844935,2.3436688,2.42926605,2.75933784,2.82642231,3.57927156,3.58031874,3.84199289,4.4990363,4.51973854,4.55937509,4.77966087,4.9708978,5.17417299,5.3116746,5.34885342,5.40460784,5.59827557,5.70881279,5.91787925,5.94410369,5.94478187,5.98364989,6.00194702,6.03579941,6.26114415,6.60867518,6.6886737,6.71936259,6.79453093,6.8258041,6.86883429,6.88682269,7.05040147,7.2396836,7.32327569,7.43596867,7.57387349,7.78806546,8.11422682,8.14320692,8.42104197,8.4597605,8.51999873,8.60826627,8.68264459,9.19150942,9.25989093,9.36735204,9.40030242,10.10246167,10.30044406,10.30932985,10.37979065,10.49328927,10.57458215,10.70964297,10.95034992,11.17441266,11.33545916,11.48035836,12.56653361,12.57664061,12.93040767,13.06466859,13.23353728,13.53076084,13.67754301,13.68621126,13.72954249,13.97913198,14.02779194,14.06248958,14.17214972,14.47784723,14.60375211,14.61281059,15.40298426,15.53770392]","[2,0,4,5,4,4,0,4,0,0,0,0,0,4,4,5,1,4,4,0,1,4,5,0,4,4,1,5,1,0,5,4,1,5,4,4,5,0,5,0,0,0,1,5,4,0,5,4,4,4,0,1,0,4,1,1,0,0,4,0,5,5,0,4,0,4,4,0,5,4,1,3,0,4,1,4,5,5,0,0]"
"[3.05426949,3.88692996,4.07959661,5.83451647,5.85261711,6.84612157,7.57148899,9.21139172,15.2478832,15.44062329,15.44063188,16.08346655,16.40001095,19.94014694,21.88801246,22.04281339,28.51728403,36.18679164,36.36185192,37.08145857,38.41829324,38.8583507,38.89674699,39.20524593,39.88369931,40.81040272,40.96742709,41.28335185,41.52145855,42.10347152,42.26200296,42.68801749,44.37166656,44.64139431,45.46547315,45.86586707,45.90380348,45.94107839,46.26568709,47.09365463,47.42341266,50.83159688,51.37608103,51.46843244,53.63793626,54.86537665,55.29211098,57.30474998,60.10344928,60.44568444,62.81990515,67.3138472,70.26007051,70.53577542,70.82210569,72.99573044,73.41387548,73.44155922,77.46039196,78.73698588,83.12173004,93.16365623,94.79844357,95.51059518,96.4579882,101.2996818,103.96656161,104.17020945,106.16978269,107.73844214,107.94603682,108.54024169,108.93935733,108.96587658,109.38849451,109.44824256]","[7,1,6,1,5,5,5,7,1,5,5,4,2,0,4,5,7,1,5,1,5,1,1,5,1,5,5,6,1,3,5,6,1,6,5,1,1,5,6,5,5,6,1,3,5,1,1,5,1,5,5,7,3,4,0,5,5,2,0,0,0,1,5,2,6,2,0,4,0,0,4,5,0,1,4,5]"
"[1.91012423,2.38118058,4.03244559,7.63735593,8.54888216,11.02792389,11.3779853,11.83291555,11.88194333,12.0635256,16.8001266,17.31154801,17.51992177,17.84058431,22.47358116,25.38910062,25.5964,30.51695545,31.39066349,31.60754811,32.53326341,32.63808153,33.72473971,33.89704941,34.88067243,42.73559832,43.09781267,43.68843138,47.56488903,47.58799529,57.90091785,58.7546104,59.01514858,59.21369427,59.56903538,61.60178292,61.65045623,62.54182837,62.55260421,62.62817901,62.72873983,62.88364485,63.05013251,63.23211227,64.06055103,64.82951368,65.52671827,66.4298335,67.49002076,70.78422426,70.8012508,71.10077587,72.81305261,72.96887864,73.37037802,73.65815081,75.00628971,76.97557171,77.59840634,77.62476623,78.61158937,79.68820861,79.87329171,80.2461256,80.38825613,81.01060198,81.06207431,81.99590462,82.84820638,82.85731693,82.98378729]","[1,5,2,5,1,5,0,4,0,0,4,0,4,6,1,0,4,5,6,7,1,5,1,5,3,0,2,4,1,5,5,0,6,6,1,1,6,5,5,1,5,1,1,5,5,1,5,5,2,1,1,5,0,4,4,0,4,1,1,5,5,5,2,5,1,5,1,1,2,5,1]"
"[3.21065712,4.96653578,5.66232404,6.03844294,7.42773145,8.86432428,9.00888745,9.21316273,9.21927278,11.01853321,13.54575616,13.8919862,17.32773967,18.87995783,21.76561802,21.82111268,22.18096159,24.4634823,24.7575469,28.2708953,28.47487092,29.42408141,29.510707,30.73529209,31.1191671,31.34033295,31.36029564,31.72881628,31.79241477,32.83338837,33.71221288,34.55578213,34.6590424,34.95473052,35.43963047,35.89436546,38.51368412,38.61849007,38.7408061,39.34507505,39.64360736,39.68157142,39.80075841,41.6201566,42.42426741,43.95039876,44.03139889,44.25496825,44.32432607,44.67874811]","[3,6,2,3,6,5,1,5,5,1,1,5,7,6,5,0,5,6,4,1,4,2,4,0,4,4,0,4,0,0,4,0,0,4,0,1,5,4,4,0,4,4,0,4,0,1,4,4,5,0]"
"[1.783001,1.92982263,2.10523516,2.38592561,6.19069792,9.6086717,11.06373951,11.78794214,16.3846644,18.27340576,18.51704406,18.82129278,19.38295425,19.4250005,19.72540348,19.84116126,21.13817833,21.49584976,21.93811161,21.9837404,22.24569991,22.33509511,22.64830404,23.31120971,23.43391106,23.61261601,25.03149015,25.39982835,29.28777931,31.17119622,32.30988052,36.85751244,43.03328125,43.29438718,43.70507881,43.72826956,44.60163097,45.94436344,47.31414204,55.71977999,58.53580603,59.92767088,60.32475864,60.95809369,60.97771693,63.58708068,63.99574905,64.98545002]","[1,5,1,7,2,0,1,3,5,3,4,0,1,5,1,5,4,0,4,0,1,4,0,4,0,4,4,0,5,5,7,7,2,2,7,5,0,6,4,4,7,1,1,5,5,5,1,5]"
"[0.7878169,2.42314707,3.57786128,3.87694281,4.82219215,6.28325769,6.29919065,6.47518948,7.01233297,10.21117995,10.84090196,11.31659085,11.98928498,12.74437018,13.14018772,13.74445622,14.19445465,14.53834849,19.5354462,20.78784339,23.28299097,23.94486445,29.07178441,29.75254303,30.1319761,31.0642946,31.88149662,32.28575539,32.37750538,33.0443341,33.22652484,33.66595055,33.91459546,34.082631,34.66521358,35.0191286,35.51022019,35.74894832,36.33210948,36.63504931,36.63526717,37.70088863,38.4485349,39.11847018,40.70242893,41.04159359,41.31795162,41.90425155,42.33693156,43.12035579,43.25156075,43.37793928,43.57700439,44.8541032,46.53577716,47.27976302,49.29518306,50.03739628,53.03125311,53.3755064]","[5,4,0,2,7,3,0,4,5,1,5,5,1,5,1,5,5,1,5,2,7,7,5,0,1,5,4,1,1,5,4,0,1,5,1,0,4,1,4,0,5,0,4,3,1,5,4,1,0,5,1,3,1,1,5,5,5,1,2,0]"
"[0.15308536,0.76264241,0.83859927,2.23175956,2.81975022,3.84970206,4.08023041,4.53163659,5.65266591,8.54723126,8.68501701,8.84878031,9.35019837,10.19720248,10.31857746,12.81227895,13.03168937,16.74414979,19.8726732,24.93796905,26.52804195,27.36082202,27.98097284,28.51611882,28.98243479,29.03330435,29.28542449,29.97192052,30.19382904,30.43183887,31.59653403,31.78237478,32.14365812,32.34411789,32.75370606,32.80048979,32.8639566,32.98300842,33.31273979,33.53550402,34.23816322,34.34005495,34.45274072,35.02027328,35.22219098,35.39209626,35.39425131,35.70209817,36.31920593,36.34002817,36.60173464,36.75036515,37.04965948,37.39589501,37.43224959,37.47260538,37.81507426,39.22472949,40.28996421,40.44504937,40.80365895,44.92175951,45.58583236,45.73149473,45.74274567]","[0,4,0,4,3,4,0,0,3,4,5,2,1,0,4,5,7,2,2,1,1,1,5,5,1,1,2,5,0,5,5,1,1,5,4,3,1,5,1,5,5,5,5,1,5,1,5,5,1,1,1,5,1,5,1,1,1,5,7,5,1,1,5,1,5]"
"[0.88334098,1.06564284,2.31229014,3.18616651,3.31421499,3.75361988,4.29350995,4.81847985,5.85614762,7.31895087,7.93821475,7.94800257,8.93095028,9.23681853,11.47110666,12.00795009,12.65680018,18.04087104,20.18437655,22.16830106,22.52149044,23.28281726,23.45344977,23.69587352,24.26367889,25.18843018,25.94170613,26.79407791,27.37894678,27.67745229,28.16135409,28.41317861,28.48530145,28.67001518,28.68657515,28.94593673,29.06465129,29.08110322,29.53532355,29.57459657,29.64491157,29.7614487,29.77815593,29.95680715,31.28715005,31.57950746,31.75837449,32.2732648,32.60939513,32.86592821,33.17676833,33.23137516,33.36538287,34.39858915,35.92522646,36.2131484,36.36475265]","[0,5,4,6,0,4,2,4,0,0,1,4,1,4,3,1,4,2,5,4,0,5,1,0,5,4,0,1,5,5,1,5,5,1,5,2,5,1,1,3,5,1,5,0,5,5,5,1,1,0,1,5,5,5,5,1,4]"
"[0.452287,5.17771825,7.53327382,8.13374611,9.86517528,14.31024304,15.7756186,16.6210207,20.35696808,20.52984335,21.2268642,22.11735371,23.1202271,23.27566782,23.39447221,23.63061969,23.9203073,24.33533122,25.80930302,26.08564669,27.63307739,28.56691699,28.92077522,29.59912658,30.1508418,31.25414249,32.6211723,33.73049944,38.78441619,39.42258546,44.14602417,44.1684594,44.91669283,46.43654751,47.9503478,48.54265182,48.6157365,48.65281027,49.27962686,49.38515729,49.51172053,50.12575328,50.37472878,50.79386394,54.17185265,54.53824345,55.19037026,55.33639942,56.05373997,56.50131391,57.19035913,57.82577391,58.14688682,58.82492703,58.93604403,60.29828771,60.59419718,60.65158482,60.70490686,60.97993547,68.17962923,68.22382248,68.29353706,69.95520238,70.0449355,72.31194985,72.71840936,72.91365797,73.29613163,73.64928241,73.74151821,73.81734691,78.3741015]","[6,5,1,5,3,2,6,5,1,5,1,5,0,4,7,0,4,0,5,5,0,4,2,2,1,6,0,3,1,1,0,7,0,1,0,4,0,5,4,2,0,4,6,4,4,3,0,0,4,5,4,1,0,7,0,0,4,0,0,4,3,1,5,5,5,6,1,5,5,1,5,1,5]"
"[0.05992277,0.63140591,6.54408137,7.19056542,7.39447514,7.60927005,7.81952292,7.84271685,9.44037385,9.45802813,9.68136475,10.46720198,11.80216845,13.20829349,13.61907196,16.36552101,16.48728078,23.39661011,25.67554311,25.96120992,26.71973981,27.73696686,28.69162839,28.98364639,29.30899375,29.63541958,30.05687341,33.86854872,34.82083186,35.37048313,35.46992998,35.97586194,37.08811336,38.47254688,38.71799389,39.48245877,39.61311716,39.66754043,39.67983241,40.02899987,40.61466088,40.61946313,40.81016097,41.90692052,42.02209666,42.12959449,42.31821188,42.33349115,42.59460349,42.81992571,42.93832977,43.0199914,43.28041643,43.28151127,43.55778363,43.82332025,44.89184464,45.06624133,45.20503041,45.67586188,45.69864703,45.71212375,46.20720692,46.33474306,46.35655023,46.69645083,46.70849817,47.25982536,47.73062789,47.81216819,47.88616994]","[3,4,5,4,0,2,4,1,0,5,1,7,5,7,5,4,0,7,4,0,4,4,0,5,2,1,0,7,4,3,0,4,0,2,7,4,0,4,0,0,0,0,4,4,5,4,4,1,1,0,5,1,5,4,5,1,0,4,1,1,0,5,5,5,5,0,1,1,1,5,1]"
