event_times,event_types
"[3.463039,4.59446954,4.67730684,9.14104301,9.83323983,10.30357868,10.80233559,11.33840814,11.64857948,12.26576409,12.60458369,12.7929338,13.53999282,13.87204455,14.31559715,15.59729241,20.03775084,20.40770423,20.4269659,28.66487244,31.04791627,31.30290425,36.71930061,36.80143477,37.35955645,37.72550932,37.81554804,38.27075417,38.32175916,38.48576525,38.83636636,39.02662362,39.06775974,39.13361691,39.6421458,39.72080817,39.84060484,39.88392084,39.9712915,40.90873966,41.13277095,41.13807808,41.3731576,41.52949911,41.53445099,42.035406,42.07257081,42.88623123,42.9099644,43.2067988,43.46283025,43.56863136,43.977992,44.15000896,44.51868438,44.70715989,47.37919747,47.64340794,48.30506729,48.5314298,48.89170933,49.02834129,49.20701671,50.06375397,50.28884336,51.17160118,51.64298559,52.90457995,57.19017701,57.53130624,57.62034332,64.04039695,67.33325649,68.39690659,70.27327095,73.56114825,78.47305405,82.94737566,85.03293594]","[6,0,1,7,0,1,0,1,0,1,5,1,0,7,1,7,0,1,1,7,5,7,3,0,1,0,0,1,1,0,2,0,4,1,0,1,0,0,1,3,0,0,1,3,2,1,0,1,0,1,5,1,6,4,1,1,0,1,3,3,0,1,5,4,1,2,2,0,5,1,1,2,4,2,2,3,4,0,1]"
"[0.72772183,1.20523891,3.0437168,8.51121021,17.70970654,18.06701066,31.31836601,32.15497054,32.68687775,33.39953595,34.64054011,42.57617959,48.50860193,54.02008145,60.69180567,64.60898841,65.80023971,67.09600988,67.75022076,68.34723325,68.63913548,69.80444425,72.14228129,73.09213336,76.9853677,82.2307508,87.09985923,87.28441418,87.64440746,87.82964145,90.51682273,91.25845294,93.74416787,93.8705431,94.54390454,95.24574305,96.39542059,96.39959551,96.42062073,96.70253464,97.07021086,97.18348644,98.04890514,98.45641257,98.62012095,98.95882531,99.12490766,99.5890397,99.75004543,99.86238216,99.95166215,100.76510837,102.39493613,102.85069093,105.06923309,106.65358512,110.82547355,111.63560536,114.56011446,117.02610345,118.89925491,119.74613092,119.97782763,125.9493178,133.40828224,133.44426345,133.49748408]","[3,0,1,6,7,7,5,2,0,1,5,4,4,0,5,0,1,0,1,5,6,2,1,4,5,1,1,0,0,0,1,0,0,2,3,1,1,7,3,0,2,2,3,3,1,2,3,3,3,2,3,2,5,2,4,3,1,4,5,0,1,1,0,7,2,3,5]"
"[1.46480291,3.70977482,4.68212898,5.15366079,7.52357342,13.37135955,14.98141679,17.40713795,23.53000933,28.89109723,31.05382773,32.18057354,32.48773804,33.29873236,33.52816796,33.59278529,34.87211334,35.10199227,35.41116962,39.48617707,39.48952445,39.6772527,40.34752928,40.58748217,40.90888332,41.48797903,41.74823006,42.61169207,45.21460507,45.64983318,46.55232877,50.53181615,50.84923424,51.44670647,53.69356935,55.09655626,63.10060904,63.40803821,78.80613609,79.62344791,80.08438541,81.52875663,84.74987586,88.65831584,88.75141013,88.96416397,90.62484374,93.6975043,97.82586733,99.55950661,100.60738316,104.38306153,104.8550634,105.27663372,108.99045429,116.22797362,122.5652559,125.04788922,127.39586706,127.97199399,137.01575116,137.52966886]","[4,1,0,1,1,5,5,0,6,3,1,0,0,2,3,1,3,6,0,1,3,2,7,3,3,3,3,7,2,3,0,7,6,7,3,2,5,3,1,6,2,5,5,2,1,0,1,3,4,7,7,0,3,2,3,0,4,7,6,1,2,5]"
"[1.07377548,1.30321883,1.86682729,2.36279683,3.94668885,14.04281395,16.93038661,22.29790267,29.07933563,30.65116797,31.73876913,33.62528556,34.65499551,35.28263759,36.2177121,37.71082462,38.2946137,38.70282974,39.03324603,39.05888914,39.40632768,40.72754534,40.77423604,41.09686854,41.60144679,42.20425116,42.43372741,42.61498071,43.71129661,44.00359603,44.47893355,44.83725118,45.00208067,45.27799077,46.93708264,49.25144335,49.87465133,50.31336336,51.97298192,52.63529742,53.10026742,53.15241892,53.85313185,55.37710371,55.5200342,56.03913903,56.22438019,56.46017817,56.59219415,56.70914194,56.90360553,57.6741931,58.35952277,58.88208499,59.43822389,59.64226167]","[5,7,6,6,3,7,6,2,5,4,4,2,3,3,2,1,0,5,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,4,0,0,1,5,2,0,0,1,1,1,5,0,1,1,0,7,0,7,0,1,0,0]"
"[1.90043677,6.75719554,9.84279214,9.85062687,11.97747747,12.41969131,12.60270345,13.46911418,16.9421509,17.22239025,17.64460069,17.6738563,17.73556179,18.43926682,18.49389904,18.76348672,18.97990626,19.3797983,19.46463555,20.1525691,21.11274594,25.25445675,31.48844936,32.90066277,34.46901906,34.71411498,38.80440896,42.14497199,43.60218835,51.57877904,59.91550176,60.47293464,61.75921058,63.773064,65.40256823,66.26306231,66.76726284,67.48757883,67.82883126,68.75345646,69.4282932,72.64361433,73.61264742,73.71181372,73.82070066,74.32748745,74.72198031,74.75759501,75.72427196,78.31533969,81.19864469,81.37580451,81.58612192,81.76771818,82.80116956,83.2175245,83.35083914,83.62335107,83.72079294,84.63408751,84.99886794,85.58133352,86.65094711,87.06205863,87.82709561]","[2,2,1,2,0,1,0,0,1,5,6,0,1,1,0,0,1,0,1,1,0,5,0,2,3,7,4,1,2,1,0,1,1,0,1,1,0,1,4,0,5,5,0,1,6,0,1,1,0,1,1,0,0,1,3,0,1,2,2,1,0,1,7,0,0]"
"[4.07695274,4.32419278,4.49144331,9.48296687,10.06365002,11.86355338,12.06791288,12.22747896,14.13192989,19.0788668,22.98411029,25.74967807,26.35993901,26.82707174,27.44065514,29.9609442,30.25190907,30.41281016,30.56377909,31.99952589,43.98263202,44.30374887,44.52821081,44.8958344,45.50559431,45.9288548,46.24526671,46.3726265,48.19077224,50.02099057,57.36358534,58.12029198,59.46218481,60.16048974,60.39595026,61.3104556,61.81870425,63.25895295,63.41092311,64.34531924,64.4944624,65.66947602,72.89264364,73.67204891,73.80173441,74.94345391,77.05622996,83.079398,89.81996514,90.28968216,90.76124352]","[5,2,4,2,3,4,3,7,3,3,6,1,0,1,2,6,3,0,0,6,2,0,1,1,6,4,7,7,7,4,6,1,1,0,0,0,1,1,2,5,6,0,0,2,1,0,2,2,4,4,5]"
"[0.56689224,1.76473725,2.20087821,2.82937836,3.00008135,3.35229151,3.61459154,5.29330334,6.44540901,8.05550931,25.3388967,26.97038775,30.98816148,31.54002668,32.70542528,33.2346929,34.8269752,35.09396511,35.72379301,38.12320467,39.28910871,39.53669854,39.58652851,39.76713452,39.81719452,40.78820236,40.85582346,40.92449818,41.36433732,42.42602024,42.8600639,43.48944737,43.63056793,43.98935893,44.92910982,44.95781417,45.49351734,50.79047124,51.18277202,51.18798042,51.73862074,51.76445926,51.93568225,52.36964501,55.12621645,55.17310386,55.26466549,56.58632003,58.61735793,59.10648976,59.16037649,59.21463408,59.51254579,59.60466334,61.03217489,61.20767655,61.46524539,61.956794,62.02110094,62.02233839,62.07281317,62.34965815,62.50052639,62.92193948,63.11041467,63.22457633,63.41753104,63.85193096,63.86116479,64.03388922,65.04863607,66.52026912,66.65239042,66.77573818,67.26933104,67.65456211,68.00635551,68.02557278]","[2,6,2,4,5,7,3,4,4,2,6,2,7,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,5,0,0,1,7,1,1,0,1,6,1,0,1,1,5,0,0,1,0,6,1,0,1,2,0,3,0,1,1,4,3,1,0,5,0,0,1,1,0,3,0,0,0,1,1,1,1]"
"[1.16419642,9.39603313,10.60623075,11.0347411,12.38536437,14.78536307,15.25303514,20.94124526,21.45715074,23.90830145,23.9583784,24.3922986,26.10332732,27.26755883,31.13102919,31.80330647,33.47116819,34.08725146,34.45541453,34.65077457,39.92911307,40.25401059,41.52456096,42.22529222,44.67624991,50.37702475,51.93784932,52.51932796,52.96636216,53.94942914,53.98046996,54.46758118,56.0126766,56.52050896,56.96059928,57.48094694,57.56033262,58.37076135,58.70739727,59.23402313,59.58172719,60.65785066,61.54795706,63.20093479,69.34039214,73.05772959,73.21408171,73.649257,74.57880357,78.36958577,82.58698319,83.51543491,84.4255098,85.45630025,86.39615852,86.55845519,87.4230312,88.66716093,90.97891129,95.14129365,100.92323041,101.57846667]","[2,1,5,4,1,0,1,1,0,3,3,5,7,7,2,3,1,1,6,6,7,4,6,0,4,2,3,3,2,4,3,3,3,4,5,3,2,4,6,3,3,2,2,2,2,3,7,3,2,5,6,7,1,0,1,1,0,0,6,7,4,5]"
"[3.06821542,4.17501888,4.22383195,4.37839599,7.04081109,9.20133751,10.01560572,12.41172939,12.68824334,12.75895692,14.24143474,14.96314462,18.15195363,20.05485642,20.31389237,21.99433491,23.13490788,23.25603888,23.46450022,24.18521881,24.47651739,24.5391734,27.2215383,29.43092967,31.54740837,36.91561775,37.73779329,39.03168605,39.50938754,40.2980417,42.30097213,52.9991209,55.68681928,57.02474991,57.22303166,57.56644605,57.64762424,58.05832523,58.11057903,58.24312399,58.48323245,58.65565898,61.16529238,61.47027187,64.27004719,65.30530797,72.96505819,73.32619489,74.69998556,74.9461712,75.63582187,76.96329514,77.58783089,80.75978566,80.76063866,80.93160144,81.45922725,84.73471772,84.83401303,84.85075382,86.21843119,87.8697236,90.21706283,92.70314858,99.83995446,106.71771936,108.73227238,109.01307153,109.09146603,112.43316148,114.24684235]","[0,5,1,0,1,1,0,2,1,3,3,0,5,2,3,3,3,2,3,3,4,2,4,5,1,7,7,2,3,3,0,5,2,1,0,1,0,1,1,1,0,0,0,1,2,3,7,2,0,2,2,7,2,3,2,2,7,3,2,6,6,1,2,7,2,5,2,2,3,5,1]"
"[3.22879681,3.74853937,4.64572533,4.72986001,5.15278631,5.35515853,6.22394557,6.30826149,7.386768,8.42581411,8.62307857,8.93174426,9.02236975,9.55569151,9.55659315,11.49115498,16.293163,18.53646178,18.73199752,19.70114453,20.18018865,20.67749733,23.76320269,25.52258058,26.35479325,26.53910911,28.01021182,28.89147588,31.31652394,33.85929609,34.37343479,38.41151395,38.95677379,39.2531822,39.31224363,39.42646013,39.61294034,41.40745265,41.66759648,41.69550026,42.82169623,43.00606253,43.06964125,43.3127251,43.59310722,44.21128071,49.10377618,57.88908167,60.73376665,62.03747107,64.75960426,65.30414009,71.70871739,71.78218923,73.55585333,75.00557548,75.44236485,77.68946776,79.0042483,80.39148909,83.11562156,84.82192266,88.71247791,90.14868868,91.32344257,94.3666344,94.9523568,97.40313055]","[0,1,0,1,1,0,1,5,0,0,2,3,1,4,3,6,6,3,1,0,0,1,0,1,4,4,2,7,7,5,6,1,2,0,4,1,3,1,0,0,3,4,5,2,2,4,1,4,2,5,0,4,3,2,1,0,1,1,6,2,6,0,3,7,6,1,2,2]"
"[2.19380368,16.58280007,18.33472659,36.58073912,36.67706044,37.6618325,43.25260614,45.9618559,48.61403922,50.96648483,51.04959118,52.76654833,53.06747572,54.62807839,54.74159423,55.56949696,55.81212699,57.94813107,57.97957372,58.76786202,59.01849215,59.74988886,62.09040511,62.48997065,63.52135679,67.0518507,69.44421049,70.35877307,70.83522521,70.90477443,71.36379108,72.82908673,73.05548645,76.48055451,77.27201895,77.28121383,78.45907151,78.70587911,84.61627378,88.07074702,97.4411751,97.51317532,99.29566583,99.5640538,100.46090638,102.18777343,108.19104004,109.95497434,113.79976637,114.22821579,114.97463417,118.29400452,118.97135563,119.39661577,119.55044722,120.6465499,121.28157371,121.35814255,122.19438593,122.30001183,122.36106683,122.46680641,122.678691,122.86940345,123.07449466,123.41913697,123.74324875,124.38994246,124.62020486,124.70137907]","[5,3,7,1,0,1,7,1,1,1,0,1,1,0,1,2,0,3,1,4,0,2,3,0,1,2,1,0,0,1,1,0,4,2,3,3,5,3,5,7,2,3,5,5,4,5,2,5,2,6,3,0,1,6,1,0,0,1,1,1,0,0,5,1,1,0,1,0,1,1]"
