Epoch, Log-likelihood, Accuracy, Top-3, Macro-F1, RMSE
1,  0.00000,  0.13671,  0.39557,  0.10054,  0.00000
2,  0.00000,  0.16823,  0.45835,  0.15405,  0.00000
3,  0.00000,  0.18190,  0.48329,  0.17091,  0.00000
4,  0.00000,  0.19038,  0.50405,  0.18438,  0.00000
5,  0.00000,  0.20329,  0.51582,  0.19805,  0.00000
6,  0.00000,  0.21835,  0.53937,  0.21005,  0.00000
7,  0.00000,  0.22975,  0.55823,  0.21909,  0.00000
8,  0.00000,  0.24063,  0.59911,  0.23520,  0.00000
9,  0.00000,  0.25772,  0.61177,  0.25426,  0.00000
10,  0.00000,  0.27456,  0.64051,  0.26947,  0.00000
11,  0.00000,  0.29215,  0.65329,  0.28969,  0.00000
12,  0.00000,  0.30127,  0.66354,  0.29748,  0.00000
13,  0.00000,  0.30620,  0.66924,  0.30532,  0.00000
14,  0.00000,  0.33038,  0.68291,  0.32855,  0.00000
15,  0.00000,  0.34266,  0.69342,  0.34121,  0.00000
16,  0.00000,  0.35089,  0.70190,  0.34961,  0.00000
17,  0.00000,  0.36443,  0.70962,  0.36366,  0.00000
18,  0.00000,  0.37937,  0.71873,  0.37823,  0.00000
19,  0.00000,  0.39165,  0.72392,  0.39000,  0.00000
20,  0.00000,  0.39304,  0.72759,  0.39159,  0.00000
21,  0.00000,  0.40873,  0.72886,  0.40689,  0.00000
22,  0.00000,  0.41405,  0.73266,  0.41267,  0.00000
23,  0.00000,  0.42089,  0.73013,  0.41931,  0.00000
24,  0.00000,  0.41582,  0.72975,  0.41507,  0.00000
25,  0.00000,  0.42253,  0.73013,  0.42208,  0.00000
26,  0.00000,  0.42392,  0.73443,  0.42335,  0.00000
27,  0.00000,  0.42127,  0.73266,  0.42047,  0.00000
28,  0.00000,  0.43127,  0.73544,  0.43058,  0.00000
29,  0.00000,  0.42696,  0.73443,  0.42659,  0.00000
30,  0.00000,  0.43177,  0.73481,  0.43150,  0.00000
31,  0.00000,  0.42595,  0.73734,  0.42587,  0.00000
32,  0.00000,  0.42165,  0.73494,  0.42092,  0.00000
33,  0.00000,  0.42177,  0.73241,  0.42122,  0.00000
34,  0.00000,  0.42241,  0.73278,  0.42194,  0.00000
35,  0.00000,  0.42013,  0.73051,  0.41982,  0.00000
36,  0.00000,  0.41937,  0.72633,  0.41892,  0.00000
37,  0.00000,  0.41823,  0.72684,  0.41779,  0.00000
38,  0.00000,  0.42000,  0.73127,  0.41950,  0.00000
39,  0.00000,  0.41291,  0.72810,  0.41243,  0.00000
40,  0.00000,  0.41506,  0.72392,  0.41449,  0.00000
41,  0.00000,  0.42025,  0.72494,  0.41955,  0.00000
42,  0.00000,  0.41949,  0.72038,  0.41893,  0.00000
