checkpoint,checkpoint_sha256,checkpoint_task,episodic_bytes,episodic_rows,history_epochs,leaf_count,leaf_ids,max_depth,mean_leaf_depth,memory_rows,merge_count,nise,node_count,prune_count,semantic_bytes,split_count
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,dd2a84576b9a41c94dc8c43e7b4f1fd72250f1d0eea71d94cec9e72c948ac873,0,189643,12,12,1,"[""root""]",0,0.0,12,0,,1,0,1692,0
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,0ce499c349c3b2781a68b67060bd14c9cfe5903f0af20b696a2a165db366ecb3,1,375058,36,33,1,"[""root""]",0,0.0,36,2,,1,0,1692,2
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,21bdba97cc971fefd1793f1795910836c7cd7794b164280a12e3873e7c7dde91,2,726310,72,59,2,"[""root_L"", ""root_R""]",1,1.0,72,2,,3,2,2780,5
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,e8b92582c366c245471bbeff254477ed410fd84ac9fa27c9bcf2103099ad2b6c,3,908662,96,70,2,"[""root_L"", ""root_R""]",1,1.0,96,2,,3,4,2780,8
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,56200422d7cf99db93842cc80fecef822d32a9c1dd15adc430175d98698db71f,4,908530,96,80,3,"[""root_L_L"", ""root_L_R"", ""root_R""]",2,1.6666666666666667,96,3,,5,5,3868,10
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,45817f60d47cfe7be08f01d714ec7ad414849e7c3cff92b58b333591b5571ea5,5,1025982,108,110,2,"[""root_L"", ""root_R""]",1,1.0,108,3,,3,6,2780,10
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,e62cff86244f64c26df91613ed1f058143bb3b99459948edb3ac320c85d2e32d,6,1209486,132,140,2,"[""root_L"", ""root_R""]",1,1.0,132,3,,3,6,2780,10
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,59cda9eb4ac8a5e1b6eb4cd69284091f4d2809aa10c85a1695a9aa6e6e9e5334,7,1229710,132,148,2,"[""root_L"", ""root_R""]",1,1.0,132,3,,3,6,2780,10
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,e3554ec1dab015ea09c7754aadd1d780edb7f740365a04ae671f3b5e40b1e9d2,8,1249230,132,152,2,"[""root_L"", ""root_R""]",1,1.0,132,3,,3,6,2780,10
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,8b50c39e08f4c8edd7268e0eb9c95e97dee3ab456de1239a97ede8fd595675d7,9,1365654,144,177,2,"[""root_L"", ""root_R""]",1,1.0,144,3,,3,6,2780,10
