protocol,task_id,K_min,K_max,K_count,adaptation_auc,status
fast_adapt,1,0,32,7,-0.0012182742251222872,available
fast_adapt,2,0,32,7,-0.003757173397586605,available
fast_adapt,3,0,32,7,-0.012534081187393645,available
fast_adapt,4,0,32,7,-0.005530199748030783,available
fast_adapt,5,0,32,7,-0.0032481387077375815,available
fast_adapt,6,0,32,7,-0.006065012216911685,available
fast_adapt,7,0,32,7,-0.005582727716354402,available
fast_adapt,8,0,32,7,-0.004603501323203835,available
fast_adapt,9,0,32,7,-0.002969155415973583,available
online_write,1,0,32,7,-0.0012108877361303172,available
online_write,2,0,32,7,-0.003757175662621487,available
online_write,3,0,32,7,-0.012536011397971406,available
online_write,4,0,32,7,-0.005557169379258306,available
online_write,5,0,32,7,-0.003249083846473856,available
online_write,6,0,32,7,-0.006063098796807206,available
online_write,7,0,32,7,-0.005583503823745763,available
online_write,8,0,32,7,-0.004601783367407762,available
online_write,9,0,32,7,-0.0029667301995921352,available
