average_bwt,average_forgetting,bwt_law_count,checkpoint_task,clnll,current_accuracy,current_local_time_mae,current_nll_per_event,leaf_count,memory_rows,node_count,seen_law_count,variant
,0.0,0,0,3.0244728220953485,0.3262209577999052,1.2019741678757936,3.0547027660241453,1,12,1,1,frozen/full
-0.3516957156574745,0.17584785782873724,1,1,3.278531569738946,0.23802681992337166,1.2719983323780513,3.30223230383862,1,36,1,2,frozen/full
-0.2897966314658933,0.19319775431059552,2,2,3.120745620430092,0.3665480427046263,0.8893445785359556,2.5819512325067717,2,72,3,3,frozen/full
-0.20418403146687977,0.20418403146687977,3,3,3.1317318975863757,0.2148956356736243,1.1813117485118771,3.1159493013848842,2,96,3,3,frozen/full
-0.12074236178891858,0.09055677134168894,3,4,3.078446604094553,0.20595533498759305,1.1452401040505535,3.0494140625,3,96,5,4,frozen/full
-0.2039370906344684,0.17993089063156126,4,5,3.166169590004036,0.38666666666666666,1.1705015611059872,2.985290922941985,2,108,3,5,frozen/full
-0.1812950531455832,0.19807627126956975,5,6,3.1843149706420446,0.33750601829561866,0.9708396680204697,2.783086256046506,2,132,3,5,frozen/full
-0.15651570939302664,0.14441410626417764,5,7,3.147171868139035,0.2397429560059318,1.1595650530073587,3.142654833791283,2,132,3,6,frozen/full
-0.11582479781752493,0.1375578390600365,6,8,3.132566908129038,0.2529832935560859,1.1312078799154424,3.0982478977103223,2,132,3,6,frozen/full
-0.13748493082864063,0.136472547489559,6,9,3.1256223901153355,0.2310327949094469,1.1201087832159116,3.134136974840729,2,144,3,7,frozen/full
