checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,3.0244728220953485,0.33301594858367056,1.2094144582805166
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.8459683937333975,0.07390791027154664,1.463953115019635
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,3.258135182018689,0.13871374527112232,1.076359714926567
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.799152450615416,0.07840828820343772,1.462228561699573
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.154205938609951,0.3049962714392245,1.2131421660239086
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.1744713321516067,0.2531525101118249,1.1304369819127404
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.0129409517560686,0.326496138996139,1.1459078383721901
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,3.419323540760849,0.15026921194322077,1.1056812153805486
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,3.376168537752823,0.15900975958105212,1.2284602292575486
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.1808946017250683,0.2602125147579693,1.1984011464304738
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,3.098224284880399,0.20126103404791928,0.9985380362742786
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.1630778374435033,0.24252413468330586,1.2054363274984088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.4690724656619216,0.11309967685806611,1.222857278761744
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.3887486554258586,0.12776588151320487,1.1204719434543475
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.3629677304890166,0.14792471042471042,1.1620599809300485
