checkpoint_task,variant,A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1
0,frozen/full,3.0244728220953485,3.154205938609951,3.0129409517560686,3.8459683937333975,3.799152450615416,3.258135182018689,3.419323540760849
1,frozen/full,3.376168537752823,3.4690724656619216,3.3629677304890166,3.1808946017250683,3.1630778374435033,3.098224284880399,3.306632375693823
2,frozen/full,3.3760420434448273,3.4828791683537434,3.3692411658386465,3.408918643307376,3.368190640529689,2.5772761745380723,3.379426781593207
3,frozen/full,3.080465030284247,3.188611388295378,3.0661752417280868,3.508827142816789,3.457757696983027,2.8059035196580924,3.2518686414990308
4,frozen/full,3.1356296879823535,3.261654638811453,3.1299413419598316,3.2122072312176018,3.1689157326529664,2.7970337645252896,3.19854739315651
5,frozen/full,2.940566731475416,3.063540256470849,2.941170303978055,3.3822297890042754,3.327011622174476,3.117499550895162,3.3432455711719515
6,frozen/full,3.217827295468155,3.3309728218019825,3.2114981316231392,3.421193366292798,3.361754909413883,2.589826460233402,3.319923621208949
7,frozen/full,3.099386862192061,3.201831196541517,3.0853530743867736,3.398813500342431,3.348843457082987,2.748803118288442,3.228184088036177
8,frozen/full,3.05011712582558,3.1617950393938465,3.038860917551637,3.4215086089115077,3.3665887586981205,2.7565309983935364,3.2408803826853507
9,frozen/full,3.171069149969873,3.2841517339142703,3.1574650123772936,3.26021369654848,3.2053259590639347,2.8471366949670704,2.953994483966426
