checkpoint_task,variant,current_nll_per_event,current_accuracy,clnll,average_forgetting,average_bwt
0,frozen/full,3.0547027660241453,0.3262209577999052,3.0244728220953485,0.0,
1,frozen/full,3.30223230383862,0.23802681992337166,3.278531569738946,0.17584785782873724,-0.3516957156574745
2,frozen/full,2.5819512325067717,0.3665480427046263,3.120745620430092,0.19319775431059552,-0.2897966314658933
3,frozen/full,3.1159493013848842,0.2148956356736243,3.1317318975863757,0.20418403146687977,-0.20418403146687977
4,frozen/full,3.0494140625,0.20595533498759305,3.078446604094553,0.09055677134168894,-0.12074236178891858
5,frozen/full,2.985290922941985,0.38666666666666666,3.166169590004036,0.17993089063156126,-0.2039370906344684
6,frozen/full,2.783086256046506,0.33750601829561866,3.1843149706420446,0.19807627126956975,-0.1812950531455832
7,frozen/full,3.142654833791283,0.2397429560059318,3.147171868139035,0.14441410626417764,-0.15651570939302664
8,frozen/full,3.0982478977103223,0.2529832935560859,3.132566908129038,0.1375578390600365,-0.11582479781752493
9,frozen/full,3.134136974840729,0.2310327949094469,3.1256223901153355,0.136472547489559,-0.13748493082864063
