task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,,3.0547027660241453,3.5199756142990237,initial,,"[""A_1""]",,,False,excluded_not_unseen_law_task
1,3.87890027948723,3.30223230383862,3.575584682011513,novel,,"[""B_1""]",0.5766679756486099,-0.3033155974757169,True,available
2,3.087299760004925,2.5819512325067717,3.1403882521690907,novel,,"[""C_1""]",0.5053485274981533,0.05308849216416567,True,available
3,3.410060339679754,3.1159493013848842,3.4786471270972004,exact_recurrence,A_1,[],0.29411103829486995,,False,excluded_not_unseen_law_task
4,3.36747071145486,3.0494140625,3.360399837825198,near_recurrence,B_1,"[""B_prime_1""]",0.31805664895485997,-0.007070873629662078,True,available
5,3.1873933768566745,2.985290922941985,3.4926708569938754,specialization,A_1,"[""A_2""]",0.2021024539146894,0.3052774801372009,True,available
6,3.223536726942875,2.783086256046506,3.258611533064422,transient_anomaly,C_1,[],0.4404504708963688,,False,excluded_not_unseen_law_task
7,3.264909043738704,3.142654833791283,3.4760066667406853,merge,A_1|A_2,"[""A_merge""]",0.12225420994742109,0.2110976230019812,True,available
8,3.1373067050105345,3.0982478977103223,3.4597259011644166,long_gap_recurrence,A_1,[],0.03905880730021227,,False,excluded_not_unseen_law_task
9,3.3735731725183937,3.134136974840729,3.423881482214421,mixture,,"[""E_1""]",0.23943619767766489,0.05030830969602729,True,available
