episodic_bytes,episodic_rows,leaf_count,merge_count,nise,node_count,prune_count,semantic_bytes,split_count,task_id
189643,12,1,0,0.17152841146488618,1,0,1692,0,0
375058,36,1,2,0.4493820368590174,1,0,1692,2,1
726310,72,2,2,0.5558153276796413,3,2,2780,5,2
908662,96,2,2,0.45035470916055614,3,4,2780,8,3
908530,96,3,3,0.35462515885017426,5,5,3868,10,4
1025982,108,2,3,0.4133527802072902,3,6,2780,10,5
1209486,132,2,3,0.49216685506629976,3,6,2780,10,6
1229710,132,2,3,0.3980742416083685,3,6,2780,10,7
1249230,132,2,3,0.36692531535277856,3,6,2780,10,8
1365654,144,2,3,0.3748626506749745,3,6,2780,10,9
