checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.0243181398307333,0.3325398714591764,1.3741823470865533
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.8453129139250537,0.07390791027154664,1.643461213293216
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,3.257299035500552,0.14350567465321565,1.2186711037895568
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.7985757167181577,0.07840828820343772,1.6262430389020754
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.1540528515313517,0.3042505592841163,1.3957769555914077
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.1741748228952797,0.2533904354032834,1.2895636807065993
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.012798435083486,0.32553088803088803,1.299790494208688
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.418737348676005,0.15075868820362212,1.2660551210797
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.3754274062643845,0.15996191383004046,1.3088184884545175
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.1807609646280937,0.26092089728453366,1.2763956459872468
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,3.0972251867361056,0.20226986128625474,1.0678920007593846
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.162874478889769,0.24252413468330586,1.2704206444537967
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.4683875554004415,0.11384538901317424,1.3045083453719952
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.3879847141098414,0.12824173209612183,1.1912981025060732
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.3622623979182316,0.14816602316602318,1.2355278386702064
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.3059753938976946,0.1311796377875673,1.117138251030432
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.375405610301145,0.10259462032849322,1.2448708759802571
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.4087225969788455,0.15608028335301063,1.2488370498840244
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,2.577399424845435,0.36317780580075665,0.9526406827971132
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.3679470394365008,0.14315987756063103,1.2537828408280787
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.482300443651644,0.087248322147651,1.2734016625253701
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.4079326457775423,0.07351891506067094,1.1463187474414198
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.3686323703192964,0.08976833976833977,1.1746363513905225
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.3787613576000015,0.08688203622124327,1.0509007016640854
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.0803965078806472,0.22566055701023566,1.2542438872991641
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.508348735910098,0.06965761511216056,1.2981197969477796
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,2.805417412733201,0.28524590163934427,1.0136795818880857
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.457289381871539,0.07417000235460325,1.2969050568451503
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.1885554301810597,0.2140193885160328,1.2674136429820455
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.1532913444458717,0.1734475374732334,1.1528171302380439
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.066102265400999,0.23238416988416988,1.1843854883707283
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.2512397144866876,0.21683798335780716,1.0920956734516825
