checkpoint,checkpoint_sha256,checkpoint_task,episodic_bytes,episodic_rows,history_epochs,leaf_count,leaf_ids,max_depth,mean_leaf_depth,memory_rows,merge_count,nise,node_count,prune_count,semantic_bytes,split_count
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,54e2d367ff711011ffa398e6c7c92f7e0ccecd9885c26ccd58fc3e00775e65fc,0,180619,12,13,1,"[""root""]",0,0.0,12,0,,1,0,1692,0
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,6eaf5f227a633761b2c2aabee8f6befde0bb1fda247ebf42862b0ec1d2574776,1,498708,48,43,1,"[""root""]",0,0.0,48,2,,1,0,1692,2
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,a9005062050d0721c48185e8e3b001e88a6f27008879818b7fa376df98eb8423,2,728796,72,63,2,"[""root_L"", ""root_R""]",1,1.0,72,3,,3,0,2780,3
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,2e4cc38713440bbb63f09b6391423fb282f5f5b8e451878c8593259fe24d55d9,3,717980,72,65,2,"[""root_L"", ""root_R""]",1,1.0,72,4,,3,0,2780,3
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,e6c30bf0ef1a39c15a659e243a4503b0d4749439dfe96b2174ca199d3f05ced2,4,729120,72,70,1,"[""root""]",0,0.0,72,5,,1,1,1692,5
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,91a3385164feb5b7c1b5f883fd84cff401d9cc3cb721ed8f0c8ee6e262882482,5,940208,96,100,1,"[""root""]",0,0.0,96,6,,1,1,1692,6
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,8686fb51d83e8be95f2d46305a2ac5c11e53b77e48418f94d8c98e9ec56ba41b,6,956648,96,130,3,"[""root_L_L"", ""root_L_R"", ""root_R""]",2,1.6666666666666667,96,6,,5,1,3868,8
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_07_best.pt,9af32379d07cbfe015f737e9a02e7c827bb2a97bba186070322f93171f3ff180,7,972512,96,160,5,"[""root_L_L_L"", ""root_L_L_R"", ""root_L_R_L"", ""root_L_R_R"", ""root_R""]",3,2.6,96,6,,9,1,6044,10
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_08_best.pt,f3445ac46b34d30ec046fe89a80963b07c86b2e08fea7b9c3cd702238adc4932,8,948332,96,190,2,"[""root_L"", ""root_R""]",1,1.0,96,9,,3,1,2780,10
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_09_best.pt,825a0fce95c7a55a48df660798d2765a81f6d16b7e173eccfe3d5ff927e1d977,9,940208,96,220,1,"[""root""]",0,0.0,96,9,,1,2,1692,10
