checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,online_write/full,online_write,full,3.0387548327590825,0.3399715504978663,1.3582523485328588,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,online_write/full,online_write,full,3.9495687408237163,0.08093869731800767,1.7364954307632543,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,online_write/full,online_write,full,3.1842022264426237,0.2868773946360153,1.2937130477365064,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,online_write/full,online_write,full,3.1894019731165617,0.12760549059481444,1.0204868368997633,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,online_write/full,online_write,full,2.6756535229288767,0.31164209456024405,0.9378379995697455,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,online_write/full,online_write,full,3.3255670978908607,0.15986717267552183,1.2257228061422398,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,online_write/full,online_write,full,3.252785757648806,0.1840607210626186,1.2299059674461779,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,online_write/full,online_write,full,3.163539075497399,0.1826302729528536,1.1413343318382154,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,online_write/full,online_write,full,3.0756300221296677,0.17866004962779156,1.1824649615007599,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,online_write/full,online_write,full,3.218603031914911,0.19604938271604938,1.2715406594407044,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,online_write/full,online_write,full,2.9901112943952097,0.38419753086419756,1.2743869301078865,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,online_write/full,online_write,full,3.1721885490195794,0.12229176697159365,1.1097139548680703,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,online_write/full,online_write,full,2.766433607038966,0.359653346172364,1.0426340565017254,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,online_write/full,online_write,full,3.319356772299162,0.10776075135936727,1.2720856877279552,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,online_write/full,online_write,full,3.0213329875735853,0.3405832921403856,1.2598436386460274,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,online_write/full,online_write,full,3.016899937293481,0.3455847255369928,1.2119476238118934,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,online_write/full,online_write,full,2.997011208723617,0.3460620525059666,1.2045312586140449,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,online_write/full,online_write,full,3.5195682579692504,0.11894273127753303,1.3511889905131336,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_27/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,online_write/full,online_write,full,3.0873878047041634,0.29466470876162504,1.219538115894917,2043
