task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,,3.0543139165133986,3.5199755708885285,initial,,"[""A_1""]",,,False,excluded_not_unseen_law_task
1,3.880080891751695,3.2967866042564653,3.575584718550759,novel,,"[""B_1""]",0.5832942874952298,-0.30449617320093614,True,available
2,3.090546236101237,2.5545505704040994,3.14038811641474,novel,,"[""C_1""]",0.5359956656971376,0.049841880313502784,True,available
3,3.4432893713239925,3.02089878639641,3.4786471488127444,exact_recurrence,A_1,[],0.4223905849275824,,False,excluded_not_unseen_law_task
4,3.4568684693897334,2.9108338613959757,3.360399928696398,near_recurrence,B_1,"[""B_prime_1""]",0.5460346079937577,-0.09646854069333521,True,available
5,3.2962020836347414,2.9879607212396317,3.492670834388262,specialization,A_1,"[""A_2""]",0.3082413623951097,0.19646875075352055,True,available
6,3.1983502258976664,2.777778456517579,3.2586115477575266,transient_anomaly,C_1,[],0.42057176938008745,,False,excluded_not_unseen_law_task
7,3.251478201790252,3.065890622857886,3.4760066742833393,merge,A_1|A_2,"[""A_merge""]",0.185587578932366,0.22452847249308716,True,available
8,3.062922810483946,3.0556157587820705,3.4597260613999103,long_gap_recurrence,A_1,[],0.007307051701875622,,False,excluded_not_unseen_law_task
9,3.389052792034252,3.2110809087169794,3.4238815270273113,mixture,,"[""E_1""]",0.17797188331727254,0.034828734993059385,True,available
