checkpoint_task,variant,regime_id,forgetting_nll,bwt_nll
0,frozen/full,A_1,0.0,
1,frozen/full,A_1,0.35111488282354175,-0.35111488282354175
1,frozen/full,B_1,0.0,
2,frozen/full,A_1,0.39079199856560853,-0.39079199856560853
2,frozen/full,B_1,0.3065092715068576,-0.3065092715068576
2,frozen/full,C_1,0.0,
3,frozen/full,A_1,0.0,0.04994165338354151
3,frozen/full,B_1,0.41518746188004974,-0.41518746188004974
3,frozen/full,C_1,0.40120194520505326,-0.40120194520505326
4,frozen/full,A_1,0.28539261049499,-0.23545095711144848
4,frozen/full,B_1,0.0,0.08477637280821115
4,frozen/full,B_prime_1,0.0,
4,frozen/full,C_1,0.47486144038196754,-0.47486144038196754
5,frozen/full,A_1,0.0,0.08216882064154651
5,frozen/full,A_2,0.0,
5,frozen/full,B_1,0.28053763433499235,-0.1957612615267812
5,frozen/full,B_prime_1,0.274788558525227,-0.274788558525227
5,frozen/full,C_1,0.5402069467013,-0.5402069467013
6,frozen/full,A_1,0.2615624718142815,-0.17939365117273498
6,frozen/full,A_2,0.25036530159256376,-0.25036530159256376
6,frozen/full,B_1,0.35542640370770906,-0.2706500308994979
6,frozen/full,B_prime_1,0.3533170164291062,-0.3533170164291062
6,frozen/full,C_1,0.036836724684187416,-0.036836724684187416
7,frozen/full,A_1,0.06422263955649976,0.017946181085046753
7,frozen/full,A_2,0.06159771552525628,-0.06159771552525628
7,frozen/full,A_merge,0.0,
7,frozen/full,B_1,0.33079449001704075,-0.2460181172088296
7,frozen/full,B_prime_1,0.32641663179696234,-0.32641663179696234
7,frozen/full,C_1,0.2255152881521294,-0.2255152881521294
8,frozen/full,A_1,0.05502304625607657,0.027145774385469945
8,frozen/full,A_2,0.05486881807020527,-0.05486881807020527
8,frozen/full,A_merge,0.0,0.008183541905466107
8,frozen/full,B_1,0.33087585160977184,-0.2460994788015607
8,frozen/full,B_prime_1,0.32592397626495506,-0.32592397626495506
8,frozen/full,C_1,0.2282152702649034,-0.2282152702649034
9,frozen/full,A_1,0.1434773238776157,-0.06130850323606918
9,frozen/full,A_2,0.1433161726763612,-0.1433161726763612
9,frozen/full,A_merge,0.08851423779049439,-0.08033069588502828
9,frozen/full,B_1,0.16766967953588496,-0.08289330672767381
9,frozen/full,B_prime_1,0.16005075525221368,-0.16005075525221368
9,frozen/full,C_1,0.2813365200278435,-0.2813365200278435
9,frozen/full,E_1,0.0,
