checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
0,0,task_00_test,frozen,full,frozen/full,3.0543139165133986,0.32432432432432434,1.2008669388808588,2109
0,1,task_01_test_pre,frozen,full,frozen/full,3.880080891751695,0.08237547892720307,1.4928689788584508,2088
0,,anchor_A_1,frozen,full,frozen/full,3.0240386276408566,0.32968340871221136,1.2076313311189335,4201
0,,anchor_B_1,frozen,full,frozen/full,3.8468622345006733,0.07367178276269186,1.4604489962635243,4235
0,,anchor_C_1,frozen,full,frozen/full,3.256636158966026,0.1631778058007566,1.0734973147417528,3965
0,,anchor_B_prime_1,frozen,full,frozen/full,3.8001193986770994,0.07911466917824346,1.4590088727756587,4247
0,,anchor_A_2,frozen,full,frozen/full,3.153936613207577,0.30275913497390006,1.2113357181724493,4023
0,,anchor_X_transient,frozen,full,frozen/full,3.174220210167728,0.25267665952890794,1.1272139411978912,4203
0,,anchor_A_merge,frozen,full,frozen/full,3.012378348346843,0.3216698841698842,1.1440939866437876,4144
0,,anchor_E_1,frozen,full,frozen/full,3.4207364501056867,0.14977973568281938,1.1015508673206242,4086
0,0,task_00_test,fast_adapt,full,fast_adapt/full,3.0542223637790236,0.32479848269321954,1.2007413541270184,2109
0,1,task_01_test_pre,fast_adapt,full,fast_adapt/full,3.8796666974765586,0.08237547892720307,1.492775668586351,2088
0,,anchor_A_1,fast_adapt,full,fast_adapt/full,3.0239231933216004,0.33015948583670557,1.20747301936632,4201
0,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.846389467854145,0.07367178276269186,1.4603352579344262,4235
0,,anchor_C_1,fast_adapt,full,fast_adapt/full,3.255856865862429,0.16620428751576294,1.0732364375534154,3965
0,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.7996833465339046,0.07911466917824346,1.4588952492286604,4247
0,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.1538338515404707,0.30201342281879195,1.2112109667621322,4023
0,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.17399275146891,0.251724958363074,1.12708100222021,4203
0,,anchor_A_merge,fast_adapt,full,fast_adapt/full,3.0122742781767973,0.3207046332046332,1.1439553264485363,4144
0,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.4202401249419223,0.15051395007342144,1.1013724354628658,4086
0,0,task_00_test,online_write,full,online_write/full,3.054226779163011,0.32479848269321954,1.3550923914176527,2109
0,1,task_01_test_pre,online_write,full,online_write/full,3.8795616032976756,0.08237547892720307,1.6629130213781906,2088
0,,anchor_A_1,online_write,full,online_write/full,3.0239316830799514,0.33015948583670557,1.3711746114400813,4201
0,,anchor_B_1,online_write,full,online_write/full,3.8462504880628168,0.07367178276269186,1.6395314080442753,4235
0,,anchor_C_1,online_write,full,online_write/full,3.2557743794314122,0.16620428751576294,1.2151615133952973,3965
0,,anchor_B_prime_1,online_write,full,online_write/full,3.7995709769159367,0.07911466917824346,1.6224830224632003,4247
0,,anchor_A_2,online_write,full,online_write/full,3.153822853013025,0.30201342281879195,1.3927015855685227,4023
0,,anchor_X_transient,online_write,full,online_write/full,3.173941196090702,0.251724958363074,1.285288099736102,4203
