adaptation_gain_nll,fwt_eligible,fwt_nll,fwt_status,new_persistent_regimes,post_checkpoint_task,post_nll_per_event,pre_checkpoint_task,pre_nll_per_event,recurrence_of,regime_id,scratch_nll_per_event,shift_type,stage_label,task_id,variant
,False,,excluded_not_unseen_law_task,"[""A_1""]",0,3.0543139165133986,,,,A_1,3.5199755708885285,initial,A_1_initial,0,frozen/full
0.5832942874952298,True,-0.30449617320093614,available,"[""B_1""]",1,3.2967866042564653,0,3.880080891751695,,B_1,3.575584718550759,novel,B_1_novel,1,frozen/full
0.5359956656971376,True,0.049841880313502784,available,"[""C_1""]",2,2.5545505704040994,1,3.090546236101237,,C_1,3.14038811641474,novel,C_1_novel,2,frozen/full
0.4223905849275824,False,,excluded_not_unseen_law_task,[],3,3.02089878639641,2,3.4432893713239925,A_1,A_1,3.4786471488127444,exact_recurrence,A_1_exact_recurrence,3,frozen/full
0.5460346079937577,True,-0.09646854069333521,available,"[""B_prime_1""]",4,2.9108338613959757,3,3.4568684693897334,B_1,B_prime_1,3.360399928696398,near_recurrence,B_prime_1_near_recurrence,4,frozen/full
0.3082413623951097,True,0.19646875075352055,available,"[""A_2""]",5,2.9879607212396317,4,3.2962020836347414,A_1,A_2,3.492670834388262,specialization,A_2_specialization,5,frozen/full
0.42057176938008745,False,,excluded_not_unseen_law_task,[],6,2.777778456517579,5,3.1983502258976664,C_1,,3.2586115477575266,transient_anomaly,C_1_with_transient_X,6,frozen/full
0.185587578932366,True,0.22452847249308716,available,"[""A_merge""]",7,3.065890622857886,6,3.251478201790252,A_1|A_2,A_merge,3.4760066742833393,merge,A_merge,7,frozen/full
0.007307051701875622,False,,excluded_not_unseen_law_task,[],8,3.0556157587820705,7,3.062922810483946,A_1,A_1,3.4597260613999103,long_gap_recurrence,A_1_long_gap_recurrence,8,frozen/full
0.17797188331727254,True,0.034828734993059385,available,"[""E_1""]",9,3.2110809087169794,8,3.389052792034252,,,3.4238815270273113,mixture,E_1_B_1_mixture,9,frozen/full
