A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1,checkpoint_task,variant
3.024283262242365,3.153495627376472,3.012784970773233,3.83840069010801,3.7919244409196935,3.254494023172732,3.4160920571183904,0,frozen/full
3.3641210572829108,3.463699996989964,3.3492355346679688,3.2206868537623596,3.2108276830663787,3.073028668359129,3.293177914164315,1,frozen/full
3.422582919187303,3.5186044369175336,3.415536711114714,3.484351976703162,3.4416851333822955,2.548160827174914,3.416060508843794,2,frozen/full
3.047152389602643,3.165653315047971,3.0346070090776243,3.58010637267562,3.526844366876159,2.8507996240449884,3.2844310579379283,3,frozen/full
3.2121608745935446,3.3150238958781197,3.204713200970506,3.0809922003267505,3.0279160578839774,2.9488799221428468,3.254186106498371,4,frozen/full
3.007570829257543,3.1222832262767892,3.0000815004915804,3.2298961797036414,3.1696153141791497,2.9174295297937767,3.2257617309988564,5,frozen/full
3.4115574361596384,3.4962273715533874,3.4033632646656407,3.577055829080809,3.5250143325550574,2.5364031576418786,3.4116820056708024,6,frozen/full
3.0505989163695446,3.168075976844691,3.0427983994649646,3.458416009427806,3.3989302705028686,2.7463363551251674,3.267799989884237,7,frozen/full
3.025055138674897,3.1448749292853933,3.0175127191433115,3.4790298371838566,3.419039193394326,2.767757028048156,3.2747362522418397,8,frozen/full
3.411151941377076,3.482640212606856,3.3920226299624647,3.1784567336405605,3.128180347332147,3.0863748172793684,2.870247680768626,9,frozen/full
