checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.0241500120791787,0.33134967864794096,1.21014032452426
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.837864935468473,0.07390791027154664,1.4657043583136944
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,3.2536261040205314,0.15031525851197983,1.0778308262289849
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.7914303644196914,0.07887920885330822,1.4638803597475631
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.1533763353545483,0.30325627641063885,1.213789328988322
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.172897883434963,0.2533904354032834,1.1304296792588744
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.0126644616881855,0.32432432432432434,1.1464606307188057
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.41553614201408,0.15002447381302006,1.106226402465701
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.363392185864066,0.15710545108307547,1.2157237341902818
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.2204939192554605,0.23636363636363636,1.223508803762821
