checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,fast_adapt/full,fast_adapt,full,3.054288459875506,0.32432432432432434,1.2028373087000768,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,fast_adapt/full,fast_adapt,full,3.871334090543433,0.08333333333333333,1.4978274897140562,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,fast_adapt/full,fast_adapt,full,3.3356062059658242,0.21791187739463602,1.2929617362917611,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,fast_adapt/full,fast_adapt,full,3.0601248186011576,0.2516522623284189,0.9884656606498683,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,fast_adapt/full,fast_adapt,full,2.555500722864769,0.3909506863243518,0.8919212707845342,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,fast_adapt/full,fast_adapt,full,3.4506940244497337,0.08918406072106262,1.2032606244313422,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,fast_adapt/full,fast_adapt,full,3.0865605913484346,0.22058823529411764,1.1764879299069717,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,fast_adapt/full,fast_adapt,full,3.4419649867206887,0.07096774193548387,1.1961318856137562,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,fast_adapt/full,fast_adapt,full,2.9011449581931896,0.27245657568238213,1.0800586227151951,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,fast_adapt/full,fast_adapt,full,3.250089476785542,0.20493827160493827,1.235906982421875,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,fast_adapt/full,fast_adapt,full,3.0493608225127797,0.3254320987654321,1.1710634584780093,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,fast_adapt/full,fast_adapt,full,3.0574109256984983,0.22147327876745307,0.9717540098143473,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,fast_adapt/full,fast_adapt,full,2.7461197090424423,0.365912373615792,0.9654537663760527,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.4348535089874646,0.08947108255066732,1.1563798769594005,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.1041357518420973,0.26940187839841817,1.1504948248794864,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,fast_adapt/full,fast_adapt,full,3.1040255817422433,0.26157517899761334,1.1329254642022253,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,fast_adapt/full,fast_adapt,full,3.0816633274560896,0.2763723150357995,1.1241843831283096,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,fast_adapt/full,fast_adapt,full,3.414843932239086,0.12432697014194811,1.1575275557448452,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,fast_adapt/full,fast_adapt,full,3.057946143988237,0.3000489476260401,1.1105213958844797,2043
