checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,frozen/full,frozen,full,3.05439406314016,0.32527264106211473,1.2029747065349234,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,frozen/full,frozen,full,3.8718059145171067,0.08333333333333333,1.4979356970366846,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,frozen/full,frozen,full,3.3357911237811675,0.2193486590038314,1.293157199333454,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,frozen/full,frozen,full,3.0610293886294264,0.24809354346720894,0.9886929444631587,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,frozen/full,frozen,full,2.5553808750449307,0.3914590747330961,0.8919379191163475,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.45134882049271,0.08918406072106262,1.2032740573050626,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.086482371958202,0.22011385199240988,1.1765367609273776,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,3.442471366484763,0.07096774193548387,1.19616941731266,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,2.9011265492025142,0.27344913151364764,1.080076176002067,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,frozen/full,frozen,full,3.250512676474489,0.2034567901234568,1.236063572447977,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,frozen/full,frozen,full,3.0492653401692706,0.3254320987654321,1.1710971813437379,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,frozen/full,frozen,full,3.0579089558233594,0.2209918151179586,0.9717753790982595,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,frozen/full,frozen,full,2.746166480867462,0.365912373615792,0.9654818834682238,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,frozen/full,frozen,full,3.4356164484405896,0.08947108255066732,1.1563866672336731,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,frozen/full,frozen,full,3.1041680080019716,0.26940187839841817,1.1505590882916528,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,3.1040685685551535,0.26205250596658713,1.133002535653854,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,3.081627842577659,0.27732696897374703,1.1242350066191826,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.4154554339990977,0.12383749388154675,1.1576230538807484,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.057941841950792,0.3000489476260401,1.1105529983079847,2043
