protocol,task_id,K,pre_nll,adapted_nll,gain_nll
baseline,1,0,412.98124397880537,412.98124397880537,0.0
baseline,1,1,412.98124397880537,412.98124397880537,0.0
baseline,1,2,412.98124397880537,3048.622832369942,-2635.641588391137
baseline,1,4,412.98124397880537,2640.188342967245,-2227.2070989884396
baseline,1,8,412.98124397880537,1463.704479768786,-1050.7232357899807
baseline,1,16,412.98124397880537,3327.147880539499,-2914.166636560694
baseline,1,32,412.98124397880537,2991.138246628131,-2578.157002649326
baseline,2,0,87.78897715988083,87.78897715988083,0.0
baseline,2,1,87.78897715988083,87.78897715988083,0.0
baseline,2,2,87.78897715988083,20.77311941410129,67.01585774577954
baseline,2,4,87.78897715988083,20.685529419066533,67.10344774081429
baseline,2,8,87.78897715988083,226.1469867179742,-138.35800955809336
baseline,2,16,87.78897715988083,247.10624069016882,-159.317263530288
baseline,2,32,87.78897715988083,20.28904892316286,67.49992823671798
baseline,3,0,1921.751226692836,1921.751226692836,0.0
baseline,3,1,1921.751226692836,1921.751226692836,0.0
baseline,3,2,1921.751226692836,1494.6587340529932,427.09249263984293
baseline,3,4,1921.751226692836,1733.764842983317,187.98638370951903
baseline,3,8,1921.751226692836,1514.8259322865554,406.9252944062807
baseline,3,16,1921.751226692836,1517.1768891069676,404.57433758586853
baseline,3,32,1921.751226692836,1681.9575564278705,239.7936702649656
baseline,4,0,43.48236420398622,43.48236420398622,0.0
baseline,4,1,43.48236420398622,43.48236420398622,0.0
baseline,4,2,43.48236420398622,14.798633965920276,28.683730238065948
baseline,4,4,43.48236420398622,20.00146484375,23.480899360236222
baseline,4,8,43.48236420398622,395.5482283464567,-352.0658641424705
baseline,4,16,43.48236420398622,364.4906803641732,-321.008316160187
baseline,4,32,43.48236420398622,367.8548228346457,-324.3724586306595
baseline,5,0,26.899750931766054,26.899750931766054,0.0
baseline,5,1,26.899750931766054,26.899750931766054,0.0
baseline,5,2,26.899750931766054,9.921327587442661,16.978423344323392
baseline,5,4,26.899750931766054,625.6691513761468,-598.7694004443807
baseline,5,8,26.899750931766054,277.01261467889907,-250.11286374713302
baseline,5,16,26.899750931766054,405.20452981651374,-378.3047788847477
baseline,5,32,26.899750931766054,55.16263618119266,-28.262885249426606
baseline,6,0,7.723690654306515,7.723690654306515,0.0
baseline,6,1,7.723690654306515,7.723690654306515,0.0
baseline,6,2,7.723690654306515,7.899340314196693,-0.175649659890178
baseline,6,4,7.723690654306515,967.5830454096742,-959.8593547553677
baseline,6,8,7.723690654306515,967.3093534057256,-959.585662751419
baseline,6,16,7.723690654306515,781.7190893385982,-773.9953986842917
baseline,6,32,7.723690654306515,751.2073050345508,-743.4836143802443
baseline,7,0,4.44360992739899,4.44360992739899,0.0
baseline,7,1,4.44360992739899,4.44360992739899,0.0
baseline,7,2,4.44360992739899,5.158474885574495,-0.7148649581755047
baseline,7,4,4.44360992739899,5.041908341224747,-0.5982984138257574
baseline,7,8,4.44360992739899,5.00104462594697,-0.5574346985479801
baseline,7,16,4.44360992739899,272.99280303030304,-268.54919310290404
baseline,7,32,4.44360992739899,4.940185053661616,-0.4965751262626261
baseline,8,0,4.497316535841232,4.497316535841232,0.0
baseline,8,1,4.497316535841232,4.497316535841232,0.0
baseline,8,2,4.497316535841232,51.072996889810426,-46.57568035396919
baseline,8,4,4.497316535841232,21.547752517772512,-17.05043598193128
baseline,8,8,4.497316535841232,20.385500592417063,-15.888184056575831
baseline,8,16,4.497316535841232,77.49544579383887,-72.99812925799763
baseline,8,32,4.497316535841232,26.453226821682463,-21.95591028584123
baseline,9,0,5.816835631762201,5.816835631762201,0.0
baseline,9,1,5.816835631762201,5.816835631762201,0.0
baseline,9,2,5.816835631762201,6.326946111015193,-0.510110479252992
baseline,9,4,5.816835631762201,1668.3590009208103,-1662.5421652890482
baseline,9,8,5.816835631762201,1110.211556169429,-1104.394720537667
baseline,9,16,5.816835631762201,255.41620626151013,-249.59937062974794
baseline,9,32,5.816835631762201,711.556514732965,-705.7396791012028
