checkpoint_task,seen_law_count,clnll,average_forgetting,average_bwt,bwt_law_count
0,1,1507.3306744017405,0.0,,0
1,2,272.81914651600215,0.0,1092.6876963983564,1
2,3,56.466462406304004,0.0,782.1937723590888,2
3,3,42.653371633003474,0.0,535.2756056793597,3
4,4,77.17700435159841,23.422975740774216,504.04497135832753,3
5,5,7.905280202070015,0.0,446.5091385057451,4
6,5,20.841976894637774,13.070001196508661,344.2706141120283,5
7,6,14.276257877730513,7.068341277139871,348.8586057759691,5
8,6,12.395740787959374,5.195470775463605,292.59602190307874,6
9,7,8.2615612992784,1.6626589603227349,296.1551410168396,6
