Epoch,Split,Log-likelihood,RMSE,Accuracy,NumEvents,RMSE NumEvents,LearningRate
1,train,-1167.986065373826,15.059634805318801,0.08159531650201245,8199,8199,0.001
1,valid,-425.2513812154696,14.131332114773224,0.07282772476142642,1991,1991,0.001
2,train,-1061.0505396999633,14.902239157875794,0.08257104524942066,8199,8199,0.001
2,valid,-350.7381341034656,14.148662247551135,0.07684580612757408,1991,1991,0.001
3,train,-971.9644316380046,14.73728692051335,0.08244907915599463,8199,8199,0.001
3,valid,-292.5443244600703,13.15760193573077,0.077850326469111,1991,1991,0.001
4,train,-873.6782077082571,14.352704741630223,0.1128186364190755,8199,8199,0.001
4,valid,-250.45212832747364,12.90286996135271,0.11150175791059769,1991,1991,0.001
5,train,-779.6921270886694,14.016886475833338,0.14623734601780705,8199,8199,0.001
5,valid,-216.86961639879456,12.645536491950892,0.16373681567051732,1991,1991,0.001
6,train,-708.0855744603,13.852988193676245,0.15831198926698378,8199,8199,0.001
6,valid,-185.53335321446508,12.165394752439068,0.18432948267202412,1991,1991,0.001
7,train,-647.414707586291,13.74704685602916,0.1628247347237468,8199,8199,0.001
7,valid,-163.08434831742844,11.886899256437616,0.19085886489201406,1991,1991,0.001
8,train,-589.4499252957678,13.383639917722297,0.16660568361995365,8199,8199,0.001
8,valid,-146.49926230537417,11.595168717796813,0.18985434455047714,1991,1991,0.001
9,train,-532.0177651237956,13.211567371438182,0.1690450054884742,8199,8199,0.001
9,valid,-132.9562405826218,11.015071748532277,0.19186338523355098,1991,1991,0.001
10,train,-484.30613870593976,13.019694040900063,0.17002073423588243,8199,8199,0.001
10,valid,-114.7143238322451,10.385169944274942,0.19437468608739328,1991,1991,0.001
11,train,-446.329878262593,12.650216741050741,0.17136236126356874,8199,8199,0.001
11,valid,-100.34032835258664,10.061671022096979,0.19437468608739328,1991,1991,0.001
12,train,-416.0911315404318,12.325049012088519,0.17148432735699476,8199,8199,0.001
12,valid,-90.28890946760421,9.719564952604903,0.19236564540431944,1991,1991,0.001
13,train,-391.0434256464203,11.974473121621333,0.1730698865715331,8199,8199,0.001
13,valid,-82.91968545956806,9.348623114857418,0.19437468608739328,1991,1991,0.001
14,train,-365.577780064642,11.386854690209383,0.17197219173069886,8199,8199,0.001
14,valid,-76.58771503013561,8.956961259827198,0.19487694625816174,1991,1991,0.001
15,train,-346.16795398066836,11.241978038671766,0.17197219173069886,8199,8199,0.001
15,valid,-64.90304024359618,8.967851995453293,0.19387242591662482,1991,1991,0.001
16,train,-324.16334023204047,11.180819701827817,0.17148432735699476,8199,8199,0.001
16,valid,-54.96688614389754,8.980501472923061,0.19337016574585636,1991,1991,0.001
17,train,-304.7446049060861,11.104994733792788,0.17197219173069886,8199,8199,0.001
17,valid,-46.8708720492215,8.15036751982307,0.19236564540431944,1991,1991,0.001
18,train,-289.17883564306624,10.874334861401296,0.1707525307964386,8199,8199,0.001
18,valid,-40.39314414866901,8.153628137714929,0.19136112506278252,1991,1991,0.001
19,train,-275.4085883186974,10.878931556788782,0.17148432735699476,8199,8199,0.001
19,valid,-35.26932132094425,8.15929044664222,0.18834756403817177,1991,1991,0.001
20,train,-264.2411465003354,10.883121381328603,0.1720941578241249,8199,8199,0.001
20,valid,-31.24651949397288,8.16735665800175,0.19186338523355098,1991,1991,0.001
21,train,-253.69833163724235,10.733493718021371,0.17404561531894133,8199,8199,0.001
21,valid,-27.986415431943747,7.733508877720255,0.19487694625816174,1991,1991,0.001
22,train,-245.07831271344065,10.507444915210185,0.17221612391755092,8199,8199,0.001
22,valid,-25.32182320441989,7.740704637647196,0.19236564540431944,1991,1991,0.001
23,train,-237.94171545310402,10.430697191983036,0.17148432735699476,8199,8199,0.001
23,valid,-23.12935946132597,7.7479203030945,0.1903566047212456,1991,1991,0.001
24,train,-231.91029679686548,10.353712527799189,0.1720941578241249,8199,8199,0.001
24,valid,-21.279480317679557,7.755379961764026,0.19136112506278252,1991,1991,0.001
25,train,-226.375563378537,10.355944953532497,0.172582022197829,8199,8199,0.001
25,valid,-19.692255775991963,7.762003178224967,0.19387242591662482,1991,1991,0.001
