task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,9066.180067404912,1312.542850264805,,initial,,"[""A_1""]",7753.637217140107,,False,excluded_not_unseen_law_task
1,825.4499027237354,21.529367172300585,9208.970817120622,novel,,"[""B_1""]",803.9205355514348,8383.520914396886,True,available
2,122.81841892764858,8.798267926356589,6354.773126614987,novel,,"[""C_1""]",114.02015100129199,6231.954707687338,True,available
3,126.35735789980733,96.5814291305395,8797.094412331406,exact_recurrence,A_1,[],29.77592876926782,,False,excluded_not_unseen_law_task
4,7.380833766704488,6.189790957513868,6577.551185073122,near_recurrence,B_1,"[""B_prime_1""]",1.1910428091906207,6570.170351306418,True,available
5,4.817584200953337,4.474468256083793,7232.084295032614,specialization,A_1,"[""A_2""]",0.34311594486954355,7227.266710831661,True,available
6,7.565999388753056,6.675786025366748,5367.148655256724,transient_anomaly,C_1,[],0.8902133633863079,,False,excluded_not_unseen_law_task
7,4.46647560506655,4.384771510861376,7574.5534907081865,merge,A_1|A_2,"[""A_merge""]",0.08170409420517366,7570.0870151031195,True,available
8,4.646943543989336,4.633898410991275,9611.546291808047,long_gap_recurrence,A_1,[],0.013045132998060538,,False,excluded_not_unseen_law_task
9,6.235892532477623,5.91864083478369,8125.8528095474885,mixture,,"[""E_1""]",0.3172516976939326,8119.616917015011,True,available
