task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,9.62939899795378,2.813618556662253,,initial,,"[""A_1""]",6.815780441291527,,False,excluded_not_unseen_law_task
1,3.7401025675614057,2.9993535498236867,9.991399030277238,novel,,"[""B_1""]",0.740749017737719,6.251296462715832,True,available
2,3.354885840600775,2.372866703003876,7.380148780684754,novel,,"[""C_1""]",0.982019137596899,4.025262940083979,True,available
3,3.3962322374759153,2.7981752017100194,9.294197450024084,exact_recurrence,A_1,[],0.5980570357658959,,False,excluded_not_unseen_law_task
4,3.5608677173947303,2.6574580220940494,8.763135085728694,near_recurrence,B_1,"[""B_prime_1""]",0.9034096953006809,5.202267368333963,True,available
5,3.322509153129704,2.803947850680507,9.453011320873056,specialization,A_1,"[""A_2""]",0.5185613024491973,6.1305021677433515,True,available
6,3.261163852383863,2.5571656765739608,7.982495893184597,transient_anomaly,C_1,[],0.7039981758099021,,False,excluded_not_unseen_law_task
7,3.138146561872175,2.8078379073016073,9.222007824271722,merge,A_1|A_2,"[""A_merge""]",0.3303086545705676,6.083861262399548,True,available
8,2.818278428714251,2.8180426904083857,9.161830086645661,long_gap_recurrence,A_1,[],0.0002357383058653184,,False,excluded_not_unseen_law_task
9,3.4276751305320734,2.8304377194958974,8.869235804636997,mixture,,"[""E_1""]",0.597237411036176,5.441560674104924,True,available
