protocol,task_id,K,pre_nll,adapted_nll,gain_nll
baseline,1,0,3.6501841168412814,3.6501841168412814,0.0
baseline,1,1,3.6501841168412814,3.6501841168412814,0.0
baseline,1,2,3.6501841168412814,14.094376580563583,-10.444192463722302
baseline,1,4,3.6501841168412814,16.33478594653179,-12.68460182969051
baseline,1,8,3.6501841168412814,10.64185181840077,-6.991667701559489
baseline,1,16,3.6501841168412814,7.704309011470376,-4.054124894629094
baseline,1,32,3.6501841168412814,14.904076725072255,-11.253892608230974
baseline,2,0,3.2855853750310327,3.2855853750310327,0.0
baseline,2,1,3.2855853750310327,3.2855853750310327,0.0
baseline,2,2,3.2855853750310327,9.721430455561073,-6.43584508053004
baseline,2,4,3.2855853750310327,11.91457841981132,-8.628993044780287
baseline,2,8,3.2855853750310327,7.749397770295432,-4.4638123952644
baseline,2,16,3.2855853750310327,4.763630174714499,-1.4780447996834662
baseline,2,32,3.2855853750310327,10.510778069141013,-7.22519269410998
baseline,3,0,3.1823383065505397,3.1823383065505397,0.0
baseline,3,1,3.1823383065505397,3.1823383065505397,0.0
baseline,3,2,3.1823383065505397,10.526715069921492,-7.344376763370953
baseline,3,4,3.1823383065505397,9.21629278091266,-6.033954474362121
baseline,3,8,3.1823383065505397,8.867924474055446,-5.685586167504907
baseline,3,16,3.1823383065505397,9.884510702894994,-6.702172396344455
baseline,3,32,3.1823383065505397,9.460017480372915,-6.277679173822376
baseline,4,0,3.5709766778420278,3.5709766778420278,0.0
baseline,4,1,3.5709766778420278,3.5709766778420278,0.0
baseline,4,2,3.5709766778420278,22.125547874630904,-18.554571196788878
baseline,4,4,3.5709766778420278,13.77547136441929,-10.204494686577263
baseline,4,8,3.5709766778420278,9.376434085875983,-5.805457408033956
baseline,4,16,3.5709766778420278,9.835770254060039,-6.264793576218011
baseline,4,32,3.5709766778420278,13.491318590059056,-9.920341912217028
baseline,5,0,3.5158198645355503,3.5158198645355503,0.0
baseline,5,1,3.5158198645355503,3.5158198645355503,0.0
baseline,5,2,3.5158198645355503,13.680642560206422,-10.164822695670871
baseline,5,4,3.5158198645355503,12.506120090309633,-8.990300225774082
baseline,5,8,3.5158198645355503,10.738076978211009,-7.222257113675458
baseline,5,16,3.5158198645355503,11.285876576834863,-7.770056712299312
baseline,5,32,3.5158198645355503,12.633729931192661,-9.11791006665711
baseline,6,0,3.191954783131787,3.191954783131787,0.0
baseline,6,1,3.191954783131787,3.191954783131787,0.0
baseline,6,2,3.191954783131787,13.656650072495065,-10.464695289363277
baseline,6,4,3.191954783131787,9.817306654121422,-6.625351870989635
baseline,6,8,3.191954783131787,12.29804340449161,-9.106088621359824
baseline,6,16,3.191954783131787,13.031934461377098,-9.83997967824531
baseline,6,32,3.191954783131787,8.534074608218164,-5.342119825086377
baseline,7,0,3.174109010022096,3.174109010022096,0.0
baseline,7,1,3.174109010022096,3.174109010022096,0.0
baseline,7,2,3.174109010022096,8.53228574810606,-5.358176738083964
baseline,7,4,3.174109010022096,10.669174163510101,-7.495065153488005
baseline,7,8,3.174109010022096,11.45959990530303,-8.285490895280933
baseline,7,16,3.174109010022096,17.28911773989899,-14.115008729876894
baseline,7,32,3.174109010022096,10.703471235795455,-7.529362225773358
baseline,8,0,2.761244122111967,2.761244122111967,0.0
baseline,8,1,2.761244122111967,2.761244122111967,0.0
baseline,8,2,2.761244122111967,7.2309584197274885,-4.469714297615521
baseline,8,4,2.761244122111967,8.72465380627962,-5.9634096841676545
baseline,8,8,2.761244122111967,12.885267328199053,-10.124023206087086
baseline,8,16,2.761244122111967,8.083967713270143,-5.3227235911581765
baseline,8,32,2.761244122111967,13.180460419135072,-10.419216297023105
baseline,9,0,3.4250405102584023,3.4250405102584023,0.0
baseline,9,1,3.4250405102584023,3.4250405102584023,0.0
baseline,9,2,3.4250405102584023,13.484939715699817,-10.059899205441415
baseline,9,4,3.4250405102584023,17.208658854166668,-13.783618343908266
baseline,9,8,3.4250405102584023,10.356157559277165,-6.931117049018763
baseline,9,16,3.4250405102584023,9.372755524861878,-5.947715014603476
baseline,9,32,3.4250405102584023,10.099034767783149,-6.673994257524747
