checkpoint_task,seen_law_count,clnll,average_forgetting,average_bwt,bwt_law_count
0,1,2.776750069872492,0.0,,0
1,2,3.1428366442959783,0.32556863461596564,-0.6511372692319313,1
2,3,3.047712153065594,0.37623445271966105,-0.5643516790794916,2
3,3,3.1960402699725994,0.5309145929074254,-0.5245625696266664,3
4,4,3.0627873720561976,0.3681825619825939,-0.4815940325755583,3
5,5,3.187813486150207,0.45588785710180624,-0.5628727838263325,4
6,5,3.097097760029026,0.366869211857324,-0.35958250093988553,5
7,6,3.104723882737479,0.37137103977624203,-0.437790492337378,5
8,6,3.1245614657113507,0.39566966389489616,-0.3846629932550205,6
9,7,3.1400976477528033,0.4214433557162475,-0.48067724436241316,6
