checkpoint_task,regime_id,first_seen_task,baseline_checkpoint_task,baseline_nll_per_event,current_nll_per_event,best_nll_since_first_seen,forgetting_nll,bwt_nll
0,A_1,0,0,2.776750069872492,2.776750069872492,2.776750069872492,0.0,
1,A_1,0,0,2.776750069872492,3.4278873391044233,2.776750069872492,0.6511372692319313,-0.6511372692319313
1,B_1,1,1,2.857785949487533,2.857785949487533,2.857785949487533,0.0,
2,A_1,0,0,2.776750069872492,3.3263947115965675,2.776750069872492,0.5496446417240755,-0.5496446417240755
2,B_1,1,1,2.857785949487533,3.4368446659224405,2.857785949487533,0.5790587164349077,-0.5790587164349077
2,C_1,2,2,2.379897081677775,2.379897081677775,2.379897081677775,0.0,
3,A_1,0,0,2.776750069872492,2.7576940000302153,2.7576940000302153,0.0,0.019056069842276813
3,B_1,1,1,2.857785949487533,3.6547567092723567,2.857785949487533,0.7969707597848239,-0.7969707597848239
3,C_1,2,2,2.379897081677775,3.175670100615227,2.379897081677775,0.7957730189374521,-0.7957730189374521
4,A_1,0,0,2.776750069872492,3.436390066020063,2.7576940000302153,0.6786960659898478,-0.659639996147571
4,B_1,1,1,2.857785949487533,2.8488938691261088,2.8488938691261088,0.0,0.008892080361424082
4,B_prime_1,4,4,2.7919342894603156,2.7919342894603156,2.7919342894603156,0.0,
4,C_1,2,2,2.379897081677775,3.173931263618303,2.379897081677775,0.7940341819405279,-0.7940341819405279
5,A_1,0,0,2.776750069872492,2.7645587363276527,2.7576940000302153,0.006864736297437446,0.012191333544839367
5,A_2,5,5,2.881208904947588,2.881208904947588,2.881208904947588,0.0,
5,B_1,1,1,2.857785949487533,3.538228757716974,2.8488938691261088,0.6893348885908654,-0.6804428082294414
5,B_prime_1,4,4,2.7919342894603156,3.4852689177175473,2.7919342894603156,0.6933346282572317,-0.6933346282572317
5,C_1,2,2,2.379897081677775,3.2698021140412714,2.379897081677775,0.8899050323634965,-0.8899050323634965
6,A_1,0,0,2.776750069872492,3.097017483230602,2.7576940000302153,0.33932348320038663,-0.3202674133581098
6,A_2,5,5,2.881208904947588,3.1905434019007326,2.881208904947588,0.30933449695314463,-0.30933449695314463
6,B_1,1,1,2.857785949487533,3.4320508233936704,2.8488938691261088,0.5831569542675616,-0.5742648739061376
6,B_prime_1,4,4,2.7919342894603156,3.394465414325843,2.7919342894603156,0.6025311248655272,-0.6025311248655272
6,C_1,2,2,2.379897081677775,2.3714116772942835,2.3714116772942835,0.0,0.008485404383491435
7,A_1,0,0,2.776750069872492,2.7548537776468454,2.7548537776468454,0.0,0.021896292225646707
7,A_2,5,5,2.881208904947588,2.881326072714069,2.881208904947588,0.00011716776648107441,-0.00011716776648107441
7,A_merge,7,7,2.7518145392922793,2.7518145392922793,2.7518145392922793,0.0,
7,B_1,1,1,2.857785949487533,3.5563322738102374,2.8488938691261088,0.7074384046841287,-0.6985463243227046
7,B_prime_1,4,4,2.7919342894603156,3.5220063911965096,2.7919342894603156,0.730072101736194,-0.730072101736194
7,C_1,2,2,2.379897081677775,3.162010241764932,2.3714116772942835,0.7905985644706486,-0.7821131600871571
8,A_1,0,0,2.776750069872492,2.7463564800126905,2.7463564800126905,0.0,0.030393589859801562
8,A_2,5,5,2.881208904947588,2.876501967431801,2.876501967431801,0.0,0.00470693751578688
8,A_merge,7,7,2.7518145392922793,2.7382525275735294,2.7382525275735294,0.0,0.013562011718749822
8,B_1,1,1,2.857785949487533,3.601354825356629,2.8488938691261088,0.7524609562305202,-0.7435688758690961
8,B_prime_1,4,4,2.7919342894603156,3.5598184803071957,2.7919342894603156,0.7678841908468801,-0.7678841908468801
8,C_1,2,2,2.379897081677775,3.22508451358626,2.3714116772942835,0.8536728362919765,-0.8451874319084851
9,A_1,0,0,2.776750069872492,3.3652848909233746,2.7463564800126905,0.6189284109106841,-0.5885348210508825
9,A_2,5,5,2.881208904947588,3.400505819414625,2.876501967431801,0.5240038519828238,-0.519296914467037
9,A_merge,7,7,2.7518145392922793,3.3323371438419116,2.7382525275735294,0.5940846162683822,-0.5805226045496323
9,B_1,1,1,2.857785949487533,2.9417155377157758,2.8488938691261088,0.092821668589667,-0.08392958822824292
9,B_prime_1,4,4,2.7919342894603156,2.899847130498446,2.7919342894603156,0.10791284103813048,-0.10791284103813048
9,C_1,2,2,2.379897081677775,3.3837637785183285,2.3714116772942835,1.012352101224045,-1.0038666968405536
9,E_1,9,9,2.6572292333571608,2.6572292333571608,2.6572292333571608,0.0,
