Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.280553944905599,,,15,validation_loglike
1,valid,-3.0384783426920574,,,15,validation_loglike
2,train,-3.066454060872396,,,15,validation_loglike
2,valid,-2.9059666951497394,,,15,validation_loglike
3,train,-2.94044189453125,,,15,validation_loglike
3,valid,-2.811323547363281,,,15,validation_loglike
4,train,-2.710991923014323,,,15,validation_loglike
4,valid,-2.6981966654459635,,,15,validation_loglike
5,train,-2.6467386881510415,,,15,validation_loglike
5,valid,-2.6304730733235675,,,15,validation_loglike
6,train,-2.661523946126302,,,15,validation_loglike
6,valid,-2.5875340779622396,,,15,validation_loglike
7,train,-2.6131810506184894,,,15,validation_loglike
7,valid,-2.527391052246094,,,15,validation_loglike
8,train,-2.6222963968912762,,,15,validation_loglike
8,valid,-2.422710164388021,,,15,validation_loglike
9,train,-2.440201822916667,,,15,validation_loglike
9,valid,-2.3245445251464845,,,15,validation_loglike
10,train,-2.329839070638021,,,15,validation_loglike
10,valid,-2.212158203125,,,15,validation_loglike
11,train,-2.2593373616536456,,,15,validation_loglike
11,valid,-2.0290808359781902,,,15,validation_loglike
12,train,-2.130327351888021,,,15,validation_loglike
12,valid,-1.8887708028157553,,,15,validation_loglike
13,train,-2.010857645670573,,,15,validation_loglike
13,valid,-1.8076791127522787,,,15,validation_loglike
14,train,-1.948114522298177,,,15,validation_loglike
14,valid,-1.801739756266276,,,15,validation_loglike
15,train,-1.8982945760091146,,,15,validation_loglike
15,valid,-1.5562686920166016,,,15,validation_loglike
16,train,-1.664288584391276,,,15,validation_loglike
16,valid,-1.4747046152750651,,,15,validation_loglike
17,train,-1.642425282796224,,,15,validation_loglike
17,valid,-1.3160378774007162,,,15,validation_loglike
18,train,-1.74981689453125,,,15,validation_loglike
18,valid,-1.2275535583496093,,,15,validation_loglike
19,train,-1.341671625773112,,,15,validation_loglike
19,valid,-1.1025868733723958,,,15,validation_loglike
20,train,-1.2768781026204428,,,15,validation_loglike
20,valid,-0.9849159240722656,,,15,validation_loglike
21,train,-1.1986183166503905,,,15,validation_loglike
21,valid,-0.950827153523763,,,15,validation_loglike
22,train,-1.1679100036621093,,,15,validation_loglike
22,valid,-0.8512144088745117,,,15,validation_loglike
23,train,-0.8143002827962239,,,15,validation_loglike
23,valid,-0.8628426869710286,,,15,validation_loglike
24,train,-0.9074696858723958,,,15,validation_loglike
24,valid,-0.9334828694661458,,,15,validation_loglike
25,train,-1.0870641072591145,,,15,validation_loglike
25,valid,-1.8472885131835937,,,15,validation_loglike
26,train,-1.077368672688802,,,15,validation_loglike
26,valid,-1.2319698333740234,,,15,validation_loglike
27,train,-1.2172465006510416,,,15,validation_loglike
27,valid,-1.339978535970052,,,15,validation_loglike
