checkpoint_task,A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1
0,2.7779617438663284,2.9269578610444555,2.784027458639706,3.5686190268370894,3.562637040924576,3.381637671029864,3.4043337813898558
1,3.2510159838046895,3.2983165335311946,3.2177049823835784,2.9023294679783027,2.8802316014971314,3.119271550964496,3.2065456396071608
2,3.434368484862219,3.4934948456049506,3.384467390471814,3.4587167626918007,3.4663495659514703,2.423635866604717,3.4986708843547984
3,2.762453827501813,2.897989549128568,2.7567287071078432,3.548408327214697,3.531046423021755,3.32200177037939,3.38156399568001
4,3.3976131934372735,3.433618910236171,3.358095894607843,2.856278845001199,2.7966237972149175,3.255225022430146,3.2905028204251616
5,2.752331286258158,2.876587314899596,2.7429512771905635,3.512682669398825,3.464911920272532,3.2965052530601127,3.3666370606197167
6,3.061622816956732,3.1279945614422835,3.0138193167892156,3.5897901338857587,3.561855884308511,2.3732103447032813,3.325682865334411
7,2.749147366751269,2.886441987402122,2.7516831341911763,3.4867708676726203,3.4301726295421946,3.2149844390861317,3.3393591108279463
8,2.74952245928511,2.874996053296287,2.738365981158088,3.436583141033325,3.3769101683899114,3.282386026820046,3.24682750730358
9,3.3909021294114092,3.4333734745990148,3.369284237132353,2.9084023709092546,2.869110742140808,3.3587694361221483,2.651889704282695
