task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,9.245379077395281,2.805694859247111,,initial,,"[""A_1""]",6.4396842181481695,,False,excluded_not_unseen_law_task
1,3.6308116393330496,3.073236962700632,9.645551510821985,novel,,"[""B_1""]",0.5575746766324174,6.014739871488935,True,available
2,3.123572250484496,2.418023508155685,7.048907360303618,novel,,"[""C_1""]",0.7055487423288112,3.925335109819122,True,available
3,3.4100028976999037,2.7977671246537814,8.941995198097302,exact_recurrence,A_1,[],0.6122357730461223,,False,excluded_not_unseen_law_task
4,3.4551874527231465,2.662777653019415,8.525814146810388,near_recurrence,B_1,"[""B_prime_1""]",0.7924097997037314,5.070626694087242,True,available
5,3.4078027980745107,2.8050010975915707,9.07193340755143,specialization,A_1,"[""A_2""]",0.60280170048294,5.66413060947692,True,available
6,3.3244651589242054,2.5457088554400977,7.64938732044621,transient_anomaly,C_1,[],0.7787563034841076,,False,excluded_not_unseen_law_task
7,3.063656817004646,2.810522841066047,8.827752228779508,merge,A_1|A_2,"[""A_merge""]",0.2531339759385989,5.7640954117748615,True,available
8,2.829316709206859,2.8227522494546777,8.75091360427775,long_gap_recurrence,A_1,[],0.006564459752181229,,False,excluded_not_unseen_law_task
9,3.353809662092864,2.80948824434361,8.566375170934858,mixture,,"[""E_1""]",0.5443214177492539,5.212565508841994,True,available
