Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.2437987122016745,,,8003,validation_loglike
1,valid,-2.8850692660481143,,,2068,validation_loglike
2,train,-2.9722625987910782,,,8003,validation_loglike
2,valid,-2.750997812651112,,,2068,validation_loglike
3,train,-2.8318106296076473,,,8003,validation_loglike
3,valid,-2.722766514672993,,,2068,validation_loglike
4,train,-2.8028834890041234,,,8003,validation_loglike
4,valid,-2.6993991401716633,,,2068,validation_loglike
5,train,-2.785798099150319,,,8003,validation_loglike
5,valid,-2.6431702958776597,,,2068,validation_loglike
6,train,-2.7496949386167686,,,8003,validation_loglike
6,valid,-2.6255865041706965,,,2068,validation_loglike
7,train,-2.7500107381606895,,,8003,validation_loglike
7,valid,-2.622756220155343,,,2068,validation_loglike
8,train,-2.75517262081407,,,8003,validation_loglike
8,valid,-2.5832755644040137,,,2068,validation_loglike
9,train,-2.697090885839685,,,8003,validation_loglike
9,valid,-2.5614851872279982,,,2068,validation_loglike
10,train,-2.662811504279645,,,8003,validation_loglike
10,valid,-2.573899053282157,,,2068,validation_loglike
11,train,-2.6593606499125326,,,8003,validation_loglike
11,valid,-2.5831343689555126,,,2068,validation_loglike
12,train,-2.6645344909721356,,,8003,validation_loglike
12,valid,-2.5365731628536023,,,2068,validation_loglike
13,train,-2.637257122329127,,,8003,validation_loglike
13,valid,-2.515546374440885,,,2068,validation_loglike
14,train,-2.63248303370611,,,8003,validation_loglike
14,valid,-2.503216328427224,,,2068,validation_loglike
15,train,-2.631735023194427,,,8003,validation_loglike
15,valid,-2.5061819050713248,,,2068,validation_loglike
16,train,-2.64640505904036,,,8003,validation_loglike
16,valid,-2.5270358589216633,,,2068,validation_loglike
17,train,-2.671510390634762,,,8003,validation_loglike
17,valid,-2.5587684734647,,,2068,validation_loglike
18,train,-2.7063342457515933,,,8003,validation_loglike
18,valid,-2.5847158524238396,,,2068,validation_loglike
19,train,-2.7403510304729477,,,8003,validation_loglike
19,valid,-2.5705368071506287,,,2068,validation_loglike
20,train,-2.7202582234786954,,,8003,validation_loglike
20,valid,-2.5513101426499034,,,2068,validation_loglike
21,train,-2.7043550074971887,,,8003,validation_loglike
21,valid,-2.529961532504231,,,2068,validation_loglike
22,train,-2.6805577791140824,,,8003,validation_loglike
22,valid,-2.509873764657882,,,2068,validation_loglike
23,train,-2.649540113863551,,,8003,validation_loglike
23,valid,-2.494790407398453,,,2068,validation_loglike
24,train,-2.6259596010870925,,,8003,validation_loglike
24,valid,-2.49637330754352,,,2068,validation_loglike
25,train,-2.62020614339935,,,8003,validation_loglike
25,valid,-2.489709496267529,,,2068,validation_loglike
26,train,-2.607904116034612,,,8003,validation_loglike
26,valid,-2.4688638063648454,,,2068,validation_loglike
27,train,-2.587984095807822,,,8003,validation_loglike
27,valid,-2.4573577939887574,,,2068,validation_loglike
28,train,-2.5749994630919657,,,8003,validation_loglike
28,valid,-2.4523321332507253,,,2068,validation_loglike
29,train,-2.5686495493877297,,,8003,validation_loglike
29,valid,-2.455090402865087,,,2068,validation_loglike
30,train,-2.5775505084030987,,,8003,validation_loglike
30,valid,-2.450713343961557,,,2068,validation_loglike
31,train,-2.5752030000468573,,,8003,validation_loglike
31,valid,-2.4456846137572534,,,2068,validation_loglike
32,train,-2.571089552355367,,,8003,validation_loglike
32,valid,-2.4393865411931817,,,2068,validation_loglike
33,train,-2.562936359802574,,,8003,validation_loglike
33,valid,-2.4312005107591874,,,2068,validation_loglike
34,train,-2.551582219167812,,,8003,validation_loglike
34,valid,-2.4275237623911994,,,2068,validation_loglike
35,train,-2.5511453712670247,,,8003,validation_loglike
35,valid,-2.4299705992353724,,,2068,validation_loglike
36,train,-2.54951487918593,,,8003,validation_loglike
36,valid,-2.4304728111399903,,,2068,validation_loglike
37,train,-2.552245056541297,,,8003,validation_loglike
37,valid,-2.4317480563195115,,,2068,validation_loglike
38,train,-2.5547934173122577,,,8003,validation_loglike
38,valid,-2.431748764657882,,,2068,validation_loglike
39,train,-2.5615638276271397,,,8003,validation_loglike
39,valid,-2.4320807392408126,,,2068,validation_loglike
40,train,-2.559789834671373,,,8003,validation_loglike
40,valid,-2.4310748987548356,,,2068,validation_loglike
41,train,-2.565761228211296,,,8003,validation_loglike
41,valid,-2.4261179468387333,,,2068,validation_loglike
42,train,-2.5635542921404473,,,8003,validation_loglike
42,valid,-2.4248469516894344,,,2068,validation_loglike
43,train,-2.5620885332062975,,,8003,validation_loglike
43,valid,-2.4212294676317696,,,2068,validation_loglike
44,train,-2.5562686941615644,,,8003,validation_loglike
44,valid,-2.4099442207144586,,,2068,validation_loglike
45,train,-2.5479351493190054,,,8003,validation_loglike
45,valid,-2.3994985908788684,,,2068,validation_loglike
46,train,-2.5401555959483946,,,8003,validation_loglike
46,valid,-2.388976696612065,,,2068,validation_loglike
47,train,-2.525681043436836,,,8003,validation_loglike
47,valid,-2.391012224975822,,,2068,validation_loglike
48,train,-2.525600507231663,,,8003,validation_loglike
48,valid,-2.394847168913201,,,2068,validation_loglike
49,train,-2.526826121844933,,,8003,validation_loglike
49,valid,-2.4025520014808994,,,2068,validation_loglike
50,train,-2.5283209226227665,,,8003,validation_loglike
50,valid,-2.4056268983468327,,,2068,validation_loglike
51,train,-2.529347881263276,,,8003,validation_loglike
51,valid,-2.4106452395883706,,,2068,validation_loglike
52,train,-2.529856723650506,,,8003,validation_loglike
52,valid,-2.414758796618109,,,2068,validation_loglike
53,train,-2.525268356397601,,,8003,validation_loglike
53,valid,-2.4089107550320357,,,2068,validation_loglike
54,train,-2.527754972744596,,,8003,validation_loglike
54,valid,-2.406815017906794,,,2068,validation_loglike
55,train,-2.52673557962639,,,8003,validation_loglike
55,valid,-2.403714620859526,,,2068,validation_loglike
56,train,-2.5201833492127954,,,8003,validation_loglike
56,valid,-2.401621717087766,,,2068,validation_loglike
57,train,-2.516410350024991,,,8003,validation_loglike
57,valid,-2.3957524253505804,,,2068,validation_loglike
58,train,-2.515003895023741,,,8003,validation_loglike
58,valid,-2.393918537309599,,,2068,validation_loglike
59,train,-2.5163256649850054,,,8003,validation_loglike
59,valid,-2.390869140625,,,2068,validation_loglike
60,train,-2.5089204829438962,,,8003,validation_loglike
60,valid,-2.3890437526444632,,,2068,validation_loglike
61,train,-2.5089814952205423,,,8003,validation_loglike
61,valid,-2.383052862820358,,,2068,validation_loglike
62,train,-2.5054862239160314,,,8003,validation_loglike
62,valid,-2.38253365079485,,,2068,validation_loglike
63,train,-2.5068904824753218,,,8003,validation_loglike
63,valid,-2.3825364841483316,,,2068,validation_loglike
64,train,-2.5055045275990255,,,8003,validation_loglike
64,valid,-2.3794478927405707,,,2068,validation_loglike
65,train,-2.505310020461077,,,8003,validation_loglike
65,valid,-2.3790764873216874,,,2068,validation_loglike
66,train,-2.503563605054355,,,8003,validation_loglike
66,valid,-2.3765172607894103,,,2068,validation_loglike
67,train,-2.499502871969886,,,8003,validation_loglike
67,valid,-2.3735462535511362,,,2068,validation_loglike
68,train,-2.4979250944958142,,,8003,validation_loglike
68,valid,-2.3707301363031914,,,2068,validation_loglike
69,train,-2.4950972974978134,,,8003,validation_loglike
69,valid,-2.373443072261847,,,2068,validation_loglike
70,train,-2.4915231983318757,,,8003,validation_loglike
70,valid,-2.3761916612518132,,,2068,validation_loglike
71,train,-2.497242489144696,,,8003,validation_loglike
71,valid,-2.37569771329485,,,2068,validation_loglike
72,train,-2.4915559009121577,,,8003,validation_loglike
72,valid,-2.3734803780826885,,,2068,validation_loglike
73,train,-2.4956459198894163,,,8003,validation_loglike
73,valid,-2.3791338627296907,,,2068,validation_loglike
74,train,-2.4953713646445084,,,8003,validation_loglike
74,valid,-2.382896556153288,,,2068,validation_loglike
75,train,-2.498209167655879,,,8003,validation_loglike
75,valid,-2.373010277517529,,,2068,validation_loglike
76,train,-2.486863812788954,,,8003,validation_loglike
76,valid,-2.370791997854207,,,2068,validation_loglike
77,train,-2.492413489472698,,,8003,validation_loglike
77,valid,-2.3710632914500724,,,2068,validation_loglike
78,train,-2.494982838466825,,,8003,validation_loglike
78,valid,-2.3645288699830753,,,2068,validation_loglike
79,train,-2.4877846100680996,,,8003,validation_loglike
79,valid,-2.3693736683238638,,,2068,validation_loglike
80,train,-2.481854948925403,,,8003,validation_loglike
80,valid,-2.371343321219173,,,2068,validation_loglike
81,train,-2.490834735802199,,,8003,validation_loglike
81,valid,-2.3747551510366294,,,2068,validation_loglike
82,train,-2.488830604538923,,,8003,validation_loglike
82,valid,-2.3712014174323017,,,2068,validation_loglike
83,train,-2.486086272335374,,,8003,validation_loglike
83,valid,-2.3729082767921907,,,2068,validation_loglike
84,train,-2.486177058603024,,,8003,validation_loglike
84,valid,-2.3616851275386845,,,2068,validation_loglike
85,train,-2.4847405855616644,,,8003,validation_loglike
85,valid,-2.3596179600610494,,,2068,validation_loglike
86,train,-2.4782234982194176,,,8003,validation_loglike
86,valid,-2.3642833126813345,,,2068,validation_loglike
87,train,-2.482386731928652,,,8003,validation_loglike
87,valid,-2.3629247196868954,,,2068,validation_loglike
88,train,-2.4839122828939146,,,8003,validation_loglike
88,valid,-2.365351486943907,,,2068,validation_loglike
89,train,-2.4817378053542423,,,8003,validation_loglike
89,valid,-2.365743434175532,,,2068,validation_loglike
90,train,-2.4753158971635636,,,8003,validation_loglike
90,valid,-2.3657066005802707,,,2068,validation_loglike
91,train,-2.4766615839372736,,,8003,validation_loglike
91,valid,-2.3688898732168764,,,2068,validation_loglike
92,train,-2.478144426308884,,,8003,validation_loglike
92,valid,-2.373519572805851,,,2068,validation_loglike
93,train,-2.4790122649319004,,,8003,validation_loglike
93,valid,-2.3593154995768857,,,2068,validation_loglike
94,train,-2.466752702111708,,,8003,validation_loglike
94,valid,-2.3625405641773454,,,2068,validation_loglike
95,train,-2.4736534346495063,,,8003,validation_loglike
95,valid,-2.3643621743532397,,,2068,validation_loglike
96,train,-2.4780573007778335,,,8003,validation_loglike
96,valid,-2.359378305579062,,,2068,validation_loglike
97,train,-2.47193947777396,,,8003,validation_loglike
97,valid,-2.357993740177708,,,2068,validation_loglike
98,train,-2.4687285236786205,,,8003,validation_loglike
98,valid,-2.364489675259913,,,2068,validation_loglike
99,train,-2.4665552663844807,,,8003,validation_loglike
99,valid,-2.3697483793218086,,,2068,validation_loglike
100,train,-2.4693630513557414,,,8003,validation_loglike
100,valid,-2.3668153862427466,,,2068,validation_loglike
101,train,-2.4636396117081096,,,8003,validation_loglike
101,valid,-2.3646549542130075,,,2068,validation_loglike
102,train,-2.460038911189554,,,8003,validation_loglike
102,valid,-2.3598883092057545,,,2068,validation_loglike
103,train,-2.4643083062601523,,,8003,validation_loglike
103,valid,-2.3576995436411994,,,2068,validation_loglike
104,train,-2.4550246782456577,,,8003,validation_loglike
104,valid,-2.3606594535783367,,,2068,validation_loglike
105,train,-2.45611362535924,,,8003,validation_loglike
105,valid,-2.3595620013297873,,,2068,validation_loglike
106,train,-2.4506669373984757,,,8003,validation_loglike
106,valid,-2.3610773732168764,,,2068,validation_loglike
107,train,-2.4508411884605774,,,8003,validation_loglike
107,valid,-2.364507383719173,,,2068,validation_loglike
108,train,-2.455085934571411,,,8003,validation_loglike
108,valid,-2.368237257464942,,,2068,validation_loglike
109,train,-2.4559659756497565,,,8003,validation_loglike
109,valid,-2.369904449876088,,,2068,validation_loglike
110,train,-2.457255775178058,,,8003,validation_loglike
110,valid,-2.3668437197775627,,,2068,validation_loglike
111,train,-2.4531269523928527,,,8003,validation_loglike
111,valid,-2.36417115910602,,,2068,validation_loglike
112,train,-2.448696484911908,,,8003,validation_loglike
