protocol,task_id,K,pre_nll,adapted_nll,gain_nll
baseline,1,0,3.92893,3.92893,0.0
baseline,1,1,3.92893,3.92893,0.0
baseline,1,2,3.92893,4.36082,-0.43189000000000055
baseline,1,4,3.92893,4.14965,-0.22072000000000047
baseline,1,8,3.92893,3.92991,-0.000980000000000203
baseline,1,16,3.92893,3.91792,0.011009999999999742
baseline,1,32,3.92893,4.72826,-0.7993299999999999
baseline,2,0,3.37021,3.37021,0.0
baseline,2,1,3.37021,3.37021,0.0
baseline,2,2,3.37021,4.82142,-1.4512099999999997
baseline,2,4,3.37021,3.77673,-0.40652
baseline,2,8,3.37021,3.27079,0.09942000000000029
baseline,2,16,3.37021,3.16871,0.20150000000000023
baseline,2,32,3.37021,3.18973,0.1804800000000002
baseline,3,0,3.47483,3.47483,0.0
baseline,3,1,3.47483,3.47483,0.0
baseline,3,2,3.47483,4.82257,-1.34774
baseline,3,4,3.47483,4.17471,-0.6998800000000003
baseline,3,8,3.47483,3.7988,-0.3239700000000001
baseline,3,16,3.47483,3.67767,-0.20284000000000013
baseline,3,32,3.47483,3.54316,-0.06833
baseline,4,0,3.97417,3.97417,0.0
baseline,4,1,3.97417,3.97417,0.0
baseline,4,2,3.97417,5.44397,-1.4698000000000002
baseline,4,4,3.97417,5.49902,-1.5248499999999998
baseline,4,8,3.97417,4.5083,-0.5341300000000002
baseline,4,16,3.97417,3.86626,0.10790999999999995
baseline,4,32,3.97417,3.6182,0.3559700000000001
baseline,5,0,3.75032,3.75032,0.0
baseline,5,1,3.75032,3.75032,0.0
baseline,5,2,3.75032,5.5984,-1.84808
baseline,5,4,3.75032,5.46507,-1.71475
baseline,5,8,3.75032,5.12132,-1.371
baseline,5,16,3.75032,4.22414,-0.47382000000000035
baseline,5,32,3.75032,3.94583,-0.19551000000000007
baseline,6,0,3.39215,3.39215,0.0
baseline,6,1,3.39215,3.39215,0.0
baseline,6,2,3.39215,4.74291,-1.3507600000000002
baseline,6,4,3.39215,4.4902,-1.0980499999999997
baseline,6,8,3.39215,3.61822,-0.22607
baseline,6,16,3.39215,3.52734,-0.13519000000000014
baseline,6,32,3.39215,3.31413,0.07801999999999998
baseline,7,0,3.35576,3.35576,0.0
baseline,7,1,3.35576,3.35576,0.0
baseline,7,2,3.35576,4.54939,-1.1936299999999997
baseline,7,4,3.35576,3.84589,-0.49012999999999973
baseline,7,8,3.35576,3.96305,-0.6072899999999999
baseline,7,16,3.35576,3.69182,-0.3360599999999998
baseline,7,32,3.35576,4.06642,-0.7106599999999998
baseline,8,0,3.06683,3.06683,0.0
baseline,8,1,3.06683,3.06683,0.0
baseline,8,2,3.06683,3.63601,-0.5691800000000002
baseline,8,4,3.06683,3.79504,-0.7282100000000002
baseline,8,8,3.06683,3.8577,-0.79087
baseline,8,16,3.06683,3.43463,-0.3677999999999999
baseline,8,32,3.06683,3.49125,-0.42442
baseline,9,0,3.61303,3.61303,0.0
baseline,9,1,3.61303,3.61303,0.0
baseline,9,2,3.61303,5.37793,-1.7649
baseline,9,4,3.61303,4.18297,-0.5699399999999999
baseline,9,8,3.61303,3.93499,-0.3219599999999998
baseline,9,16,3.61303,3.61055,0.0024800000000002598
baseline,9,32,3.61303,3.72807,-0.11504000000000003
