protocol,task_id,K,status,observed_events,train_events
baseline,1,0,baseline,0,0
baseline,1,1,no_update_insufficient_transition,1,0
baseline,1,2,trained,2,2
baseline,1,4,trained,4,4
baseline,1,8,trained,8,8
baseline,1,16,trained,16,16
baseline,1,32,trained,32,32
baseline,2,0,baseline,0,0
baseline,2,1,no_update_insufficient_transition,1,0
baseline,2,2,trained,2,2
baseline,2,4,trained,4,4
baseline,2,8,trained,8,8
baseline,2,16,trained,16,16
baseline,2,32,trained,32,32
baseline,3,0,baseline,0,0
baseline,3,1,no_update_insufficient_transition,1,0
baseline,3,2,trained,2,2
baseline,3,4,trained,4,4
baseline,3,8,trained,8,8
baseline,3,16,trained,16,16
baseline,3,32,trained,32,32
baseline,4,0,baseline,0,0
baseline,4,1,no_update_insufficient_transition,1,0
baseline,4,2,trained,2,2
baseline,4,4,trained,4,4
baseline,4,8,trained,8,8
baseline,4,16,trained,16,16
baseline,4,32,trained,32,32
baseline,5,0,baseline,0,0
baseline,5,1,no_update_insufficient_transition,1,0
baseline,5,2,trained,2,2
baseline,5,4,trained,4,4
baseline,5,8,trained,8,8
baseline,5,16,trained,16,16
baseline,5,32,trained,32,32
baseline,6,0,baseline,0,0
baseline,6,1,no_update_insufficient_transition,1,0
baseline,6,2,trained,2,2
baseline,6,4,trained,4,4
baseline,6,8,trained,8,8
baseline,6,16,trained,16,16
baseline,6,32,trained,32,32
baseline,7,0,baseline,0,0
baseline,7,1,no_update_insufficient_transition,1,0
baseline,7,2,trained,2,2
baseline,7,4,trained,4,4
baseline,7,8,trained,8,8
baseline,7,16,trained,16,16
baseline,7,32,trained,32,32
baseline,8,0,baseline,0,0
baseline,8,1,no_update_insufficient_transition,1,0
baseline,8,2,trained,2,2
baseline,8,4,trained,4,4
baseline,8,8,trained,8,8
baseline,8,16,trained,16,16
baseline,8,32,trained,32,32
baseline,9,0,baseline,0,0
baseline,9,1,no_update_insufficient_transition,1,0
baseline,9,2,trained,2,2
baseline,9,4,trained,4,4
baseline,9,8,trained,8,8
baseline,9,16,trained,16,16
baseline,9,32,trained,32,32
