checkpoint_task,seen_law_count,clnll,average_forgetting,average_bwt,bwt_law_count
0,1,3.13143,0.0,,0
1,2,3.436525,0.2850650000000001,-0.5701300000000002,1
2,3,3.3398333333333334,0.33372333333333354,-0.5005850000000003,2
3,3,3.5213633333333334,0.53051,-0.5152533333333333,3
4,4,3.3442499999999997,0.3227,-0.41052,3
5,5,3.4364719999999997,0.38782000000000005,-0.4665475000000001,4
6,5,3.356194,0.30754200000000004,-0.29296000000000005,5
7,6,3.4005566666666667,0.354845,-0.4053220000000001,5
8,6,3.3900900000000003,0.3485133333333333,-0.3273016666666666,6
9,7,3.3225100000000003,0.2860257142857144,-0.31248500000000007,6
