checkpoint_task,regime_id,first_seen_task,baseline_checkpoint_task,baseline_nll_per_event,current_nll_per_event,best_nll_since_first_seen,forgetting_nll,bwt_nll
0,A_1,0,0,3.13143,3.13143,3.13143,0.0,
1,A_1,0,0,3.13143,3.70156,3.13143,0.5701300000000002,-0.5701300000000002
1,B_1,1,1,3.17149,3.17149,3.17149,0.0,
2,A_1,0,0,3.13143,3.59622,3.13143,0.46479000000000026,-0.46479000000000026
2,B_1,1,1,3.17149,3.70787,3.17149,0.5363800000000003,-0.5363800000000003
2,C_1,2,2,2.71541,2.71541,2.71541,0.0,
3,A_1,0,0,3.13143,3.08566,3.08566,0.0,0.04577000000000009
3,B_1,1,1,3.17149,4.00758,3.17149,0.83609,-0.83609
3,C_1,2,2,2.71541,3.47085,2.71541,0.7554400000000001,-0.7554400000000001
4,A_1,0,0,3.13143,3.68313,3.08566,0.59747,-0.5516999999999999
4,B_1,1,1,3.17149,3.15802,3.15802,0.0,0.013469999999999871
4,B_prime_1,4,4,3.12711,3.12711,3.12711,0.0,
4,C_1,2,2,2.71541,3.40874,2.71541,0.69333,-0.69333
5,A_1,0,0,3.13143,3.07199,3.07199,0.0,0.05943999999999994
5,A_2,5,5,3.17073,3.17073,3.17073,0.0,
5,B_1,1,1,3.17149,3.72986,3.15802,0.5718399999999999,-0.55837
5,B_prime_1,4,4,3.12711,3.72522,3.12711,0.5981100000000001,-0.5981100000000001
5,C_1,2,2,2.71541,3.48456,2.71541,0.7691500000000002,-0.7691500000000002
6,A_1,0,0,3.13143,3.31299,3.07199,0.2410000000000001,-0.18156000000000017
6,A_2,5,5,3.17073,3.38894,3.17073,0.21821000000000002,-0.21821000000000002
6,B_1,1,1,3.17149,3.6748,3.15802,0.5167799999999998,-0.5033099999999999
6,B_prime_1,4,4,3.12711,3.68487,3.12711,0.55776,-0.55776
6,C_1,2,2,2.71541,2.71937,2.71541,0.003960000000000186,-0.003960000000000186
7,A_1,0,0,3.13143,3.05243,3.05243,0.0,0.07899999999999974
7,A_2,5,5,3.17073,3.16074,3.16074,0.0,0.009989999999999721
7,A_merge,7,7,3.06056,3.06056,3.06056,0.0,
7,B_1,1,1,3.17149,3.81644,3.15802,0.65842,-0.6449500000000001
7,B_prime_1,4,4,3.12711,3.82211,3.12711,0.6949999999999998,-0.6949999999999998
7,C_1,2,2,2.71541,3.49106,2.71541,0.7756500000000002,-0.7756500000000002
8,A_1,0,0,3.13143,3.04039,3.04039,0.0,0.09104000000000001
8,A_2,5,5,3.17073,3.15995,3.15995,0.0,0.010780000000000012
8,A_merge,7,7,3.06056,3.04858,3.04858,0.0,0.011980000000000324
8,B_1,1,1,3.17149,3.81764,3.15802,0.6596199999999999,-0.64615
8,B_prime_1,4,4,3.12711,3.82395,3.12711,0.6968399999999999,-0.6968399999999999
8,C_1,2,2,2.71541,3.45003,2.71541,0.73462,-0.73462
9,A_1,0,0,3.13143,3.47641,3.04039,0.4360200000000001,-0.34498000000000006
9,A_2,5,5,3.17073,3.52501,3.15995,0.36506000000000016,-0.35428000000000015
9,A_merge,7,7,3.06056,3.44158,3.04858,0.39300000000000024,-0.3810199999999999
9,B_1,1,1,3.17149,3.25476,3.15802,0.09674000000000005,-0.08327000000000018
9,B_prime_1,4,4,3.12711,3.23554,3.12711,0.1084299999999998,-0.1084299999999998
9,C_1,2,2,2.71541,3.31834,2.71541,0.6029300000000002,-0.6029300000000002
9,E_1,9,9,3.00593,3.00593,3.00593,0.0,
