Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -12.72582,  1.00000,  6.47265
1, validation, -6.99702,  1.00000,  5.62897
2, train, -6.98364,  1.00000,  5.62335
2, validation, -6.31200,  1.00000,  5.27211
3, train, -6.46646,  1.00000,  5.23818
3, validation, -5.90446,  1.00000,  4.95059
4, train, -5.93173,  1.00000,  4.81858
4, validation, -5.63626,  1.00000,  4.70177
5, train, -5.82498,  1.00000,  4.74002
5, validation, -5.41900,  1.00000,  4.48631
6, train, -5.52883,  1.00000,  4.54405
6, validation, -5.22731,  1.00000,  4.28596
7, train, -5.46682,  1.00000,  4.72918
7, validation, -5.06600,  1.00000,  4.08822
8, train, -5.17778,  1.00000,  4.17893
8, validation, -4.91373,  1.00000,  3.89509
9, train, -5.09574,  1.00000,  4.00320
9, validation, -4.76800,  1.00000,  3.70075
10, train, -4.84227,  1.00000,  3.75099
10, validation, -4.62782,  1.00000,  3.50092
11, train, -4.66902,  1.00000,  3.59477
11, validation, -4.49422,  1.00000,  3.29382
12, train, -4.53456,  1.00000,  3.36650
12, validation, -4.36783,  1.00000,  3.07877
13, train, -4.45668,  1.00000,  3.21397
13, validation, -4.24872,  1.00000,  2.85559
14, train, -4.37054,  1.00000,  3.03928
14, validation, -4.13759,  1.00000,  2.62437
15, train, -4.21446,  1.00000,  2.76934
15, validation, -4.03436,  1.00000,  2.38542
16, train, -4.08193,  1.00000,  2.48642
16, validation, -3.93970,  1.00000,  2.13924
17, train, -4.00987,  1.00000,  2.27596
17, validation, -3.85260,  1.00000,  1.88671
18, train, -3.85922,  1.00000,  1.96796
18, validation, -3.77340,  1.00000,  1.62448
19, train, -3.78974,  1.00000,  1.72474
19, validation, -3.70138,  1.00000,  1.35386
20, train, -3.72201,  1.00000,  1.42972
20, validation, -3.63605,  1.00000,  1.07758
21, train, -3.66679,  1.00000,  1.17119
21, validation, -3.60566,  1.00000,  0.93753
22, train, -3.63927,  1.00000,  1.13244
22, validation, -3.57681,  1.00000,  0.79536
23, train, -3.61129,  1.00000,  0.94707
23, validation, -3.54926,  1.00000,  0.65232
24, train, -3.57143,  1.00000,  0.72017
24, validation, -3.52276,  1.00000,  0.51071
25, train, -3.55980,  1.00000,  0.59381
25, validation, -3.49735,  1.00000,  0.37280
