Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.53577,  0.11229,  2.07109
1, validation, -3.39752,  0.14579,  2.03064
2, train, -3.35663,  0.16800,  1.97275
2, validation, -3.30745,  0.19863,  2.02264
3, train, -3.28779,  0.21486,  1.96107
3, validation, -3.27320,  0.22798,  2.01352
4, train, -3.25394,  0.24351,  1.95172
4, validation, -3.24337,  0.26517,  2.00629
5, train, -3.21861,  0.25962,  1.94229
5, validation, -3.21266,  0.27202,  1.99842
6, train, -3.18751,  0.27537,  1.93474
6, validation, -3.18970,  0.29159,  1.99134
7, train, -3.16566,  0.28594,  1.92710
7, validation, -3.17350,  0.29550,  1.98539
8, train, -3.14517,  0.29320,  1.91958
8, validation, -3.16233,  0.29599,  1.98227
9, train, -3.13008,  0.29996,  1.91518
9, validation, -3.15536,  0.30528,  1.98160
10, train, -3.11164,  0.30181,  1.90913
10, validation, -3.14827,  0.30822,  1.98258
11, train, -3.09047,  0.30747,  1.90373
11, validation, -3.14480,  0.31262,  1.98387
12, train, -3.07786,  0.30648,  1.90038
12, validation, -3.14213,  0.31262,  1.98529
13, train, -3.05906,  0.30771,  1.89368
13, validation, -3.13662,  0.30626,  1.98583
14, train, -3.04630,  0.31226,  1.89036
14, validation, -3.13975,  0.31115,  1.98604
15, train, -3.03826,  0.31534,  1.88749
15, validation, -3.14548,  0.31409,  1.98702
16, train, -3.02529,  0.31718,  1.87978
16, validation, -3.13665,  0.31409,  1.98586
17, train, -3.01388,  0.31632,  1.87805
17, validation, -3.13498,  0.30626,  1.98583
18, train, -3.00565,  0.31866,  1.87469
18, validation, -3.13719,  0.31115,  1.98820
19, train, -2.99704,  0.31866,  1.86950
19, validation, -3.14185,  0.31409,  1.99374
20, train, -2.98465,  0.31804,  1.86201
20, validation, -3.14448,  0.31262,  1.99248
21, train, -2.97974,  0.31632,  1.86289
21, validation, -3.14454,  0.31262,  1.99342
22, train, -2.97329,  0.32567,  1.86237
22, validation, -3.13965,  0.31360,  1.99507
23, train, -2.96565,  0.32222,  1.85672
23, validation, -3.14804,  0.30920,  1.99447
24, train, -2.97091,  0.32813,  1.85904
24, validation, -3.14445,  0.31703,  1.99658
25, train, -2.96254,  0.32567,  1.85666
25, validation, -3.14853,  0.31849,  1.99678
