task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,8.53568,3.14679,,initial,,"[""A_1""]",5.388889999999999,,False,excluded_not_unseen_law_task
1,3.96045,3.30561,8.87303,novel,,"[""B_1""]",0.6548399999999996,4.91258,True,available
2,3.40327,2.72261,6.55604,novel,,"[""C_1""]",0.68066,3.1527700000000003,True,available
3,3.612,3.14736,8.23211,exact_recurrence,A_1,[],0.46464000000000016,,False,excluded_not_unseen_law_task
4,3.98241,2.96645,7.81155,near_recurrence,B_1,"[""B_prime_1""]",1.0159599999999998,3.8291400000000007,True,available
5,3.66723,3.11317,8.38647,specialization,A_1,"[""A_2""]",0.5540599999999998,4.719239999999999,True,available
6,3.52913,2.91593,7.0886,transient_anomaly,C_1,[],0.6132,,False,excluded_not_unseen_law_task
7,3.32033,3.11896,8.17597,merge,A_1|A_2,"[""A_merge""]",0.20136999999999983,4.855639999999999,True,available
8,3.14614,3.1331,8.10379,long_gap_recurrence,A_1,[],0.013039999999999718,,False,excluded_not_unseen_law_task
9,3.69867,3.1599,7.91,mixture,,"[""E_1""]",0.53877,4.21133,True,available
