checkpoint_task,A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1
0,3.41922,3.49759,3.3576,4.09274,4.06687,3.46866,3.57106
1,3.85751,3.88006,3.82126,3.38181,3.40208,3.34196,3.47821
2,3.57061,3.69857,3.5317,3.70439,3.73902,3.00376,3.57003
3,3.2874,3.36913,3.24822,3.96491,3.96045,3.29261,3.47881
4,3.86567,3.89004,3.83037,3.33365,3.35377,3.28056,3.45842
5,3.27989,3.34666,3.24402,3.91078,3.90224,3.32094,3.42526
6,3.44521,3.54325,3.41976,3.58804,3.61205,2.94086,3.50038
7,3.15813,3.24757,3.13931,3.86032,3.85651,3.25432,3.44823
8,3.12125,3.21906,3.11246,3.82484,3.82611,3.30302,3.4759
9,3.42097,3.48732,3.39264,3.40604,3.41181,3.21031,3.18807
