accuracy,anchor,evaluation,evaluation_scope,nll_per_event,num_events,task,time_rmse
0.09003,,pre_update,,8.73305,0,0,2.28101
0.26481,,post_update,,3.42641,0,0,2.16342
0.26493,A_1,frozen_anchor,persistent,3.41922,0,0,2.17815
0.07504,B_1,frozen_anchor,persistent,4.09274,0,0,2.10087
0.23122,C_1,frozen_anchor,persistent,3.46866,0,0,1.88649
0.0777,B_prime_1,frozen_anchor,persistent,4.06687,0,0,2.13468
0.23188,A_2,frozen_anchor,persistent,3.49759,0,0,2.07821
0.23895,X_transient,frozen_anchor,diagnostic_only,3.43566,0,0,1.8917
0.25907,A_merge,frozen_anchor,persistent,3.3576,0,0,2.02696
0.15813,E_1,frozen_anchor,persistent,3.57106,0,0,1.8611
0.0822,,pre_update,,4.10483,0,1,2.20282
0.21352,,scratch_pre,,9.0783,0,1,2.33137
0.21936,,post_update,,3.48013,0,1,2.18707
0.08484,A_1,frozen_anchor,persistent,3.85751,0,1,2.16566
0.23496,B_1,frozen_anchor,persistent,3.38181,0,1,2.08548
0.2766,C_1,frozen_anchor,persistent,3.34196,0,1,1.89296
0.21994,B_prime_1,frozen_anchor,persistent,3.40208,0,1,2.1203
0.06239,A_2,frozen_anchor,persistent,3.88006,0,1,2.06358
0.07586,X_transient,frozen_anchor,diagnostic_only,3.7404,0,1,1.88833
0.08456,A_merge,frozen_anchor,persistent,3.82126,0,1,2.01929
0.12233,E_1,frozen_anchor,persistent,3.47821,0,1,1.86918
0.27855,,pre_update,,3.31086,0,2,1.88666
0.27235,,scratch_pre,,6.72741,0,2,1.89067
0.27855,,post_update,,2.98634,0,2,1.83758
0.08484,A_1,frozen_anchor,persistent,3.57061,0,2,2.18687
0.23496,B_1,frozen_anchor,persistent,3.70439,0,2,2.10583
0.2766,C_1,frozen_anchor,persistent,3.00376,0,2,1.83778
0.21994,B_prime_1,frozen_anchor,persistent,3.73902,0,2,2.14432
0.06239,A_2,frozen_anchor,persistent,3.69857,0,2,2.0953
0.07586,X_transient,frozen_anchor,diagnostic_only,3.54093,0,2,1.89611
0.08456,A_merge,frozen_anchor,persistent,3.5317,0,2,2.0363
0.12233,E_1,frozen_anchor,persistent,3.57003,0,2,1.84524
0.09152,,pre_update,,3.57897,0,3,2.13602
0.092,,scratch_pre,,8.42872,0,3,2.22629
0.25482,,post_update,,3.28968,0,3,2.1068
0.26493,A_1,frozen_anchor,persistent,3.2874,0,3,2.15779
0.07336,B_1,frozen_anchor,persistent,3.96491,0,3,2.07323
0.23097,C_1,frozen_anchor,persistent,3.29261,0,3,1.8456
0.0777,B_prime_1,frozen_anchor,persistent,3.96045,0,3,2.10848
0.23087,A_2,frozen_anchor,persistent,3.36913,0,3,2.05934
0.23919,X_transient,frozen_anchor,diagnostic_only,3.30175,0,3,1.87585
0.2598,A_merge,frozen_anchor,persistent,3.24822,0,3,2.01101
0.15863,E_1,frozen_anchor,persistent,3.47881,0,3,1.84358
0.07615,,pre_update,,3.90254,0,4,2.0228
0.22693,,scratch_pre,,7.99288,0,4,2.13397
0.23046,,post_update,,3.25809,0,4,2.02163
0.08484,A_1,frozen_anchor,persistent,3.86567,0,4,2.16882
0.23496,B_1,frozen_anchor,persistent,3.33365,0,4,2.07417
0.2766,C_1,frozen_anchor,persistent,3.28056,0,4,1.85428
0.21994,B_prime_1,frozen_anchor,persistent,3.35377,0,4,2.09955
0.06239,A_2,frozen_anchor,persistent,3.89004,0,4,2.06275
0.07586,X_transient,frozen_anchor,diagnostic_only,3.75129,0,4,1.89151
0.08456,A_merge,frozen_anchor,persistent,3.83037,0,4,2.01784
0.12233,E_1,frozen_anchor,persistent,3.45842,0,4,1.86146
0.06874,,pre_update,,3.87459,0,5,2.04672
0.06924,,scratch_pre,,8.57563,0,5,2.17959
0.24937,,post_update,,3.3107,0,5,2.04451
0.25985,A_1,frozen_anchor,persistent,3.27989,0,5,2.15448
0.06377,B_1,frozen_anchor,persistent,3.91078,0,5,2.06149
0.15458,C_1,frozen_anchor,persistent,3.32094,0,5,1.85311
0.07507,B_prime_1,frozen_anchor,persistent,3.90224,0,5,2.0996
0.23819,A_2,frozen_anchor,persistent,3.34666,0,5,2.04899
0.23436,X_transient,frozen_anchor,diagnostic_only,3.26776,0,5,1.87793
0.25343,A_merge,frozen_anchor,persistent,3.24402,0,5,2.00869
0.18324,E_1,frozen_anchor,persistent,3.42526,0,5,1.87267
0.1643,,pre_update,,3.39496,0,6,1.81598
0.24694,,scratch_pre,,7.28604,0,6,1.90253
0.25917,,post_update,,3.05576,0,6,1.78348
0.11772,A_1,frozen_anchor,persistent,3.44521,0,6,2.15607
0.22177,B_1,frozen_anchor,persistent,3.58804,0,6,2.04369
0.27839,C_1,frozen_anchor,persistent,2.94086,0,6,1.79777
0.2099,B_prime_1,frozen_anchor,persistent,3.61205,0,6,2.08256
0.0831,A_2,frozen_anchor,persistent,3.54325,0,6,2.05259
0.10413,X_transient,frozen_anchor,diagnostic_only,3.41924,0,6,1.89032
0.10515,A_merge,frozen_anchor,persistent,3.41976,0,6,2.01334
0.12084,E_1,frozen_anchor,persistent,3.50038,0,6,1.9031
0.10146,,pre_update,,3.444,0,7,2.02799
0.08287,,scratch_pre,,8.37135,0,7,2.14933
0.28428,,post_update,,3.17282,0,7,1.98304
0.30118,A_1,frozen_anchor,persistent,3.15813,0,7,2.11613
0.05826,B_1,frozen_anchor,persistent,3.86032,0,7,2.17085
0.14612,C_1,frozen_anchor,persistent,3.25432,0,7,1.83753
0.06335,B_prime_1,frozen_anchor,persistent,3.85651,0,7,2.20288
0.27153,A_2,frozen_anchor,persistent,3.24757,0,7,2.02469
0.22977,X_transient,frozen_anchor,diagnostic_only,3.18338,0,7,1.86447
0.29608,A_merge,frozen_anchor,persistent,3.13931,0,7,1.97971
0.11039,E_1,frozen_anchor,persistent,3.44823,0,7,1.90875
0.26757,,pre_update,,3.21428,0,8,2.0599
0.09258,,scratch_pre,,8.29964,0,8,2.20035
0.26951,,post_update,,3.19048,0,8,2.04627
0.30312,A_1,frozen_anchor,persistent,3.12125,0,8,2.10619
0.05562,B_1,frozen_anchor,persistent,3.82484,0,8,2.14409
0.17047,C_1,frozen_anchor,persistent,3.30302,0,8,1.84687
0.05977,B_prime_1,frozen_anchor,persistent,3.82611,0,8,2.17704
0.27103,A_2,frozen_anchor,persistent,3.21906,0,8,2.01722
0.23218,X_transient,frozen_anchor,diagnostic_only,3.16806,0,8,1.84784
0.29363,A_merge,frozen_anchor,persistent,3.11246,0,8,1.96979
0.10567,E_1,frozen_anchor,persistent,3.4759,0,8,1.86744
0.07708,,pre_update,,3.66192,0,9,2.04404
0.17404,,scratch_pre,,8.10771,0,9,2.12689
0.21979,,post_update,,3.31368,0,9,2.01258
0.09524,A_1,frozen_anchor,persistent,3.42097,0,9,2.15104
0.22489,B_1,frozen_anchor,persistent,3.40604,0,9,2.09096
0.07947,C_1,frozen_anchor,persistent,3.21031,0,9,1.81438
0.21181,B_prime_1,frozen_anchor,persistent,3.41181,0,9,2.12112
0.08765,A_2,frozen_anchor,persistent,3.48732,0,9,2.04221
0.13868,X_transient,frozen_anchor,diagnostic_only,3.29313,0,9,1.85532
