action,beneficial_fraction,count,decile,mean_gate,mean_utility
retrieve,0.0,40,1,0.39982380270957946,-0.0006054488778114319
retrieve,0.0,40,2,0.41053419560194016,-0.0008892131805419923
retrieve,0.0,40,3,0.4171059750020504,-0.0011765582323074342
retrieve,0.0,40,4,0.42215493470430376,-0.0015119386672973634
retrieve,0.0,40,5,0.42675746902823447,-0.0016927791595458986
retrieve,0.0,40,6,0.43016785830259324,-0.0016419870615005494
retrieve,0.525,40,7,0.4677062816917896,0.0007919417858123778
retrieve,1.0,40,8,0.5841613382101059,0.012147765064239502
retrieve,1.0,40,9,0.7395633906126022,0.0410290168762207
retrieve,1.0,40,10,0.9260867521166801,0.13407954444885256
adapt,0.775,40,1,0.07370849867002108,0.057575457000732425
adapt,0.825,40,2,0.2598174333572388,0.0285374568939209
adapt,0.875,40,3,0.415071602165699,0.010278241539001465
adapt,0.5,40,4,0.531499682366848,0.0004385398864746094
adapt,0.1,40,5,0.5690651893615722,-0.002239103412628174
adapt,0.05,40,6,0.5724462673068047,-0.002845538949966431
adapt,0.225,40,7,0.5770891398191452,-0.0012968910694122313
adapt,0.425,40,8,0.5821124389767647,-0.00035134384632110597
adapt,0.4,40,9,0.5886976927518844,-0.00014688203334808353
adapt,0.425,40,10,0.5993638381361961,5.189051628112793e-05
write,1.0,6,1,0.23552402605613074,0.0012683938257396221
write,1.0,6,2,0.24266103903452554,0.04706690716557205
write,1.0,7,3,0.24848477755274093,0.05078230011609516
write,1.0,6,4,0.25583286583423615,0.07082259057400127
write,1.0,7,5,0.42369466594287325,0.07499222063259887
write,1.0,6,6,0.7914737661679586,0.07749592574934165
write,1.0,6,7,0.8327885170777639,0.1030474565923214
write,1.0,7,8,0.8631876792226519,0.1345176643558911
write,1.0,6,9,0.9270702600479126,0.131888368477424
write,1.0,7,10,0.9698891639709473,0.16381908421005523
