accuracy,cluster_id,events,local_time_mae,nll_per_event,source_index,variant
0.18,0,200,4.88069137275219,6.782106896936893,1,full_frozen
0.14,0,200,4.177651773691178,5.892287674844265,9,full_frozen
0.19,0,200,4.881071702241898,6.801580082178116,1,no_episodic
0.15,0,200,4.177711981534958,5.909120558202266,9,no_episodic
0.18,0,200,4.880491215586662,6.7943846237659455,1,no_working
0.125,0,200,4.177574537992477,5.89821031332016,9,no_working
0.18,0,200,4.880870753526688,6.814022926688194,1,semantic_only
0.125,0,200,4.177634493112564,5.915128628909588,9,semantic_only
0.18,0,200,4.88069137275219,6.782106896936893,1,full_online
0.145,0,200,4.1776436948776245,5.889802048504353,9,full_online
