action,beneficial_fraction,count,decile,mean_gate,mean_utility
retrieve,0.0,40,1,0.39982383102178576,-0.0006053982138633726
retrieve,0.0,40,2,0.4105342231690884,-0.0008891833782196044
retrieve,0.0,40,3,0.41710599362850187,-0.001176567173004151
retrieve,0.0,40,4,0.4221549466252327,-0.001511929726600648
retrieve,0.0,40,5,0.4267574861645699,-0.001692785120010377
retrieve,0.0,40,6,0.43016785830259324,-0.0016419870615005504
retrieve,0.525,40,7,0.4677062891423702,0.0007919298648834233
retrieve,1.0,40,8,0.5841613620519638,0.012147693538665776
retrieve,1.0,40,9,0.7395633950829505,0.04102892150878907
retrieve,1.0,40,10,0.926086749136448,0.13407849540710456
adapt,0.775,40,1,0.0737084977037739,0.05757540931701659
adapt,0.825,40,2,0.25981741920113566,0.028537552261352545
adapt,0.875,40,3,0.4150715842843056,0.010278181934356697
adapt,0.5,40,4,0.5314996622502803,0.0004385339260101305
adapt,0.1,40,5,0.5690651699900627,-0.002239109373092653
adapt,0.05,40,6,0.5724462553858757,-0.0028455449104309105
adapt,0.225,40,7,0.5770891264081002,-0.0012968910694122321
adapt,0.425,40,8,0.5821124166250229,-0.00035132596492767323
adapt,0.4,40,9,0.5886976778507232,-0.00014686713218688946
adapt,0.425,40,10,0.5993638217449189,5.192180871963499e-05
write,1.0,6,1,0.23552404095729193,0.00126836736065646
write,1.0,6,2,0.24266105890274048,0.04706693432914714
write,1.0,7,3,0.2484847903251648,0.0507824847840571
write,1.0,6,4,0.255832905570666,0.0708222739243259
write,1.0,7,5,0.42369470426014494,0.07499197283427098
write,1.0,6,6,0.7914737860361735,0.07749592885375023
write,1.0,6,7,0.8327885568141937,0.10304777696728706
write,1.0,7,8,0.8631876536778041,0.13451757707766124
write,1.0,6,9,0.9270703196525574,0.13188826416929564
write,1.0,7,10,0.9698891810008458,0.16381935668843134
