accuracy,cluster_id,events,local_time_mae,nll_per_event,source_index,variant
0.18,0,200,4.88069137275219,6.7821069276332855,1,full_frozen
0.14,0,200,4.177651845216751,5.892287839651107,9,full_frozen
0.19,0,200,4.881071702241898,6.8015800753235816,1,no_episodic
0.15,0,200,4.177711981534958,5.90912052989006,9,no_episodic
0.18,0,200,4.880491215586662,6.794384743273258,1,no_working
0.125,0,200,4.177574535608292,5.898210396170616,9,no_working
0.18,0,200,4.880870753526688,6.814022957384586,1,semantic_only
0.125,0,200,4.177634454965592,5.915128659904003,9,semantic_only
0.18,0,200,4.88069137275219,6.7821069276332855,1,full_online
0.145,0,200,4.177643733024597,5.889802119731903,9,full_online
