accuracy,cluster_id,events,local_time_mae,nll_per_event,source_index,variant
0.3,0,80,4.630184710025787,2.538366914028302,3,frozen/no_episodic
0.3125,0,80,5.804223203659058,3.222393379919231,4,frozen/no_episodic
0.175,0,80,4.753822222352028,2.337072133878246,11,frozen/no_episodic
0.2,0,80,7.00527400970459,3.8046889894641938,13,frozen/no_episodic
0.2,0,80,5.997746175527572,2.6799802135676147,14,frozen/no_episodic
0.225,0,80,4.150423085689544,2.2148422029800714,17,frozen/no_episodic
0.275,0,80,4.428308087587356,2.7211046100594105,27,frozen/no_episodic
0.2875,0,80,5.442309139668941,2.933301381394267,28,frozen/no_episodic
0.325,0,80,5.222967606782913,2.6746267713606358,29,frozen/no_episodic
0.2,0,80,1.7859639912843703,1.3535702732391655,31,frozen/no_episodic
0.25,0,80,3.1959699988365173,1.8757930545136332,35,frozen/no_episodic
0.25,0,80,2.9327650547027586,1.6456532021984458,54,frozen/no_episodic
0.2,0,80,3.7979243755340577,2.306224735639989,64,frozen/no_episodic
0.2625,0,80,6.653083801269531,3.342974487878382,69,frozen/no_episodic
0.2375,0,80,5.587119913101196,2.5120027386117725,75,frozen/no_episodic
0.3125,0,80,2.9589941263198853,1.9744233073433861,81,frozen/no_episodic
0.25,0,80,4.706451344490051,2.6594609592109917,86,frozen/no_episodic
0.225,0,80,4.014574313163758,2.695212867856026,88,frozen/no_episodic
0.2875,0,80,5.05091894865036,2.6666765614412724,94,frozen/no_episodic
0.275,0,80,1.7101913928985595,0.875200523994863,97,frozen/no_episodic
0.2375,1,80,5.143732786178589,2.81857413102407,102,frozen/no_episodic
0.25,1,80,8.412456023693085,3.9767563725821673,104,frozen/no_episodic
0.2375,1,80,5.684654307365418,2.9786763617768885,112,frozen/no_episodic
0.25,1,80,5.849310648441315,2.232544704247266,118,frozen/no_episodic
0.275,1,80,8.100561641529202,3.8476645545102657,136,frozen/no_episodic
0.2375,1,80,5.251185059547424,3.0463125969748943,147,frozen/no_episodic
0.2375,1,80,4.0511677205562595,2.058626609336352,155,frozen/no_episodic
0.325,1,80,8.00274346768856,3.4364924587309362,158,frozen/no_episodic
0.25,1,80,6.93533810377121,3.309537633135915,159,frozen/no_episodic
0.25,1,80,7.83232810497284,4.044262165389955,163,frozen/no_episodic
0.275,1,80,3.808320164680481,2.203776502213441,165,frozen/no_episodic
0.225,1,80,6.5097831070423124,3.2163597317412496,170,frozen/no_episodic
0.3375,1,80,6.764277869462967,3.1932630613446236,173,frozen/no_episodic
0.225,1,80,9.091035357117653,3.9617186401970685,176,frozen/no_episodic
0.3,1,80,5.471403503417969,2.772342664934695,177,frozen/no_episodic
0.2375,1,80,8.089202797412872,4.02576773762703,179,frozen/no_episodic
0.2875,1,80,7.51884942650795,3.2103740780847145,185,frozen/no_episodic
0.225,1,80,7.383357989788055,3.6538141455501316,189,frozen/no_episodic
0.325,1,80,9.394501176476478,3.597453397139907,194,frozen/no_episodic
0.25,1,80,8.137719106674194,3.6147389320656655,197,frozen/no_episodic
0.3,2,80,4.988836121559143,2.3667225044220688,201,frozen/no_episodic
0.325,2,80,2.036087703704834,1.7686428272165358,203,frozen/no_episodic
0.3375,2,80,3.0193196654319765,2.1434104377403855,212,frozen/no_episodic
0.225,2,80,0.4159645676612854,0.8995409902185202,214,frozen/no_episodic
0.3375,2,80,5.154864019155502,2.668397289514542,220,frozen/no_episodic
0.275,2,80,4.867025083303451,2.8947886920534076,222,frozen/no_episodic
0.4125,2,80,4.424553722143173,2.633891135733575,228,frozen/no_episodic
0.3625,2,80,5.187630587816239,2.723487326782197,237,frozen/no_episodic
0.275,2,80,3.0687870740890504,1.3890886686742305,238,frozen/no_episodic
0.325,2,80,7.521726667881012,3.641039667278528,248,frozen/no_episodic
0.2875,2,80,6.344230604171753,3.2967954451218247,252,frozen/no_episodic
0.3,2,80,1.5526954114437104,0.8899314792826771,265,frozen/no_episodic
0.2625,2,80,4.145279574394226,2.466420257597929,266,frozen/no_episodic
0.3875,2,80,3.8571372032165527,2.267729434464127,269,frozen/no_episodic
0.3125,2,80,2.3464262425899505,1.697492622770369,272,frozen/no_episodic
0.2625,2,80,5.89424455165863,3.1957611086778344,281,frozen/no_episodic
0.225,2,80,5.50284835100174,3.0442672511562705,289,frozen/no_episodic
0.275,2,80,5.04346227645874,2.8278149666730314,292,frozen/no_episodic
0.375,2,80,3.0414685416966676,1.8642880394123496,293,frozen/no_episodic
0.325,2,80,4.687479650974273,2.5900505924597383,295,frozen/no_episodic
0.15,3,80,4.482634115219116,3.0121432622196154,301,frozen/no_episodic
0.2125,3,80,4.631647714972496,2.520003705425188,302,frozen/no_episodic
0.1875,3,80,5.301170444488525,3.0513443877920507,304,frozen/no_episodic
0.225,3,80,9.113074485957622,4.116800885275007,308,frozen/no_episodic
0.1625,3,80,5.343916654586792,2.918357703112997,309,frozen/no_episodic
0.2,3,80,5.413423582911491,3.2326568896882235,310,frozen/no_episodic
0.1625,3,80,4.478513991832733,2.318843898177147,314,frozen/no_episodic
0.2125,3,80,4.033949565887451,2.700946910958737,315,frozen/no_episodic
0.2125,3,80,4.91940746307373,3.0614553509280085,317,frozen/no_episodic
0.2125,3,80,6.341600623726845,3.5840935749933123,332,frozen/no_episodic
0.175,3,80,6.856489872932434,3.54710854254663,334,frozen/no_episodic
0.175,3,80,5.926270699501037,2.8355373477563264,336,frozen/no_episodic
0.2375,3,80,7.054537808895111,3.3974115304881707,338,frozen/no_episodic
0.25,3,80,1.4471901655197144,1.1807746028527617,339,frozen/no_episodic
0.15,3,80,7.139510074257851,3.4310313063673674,343,frozen/no_episodic
0.225,3,80,4.503389203548432,2.6849970783572643,353,frozen/no_episodic
0.2125,3,80,5.662812018394471,2.9822428377345203,361,frozen/no_episodic
0.15,3,80,5.0895203113555905,3.052464612852782,362,frozen/no_episodic
0.2,3,80,2.6637643039226533,1.6665517955087126,379,frozen/no_episodic
0.2,3,80,7.035735881328582,3.596735076745972,383,frozen/no_episodic
0.2,4,80,5.454976224899292,3.4496839698404074,403,frozen/no_episodic
0.1375,4,80,4.97601797580719,2.9666543644852936,404,frozen/no_episodic
0.2375,4,80,9.043047366011887,4.11084077693522,405,frozen/no_episodic
0.2,4,80,4.326392483711243,2.3679345417767763,406,frozen/no_episodic
0.1625,4,80,4.945726332813502,2.695284500066191,408,frozen/no_episodic
0.2125,4,80,8.641174949333072,4.295308924466371,409,frozen/no_episodic
0.225,4,80,4.699440765380859,3.1179452607408167,417,frozen/no_episodic
0.175,4,80,6.118768048286438,3.0059297498315574,419,frozen/no_episodic
0.1125,4,80,6.7021716952323915,3.333137651346624,429,frozen/no_episodic
0.15,4,80,5.740812635421753,3.2849816182628273,440,frozen/no_episodic
0.1125,4,80,5.306748872995376,2.6934722555335613,451,frozen/no_episodic
0.075,4,80,3.2971877098083495,2.2255220495164396,466,frozen/no_episodic
0.1375,4,80,5.428063724935055,2.9955639209598304,468,frozen/no_episodic
0.15,4,80,3.773536431789398,2.509360842895694,470,frozen/no_episodic
0.1625,4,80,3.9996937453746795,2.2924250518903135,474,frozen/no_episodic
0.15,4,80,3.7857898980379106,2.581307878345251,475,frozen/no_episodic
0.175,4,80,5.125627160072327,3.268285556510091,480,frozen/no_episodic
0.1625,4,80,7.011540246009827,3.310328677855432,481,frozen/no_episodic
0.1375,4,80,7.2573125749826435,3.5059315778315066,487,frozen/no_episodic
0.1875,4,80,2.2616243958473206,1.9378805723041297,496,frozen/no_episodic
0.1375,5,80,8.99695939272642,3.7260125977918506,500,frozen/no_episodic
0.1625,5,80,5.30463012456894,3.432181830704212,503,frozen/no_episodic
0.1375,5,80,5.810264730453492,3.432716335169971,505,frozen/no_episodic
0.125,5,80,6.19801017343998,3.414435725566,508,frozen/no_episodic
0.125,5,80,6.691034317016602,3.714066630974412,513,frozen/no_episodic
0.0875,5,80,7.05439989566803,4.005152856744826,532,frozen/no_episodic
0.1125,5,80,6.472254282236099,3.419339460879564,533,frozen/no_episodic
0.125,5,80,6.742361152172089,3.4808964181691406,543,frozen/no_episodic
0.1375,5,80,6.290647132694721,3.4814566245302556,545,frozen/no_episodic
0.15,5,80,5.970214167237282,2.8920361664146186,549,frozen/no_episodic
0.0875,5,80,2.024123990535736,0.47277101762592794,550,frozen/no_episodic
0.0875,5,80,6.330286121368408,3.3903792995028197,553,frozen/no_episodic
0.0875,5,80,7.440739476680756,3.9042350251227615,555,frozen/no_episodic
0.125,5,80,4.144856524467468,2.216098274802789,558,frozen/no_episodic
0.1125,5,80,5.473155361413956,2.894857203261927,561,frozen/no_episodic
0.075,5,80,5.162354820966721,3.1620442882180213,565,frozen/no_episodic
0.1375,5,80,5.123520767688751,3.315714908018708,570,frozen/no_episodic
0.1,5,80,4.8403256177902225,2.7198240204714237,573,frozen/no_episodic
0.0875,5,80,6.379623162746429,3.55401652790606,578,frozen/no_episodic
0.1,5,80,4.669746732711792,2.785109158512205,584,frozen/no_episodic
0.125,6,80,2.348443830013275,1.9013402858749031,613,frozen/no_episodic
0.175,6,80,4.893803876638413,3.061927626468241,616,frozen/no_episodic
0.1,6,80,3.9844860672950744,2.516587080899626,619,frozen/no_episodic
0.1125,6,80,4.030777311325073,2.3914064665790646,621,frozen/no_episodic
0.175,6,80,4.819254925847053,2.5768156660720707,624,frozen/no_episodic
0.1625,6,80,2.7538333550095557,1.8837811363860966,627,frozen/no_episodic
0.0875,6,80,3.02496557533741,1.8447366563603282,628,frozen/no_episodic
0.075,6,80,8.038631097227334,3.7196828447282315,638,frozen/no_episodic
0.125,6,80,6.73271963596344,3.2483626239001753,640,frozen/no_episodic
0.125,6,80,3.7342669308185577,2.671243702666834,655,frozen/no_episodic
0.1375,6,80,5.910573196411133,3.108106373529881,663,frozen/no_episodic
0.075,6,80,5.025886466354132,2.9542448775842787,664,frozen/no_episodic
0.1375,6,80,2.717888629436493,1.677197113353759,665,frozen/no_episodic
0.0625,6,80,3.6970880329608917,2.1696909523103387,668,frozen/no_episodic
0.15,6,80,4.6064596503973005,2.9079135090112684,670,frozen/no_episodic
0.1375,6,80,2.358614242076874,1.9434653050731867,671,frozen/no_episodic
0.1875,6,80,2.9144070744514465,1.1807266947813333,683,frozen/no_episodic
0.1625,6,80,4.502907630056143,2.436551785701886,684,frozen/no_episodic
0.1625,6,80,3.7692821979522706,2.145911814831197,691,frozen/no_episodic
0.1375,6,80,3.4590945661067964,2.2589725837111474,696,frozen/no_episodic
0.075,7,80,5.287678146362305,3.1592689679237083,705,frozen/no_episodic
0.025,7,80,3.050308895111084,1.7685158047825098,706,frozen/no_episodic
0.0875,7,80,7.387527048587799,3.6919816478621215,708,frozen/no_episodic
0.075,7,80,3.487816560268402,2.2732630774378775,714,frozen/no_episodic
0.0375,7,80,5.081780445575714,2.4671142503153534,719,frozen/no_episodic
0.075,7,80,6.4421177983283995,3.233435536827892,728,frozen/no_episodic
0.025,7,80,3.857896792888641,2.8931323874741794,735,frozen/no_episodic
0.025,7,80,7.718952190876007,3.690264990273863,736,frozen/no_episodic
0.0875,7,80,3.931290239095688,2.6643023644573987,741,frozen/no_episodic
0.075,7,80,5.023755824565887,2.7001621286850424,744,frozen/no_episodic
0.1125,7,80,6.387111085653305,3.3715074246749284,752,frozen/no_episodic
0.075,7,80,5.719087541103363,2.9396105257794263,758,frozen/no_episodic
0.1125,7,80,4.867630529403686,3.4533571338281037,764,frozen/no_episodic
0.0625,7,80,5.3095294713974,2.681457168562338,765,frozen/no_episodic
0.075,7,80,2.031330940127373,1.2979047215078026,769,frozen/no_episodic
0.1,7,80,7.147546246647835,3.5916805237066,770,frozen/no_episodic
0.025,7,80,4.6446645021438595,2.616161207295954,777,frozen/no_episodic
0.025,7,80,4.885716032981873,3.012980371946469,780,frozen/no_episodic
0.125,7,80,5.970105946063995,3.594674696936272,787,frozen/no_episodic
0.025,7,80,6.412125842273236,3.573979150969535,790,frozen/no_episodic
0.3375,8,80,2.8379592180252073,2.125232109427452,810,frozen/no_episodic
0.325,8,80,2.3180552244186403,1.588460629619658,812,frozen/no_episodic
0.3375,8,80,6.0428411841392515,3.315254802349955,819,frozen/no_episodic
0.325,8,80,5.121921776235103,2.96647365745157,828,frozen/no_episodic
0.2625,8,80,5.684989321231842,2.988555981591344,831,frozen/no_episodic
0.3,8,80,5.602312256395817,2.6896699510863984,834,frozen/no_episodic
0.2625,8,80,2.7169486701488497,1.7057407207088544,840,frozen/no_episodic
0.4125,8,80,6.017917799949646,2.8730176099576057,842,frozen/no_episodic
0.325,8,80,4.425974276661873,2.590074783377349,844,frozen/no_episodic
0.325,8,80,4.432006025314331,2.3319367507472633,846,frozen/no_episodic
0.2125,8,80,4.084408105909825,2.5401399614289404,860,frozen/no_episodic
0.275,8,80,4.880962502956391,2.688981802435592,863,frozen/no_episodic
0.2,8,80,6.259038197994232,3.631005937047303,868,frozen/no_episodic
0.2,8,80,6.563314121961594,3.2030372034758328,871,frozen/no_episodic
0.2625,8,80,6.26805277466774,2.776240851264447,881,frozen/no_episodic
0.25,8,80,7.0507865935564045,3.2228501953184603,883,frozen/no_episodic
0.2875,8,80,3.4093308210372926,1.9020926240831613,886,frozen/no_episodic
0.2625,8,80,4.161914229393005,1.7493887349497528,888,frozen/no_episodic
0.325,8,80,5.493092188239098,3.0760026769246904,889,frozen/no_episodic
0.175,8,80,2.7803020000457765,1.5324035345576703,891,frozen/no_episodic
0.2125,9,80,4.6097796082496645,3.199728954769671,920,frozen/no_episodic
0.25,9,80,7.086218416690826,3.256099794432521,929,frozen/no_episodic
0.3,9,80,8.029644526541233,3.7144677292555572,931,frozen/no_episodic
0.2875,9,80,8.037601998448372,3.8086668740492313,932,frozen/no_episodic
0.2625,9,80,7.29400475025177,3.4406034307554365,935,frozen/no_episodic
0.2,9,80,6.122442185878754,3.2872141119558362,943,frozen/no_episodic
0.2125,9,80,5.199656462669372,2.9678965823724868,946,frozen/no_episodic
0.35,9,80,7.48162413239479,3.3633307642303407,949,frozen/no_episodic
0.275,9,80,6.648432970046997,3.0522894863039256,950,frozen/no_episodic
0.2125,9,80,8.137626719474792,3.91539992839098,951,frozen/no_episodic
0.2875,9,80,2.7625529646873472,1.7093215396627783,959,frozen/no_episodic
0.325,9,80,2.9064982414245604,1.4158176557160913,964,frozen/no_episodic
0.3125,9,80,5.887762546539307,3.0923042688518763,967,frozen/no_episodic
0.2625,9,80,7.609490489959716,3.5857723366469143,970,frozen/no_episodic
0.2375,9,80,4.164983566850424,2.2653066612780095,975,frozen/no_episodic
0.25,9,80,7.391568899154663,3.2431658894289286,980,frozen/no_episodic
0.2375,9,80,7.9192554041743275,3.537011569738388,990,frozen/no_episodic
0.25,9,80,4.796965384483338,3.0804202023893597,993,frozen/no_episodic
0.325,9,80,4.762916314601898,2.736274104192853,997,frozen/no_episodic
